n,k,i,p,m,r,t,T
1024,32,1,10416184,1240,9,97384903,97431309
1024,32,1,1764897,1240,9,97502771,97553921
1024,32,1,2200435,1085,8,90066856,90119414
1024,32,1,2502981,620,5,94525549,94572427
1024,32,1,2654361,775,6,95625747,95677461
1024,32,1,2790568,310,3,92528246,92583940
1024,32,1,3731853,1395,10,112347903,112393924
1024,32,1,4500685,1085,8,105590977,105642898
1024,32,1,6074602,1395,10,94229210,94281085
1024,32,1,983948,775,6,112842469,112890344
2048,32,1,1371753,1395,10,123607875,123657245
2048,32,1,1402887,1395,10,105730475,105816717
2048,32,1,1578104,1705,12,111544918,111601924
2048,32,1,1596753,1240,9,86517101,86571526
2048,32,1,2343856,1240,9,108554113,108626666
2048,32,1,649071,1085,8,107243464,107300899
2048,32,1,7002074,1395,10,116317254,116398993
2048,32,1,7836762,1395,10,95033035,95087374
2048,32,1,852391,930,7,99277348,99331577
2048,32,1,959142,775,6,115397163,115445505
4096,32,1,1055808,1550,11,88303974,88352720
4096,32,1,2129067,1240,9,105657997,105710604
4096,32,1,21644,1860,13,112704977,112761491
4096,32,1,2173797,1395,10,101742071,101792146
4096,32,1,2662,1860,13,93960019,94056649
4096,32,1,286657,930,7,127509236,127559840
4096,32,1,3356128,465,4,99644414,99754205
4096,32,1,476009,930,7,102389463,102444841
4096,32,1,648421,1705,12,108724245,108772403
4096,32,1,760523,930,7,93059088,93107879
8192,32,1,117246,1705,12,105992705,106044596
8192,32,1,217931,1240,9,115721717,115771395
8192,32,1,269325,930,7,115523119,115579264
8192,32,1,36130,1550,11,97589242,97650813
8192,32,1,38066,1550,11,116303793,116364618
8192,32,1,436260,930,7,107048461,107083876
8192,32,1,787731,930,7,101517772,101576890
8192,32,1,814211,1395,10,125528497,125619032
8192,32,1,888677,1395,10,107912359,107971952
8192,32,1,954351,1240,9,98181091,98238527
16384,32,1,109461,2170,15,108251673,108310161
16384,32,1,144520,1705,12,117343791,117407595
16384,32,1,20677,930,7,103365633,103430614
16384,32,1,220480,930,7,92776738,92842144
16384,32,1,24368,465,4,85209696,85276487
16384,32,1,258005,1085,8,94670493,94735534
16384,32,1,264203,2170,15,102344111,102408957
16384,32,1,44582,930,7,101692346,101753979
16384,32,1,45194,2015,14,89937304,90026492
16384,32,1,48774,2170,15,109559598,109619409
32768,32,1,11367,1860,13,114743593,114958181
32768,32,1,122126,2480,17,109305020,109392134
32768,32,1,127497,2170,15,108868636,108952932
32768,32,1,143869,2170,15,91181194,91262220
32768,32,1,149692,1705,12,87996808,88200612
32768,32,1,163467,1860,13,95705003,95785790
32768,32,1,16680,1550,11,124977476,125064197
32768,32,1,240619,1085,8,121083485,121164785
32768,32,1,51593,1705,12,119830708,119935496
32768,32,1,97274,1240,9,112672926,112729523
65536,32,1,108214,2790,19,110011646,110157760
65536,32,1,129001,1860,13,137153416,137281530
65536,32,1,170440,1860,13,116739105,116871229
65536,32,1,207878,2790,19,124821976,124953569
65536,32,1,34708,1395,10,95674130,95816825
65536,32,1,38730,1860,13,96896555,97029498
65536,32,1,50245,2945,20,117171641,117297373
65536,32,1,62784,1705,12,100181070,100311436
65536,32,1,87867,1085,8,125234848,125360297
65536,32,1,88473,1550,11,88401435,88533129
131072,32,1,101054,1240,9,111863393,112074416
131072,32,1,15357,2325,16,109562135,109778005
131072,32,1,17177,1860,13,133577197,133789758
131072,32,1,2905,1395,10,107361715,107582331
131072,32,1,33756,2015,14,135274787,135490386
131072,32,1,46042,2015,14,113405399,113613788
131072,32,1,47943,2325,16,91619609,91837238
131072,32,1,5787,1550,11,117008183,117228252
131072,32,1,60455,1860,13,105282392,105498422
131072,32,1,9088,1550,11,132159998,132371333
262144,32,1,10663,1705,12,111755024,112156498
262144,32,1,14554,2015,14,111670904,112074033
262144,32,1,1846,2945,20,135039086,135436439
262144,32,1,18770,2325,16,103973975,104372611
262144,32,1,48378,2790,19,104991470,105383193
262144,32,1,5386,2945,20,116838750,117243660
262144,32,1,5970,2015,14,120522897,120913393
262144,32,1,8422,1085,8,91971199,92366978
262144,32,1,8699,2170,15,113633017,114037871
262144,32,1,9627,2325,16,95525077,95928727
524288,32,1,10718,1705,12,88614434,89359664
524288,32,1,18844,2635,18,120435630,121168569
524288,32,1,207,2635,18,115255608,116355005
524288,32,1,2111,2635,18,121460744,122226511
524288,32,1,2374,2480,17,113243157,114025710
524288,32,1,3592,2325,16,96785546,97521677
524288,32,1,4676,1705,12,117948202,118708022
524288,32,1,6584,1395,10,113521433,114163118
524288,32,1,7368,2325,16,91075906,91838663
524288,32,1,8299,775,6,101892688,102643697
1048576,32,1,1279,1860,13,111448169,112900622
1048576,32,1,327,2170,15,119275835,120713316
1048576,32,1,3618,2480,17,115552769,117006407
1048576,32,1,4359,2170,15,109963655,111338486
1048576,32,1,5027,2480,17,96223496,97686383
1048576,32,1,5160,2170,15,106673490,107857925
1048576,32,1,5603,1395,10,118840198,120287753
1048576,32,1,6678,2635,18,117436995,118771199
1048576,32,1,703,2480,17,122198575,123630260
1048576,32,1,9562,2480,17,91934674,93404900
2097152,32,1,1035,1860,13,123962151,126807973
2097152,32,1,1077,2790,19,128788068,131640095
2097152,32,1,1377,2790,19,111319856,114154942
2097152,32,1,1442,2170,15,115005814,117213259
2097152,32,1,2616,2635,18,101820807,104013375
2097152,32,1,3778,2480,17,120392375,123225718
2097152,32,1,3959,3100,21,133495177,136320294
2097152,32,1,568,930,7,110270921,112478743
2097152,32,1,6236,3875,26,137736070,139998067
2097152,32,1,713,2790,19,98558587,101465511
4194304,32,1,1165,3875,26,115449207,120980415
4194304,32,1,1478,2015,14,108971033,113295952
4194304,32,1,1589,3255,22,116033662,121510882
4194304,32,1,20,3255,22,101596754,107164077
4194304,32,1,2087,1550,11,100509868,106381641
4194304,32,1,242,3255,22,97679534,103248403
4194304,32,1,356,2170,15,110849775,116454897
4194304,32,1,38,3100,21,122881314,126976018
4194304,32,1,429,2325,16,122581580,129094065
4194304,32,1,804,1705,12,131233419,135230306
8388608,32,1,104,3100,21,127437620,135752210
8388608,32,1,1354,2325,16,151299770,162397240
8388608,32,1,184,3100,21,123787339,134695430
8388608,32,1,24,2790,19,104195679,115438119
8388608,32,1,419,2480,17,134542580,142575525
8388608,32,1,491,2015,14,106877829,117882363
8388608,32,1,670,1240,9,131803142,142911747
8388608,32,1,77,1550,11,111631265,119777466
8388608,32,1,78,3410,23,117628487,127873163
8388608,32,1,999,2945,20,128384476,139249680
16777216,32,1,134,2325,16,123827182,144321183
16777216,32,1,150,3100,21,119572104,137024133
16777216,32,1,15,2015,14,140778016,158367476
16777216,32,1,184,2790,19,118413353,140891076
16777216,32,1,19,1860,13,129062100,150133617
16777216,32,1,257,3100,21,134873889,152718830
16777216,32,1,27,775,6,123878688,144587954
16777216,32,1,378,2480,17,125629344,143456370
16777216,32,1,65,1860,13,105508071,126936147
16777216,32,1,82,3100,21,135893027,157134053
33554432,32,1,105,2325,16,142522354,177743825
33554432,32,1,109,2480,17,199424143,237941057
33554432,32,1,15,3255,22,179259089,213512664
33554432,32,1,185,2635,18,182999143,219566634
33554432,32,1,188,2170,15,185103355,222966644
33554432,32,1,192,2015,14,144764885,181474735
33554432,32,1,263,2015,14,143611128,177326309
33554432,32,1,280,2945,20,179852272,213653679
33554432,32,1,33,3100,21,211672708,245312561
33554432,32,1,517,3100,21,175641292,209375024
67108864,32,1,103,2790,19,247377777,313351831
67108864,32,1,114,4185,28,224156154,294528302
67108864,32,1,141,2635,18,173674040,245138699
67108864,32,1,21,2480,17,174549528,243458899
67108864,32,1,26,2015,14,190781409,258725221
67108864,32,1,3,1860,13,178581700,250334558
67108864,32,1,58,3410,23,246794583,315738094
67108864,32,1,7,2945,20,188529980,257874928
67108864,32,1,82,3255,22,203095883,270332727
67108864,32,1,95,2945,20,198900628,271079979
134217728,32,1,10,2170,15,373020067,505919432
134217728,32,1,1,2480,17,330732310,461399253
134217728,32,1,1,2635,18,315802635,449784085
134217728,32,1,20,3410,23,300569180,435709192
134217728,32,1,22,3100,21,315075627,453601148
