n,k,i,p,m,r,t,T
1024,2,1,1397062,40,9,345455,430353
1024,2,1,1412641,25,6,201888,267150
1024,2,1,1646541,40,9,384456,444934
1024,2,1,1797072,25,6,346937,407098
1024,2,1,2386299,50,11,331229,389223
1024,2,1,2789983,20,5,357657,416790
1024,2,1,3724495,50,11,340192,407858
1024,2,1,393444,30,7,352924,412202
1024,2,1,901505,45,10,381659,440581
1024,2,1,966789,30,7,277525,366822
2048,2,1,1086987,45,10,347136,428586
2048,2,1,1163036,25,6,194802,275961
2048,2,1,164762,40,9,281391,361880
2048,2,1,203185,60,13,319907,402608
2048,2,1,2940936,35,8,271861,352549
2048,2,1,295396,75,16,396310,478295
2048,2,1,312538,40,9,1506766,1590416
2048,2,1,3130341,50,11,483899,564298
2048,2,1,4348459,25,6,202846,285918
2048,2,1,821361,30,7,366428,473237
4096,2,1,1058013,40,9,378491,513382
4096,2,1,1293447,30,7,258547,392000
4096,2,1,1503779,25,6,332841,459297
4096,2,1,1541976,60,13,525259,682782
4096,2,1,1618252,50,11,381211,505557
4096,2,1,2698208,50,11,345735,477463
4096,2,1,426109,45,10,362833,488260
4096,2,1,593615,40,9,308235,436252
4096,2,1,616498,55,12,816606,971968
4096,2,1,713030,55,12,423452,554162
8192,2,1,232166,60,13,600526,813589
8192,2,1,244550,30,7,330238,545051
8192,2,1,285009,50,11,405457,631762
8192,2,1,342671,45,10,434983,645785
8192,2,1,371932,65,14,889061,1101160
8192,2,1,441313,55,12,486165,730965
8192,2,1,47028,40,9,625697,851097
8192,2,1,606891,45,10,417523,627465
8192,2,1,656814,30,7,467407,677583
8192,2,1,766650,60,13,453084,666147
16384,2,1,213379,45,10,411540,849449
16384,2,1,227304,45,10,488828,880955
16384,2,1,234850,50,11,508210,905181
16384,2,1,3894,60,13,684525,1086115
16384,2,1,397616,35,8,440992,868149
16384,2,1,511647,50,11,612269,1038152
16384,2,1,63799,80,17,649011,1048767
16384,2,1,793118,50,11,553379,988627
16384,2,1,82839,100,21,923702,1350157
16384,2,1,838598,45,10,579731,1002199
32768,2,1,110057,50,11,970423,1738255
32768,2,1,141991,60,13,827545,1566086
32768,2,1,161512,70,15,999657,1743814
32768,2,1,26212,70,15,994104,1737659
32768,2,1,263270,70,15,734745,1495017
32768,2,1,317034,35,8,640360,1406240
32768,2,1,320825,55,12,640169,1368589
32768,2,1,44095,60,13,1084293,1831039
32768,2,1,550292,50,11,721706,1462545
32768,2,1,82747,25,6,704792,1447299
65536,2,1,125346,60,13,1301692,2729915
65536,2,1,127159,55,12,1619199,3094014
65536,2,1,14638,55,12,1346082,2781801
65536,2,1,15555,80,17,7279687,8714237
65536,2,1,20110,50,11,1585226,3092545
65536,2,1,29010,80,17,980505,2412422
65536,2,1,29098,40,9,12437840,13884042
65536,2,1,48110,65,14,1215987,2654702
65536,2,1,57526,85,18,1816249,3259679
65536,2,1,8221,70,15,1562456,3000366
131072,2,1,10968,90,19,14440775,17215713
131072,2,1,18832,25,6,2157966,5003229
131072,2,1,20856,75,16,2890127,5757901
131072,2,1,23160,65,14,2255292,5105205
131072,2,1,25087,70,15,4102797,7003889
131072,2,1,37280,55,12,3068851,5894789
131072,2,1,47,100,21,2475075,5279410
131072,2,1,6080,60,13,2433479,5278183
131072,2,1,8272,45,10,2454750,5297217
131072,2,1,9231,55,12,2554394,5369506
262144,2,1,19535,75,16,5506554,11147395
262144,2,1,21119,45,10,3482751,9061814
262144,2,1,2976,70,15,5086789,10702887
262144,2,1,33608,75,16,5747171,11359080
262144,2,1,36460,45,10,4225188,9815478
262144,2,1,43852,65,14,3180660,8785080
262144,2,1,49218,55,12,3346155,9032120
262144,2,1,5132,90,19,6648388,12331354
262144,2,1,72572,95,20,27760042,33377705
262144,2,1,7494,80,17,2995815,8599128
524288,2,1,14374,90,19,7870298,19045119
524288,2,1,1624,65,14,8676244,19821162
524288,2,1,163,95,20,5753441,16965715
524288,2,1,2264,80,17,29946620,41155672
524288,2,1,25059,35,8,5618112,16791212
524288,2,1,2511,90,19,12433862,24440263
524288,2,1,28577,75,16,10181227,21282619
524288,2,1,3152,70,15,7712932,18850919
524288,2,1,3302,30,7,5864722,17042129
524288,2,1,7677,70,15,9083407,20301465
1048576,2,1,1409,65,14,24930642,47919303
1048576,2,1,1450,95,20,15359975,38217310
1048576,2,1,1581,55,12,15492472,38330053
1048576,2,1,16355,60,13,17765009,40684100
1048576,2,1,2338,60,13,24336731,67285662
1048576,2,1,288,80,17,12967870,35938439
1048576,2,1,2909,70,15,29208218,52179858
1048576,2,1,3050,50,11,41651585,64823819
1048576,2,1,5150,40,9,20124996,43734535
1048576,2,1,7341,80,17,26634504,49291730
2097152,2,1,1151,55,12,37688145,82651968
2097152,2,1,1383,25,6,35376115,80585871
2097152,2,1,1413,75,16,44040867,101471315
2097152,2,1,1604,55,12,46449428,91628696
2097152,2,1,1618,85,18,31300735,76066126
2097152,2,1,1651,65,14,27455988,72531618
2097152,2,1,1892,55,12,36524694,81305768
2097152,2,1,2257,60,13,46387743,91949696
2097152,2,1,2432,65,14,35687567,81078429
2097152,2,1,572,80,17,69742071,134797005
4194304,2,1,1136,100,21,122117998,240454694
4194304,2,1,1366,55,12,37674372,126671066
4194304,2,1,181,70,15,213258700,393734470
4194304,2,1,211,70,15,56431478,145192399
4194304,2,1,243,55,12,63365186,153157576
4194304,2,1,303,130,27,118765775,207141792
4194304,2,1,313,65,14,78821601,168579052
4194304,2,1,482,60,13,76225211,164727363
4194304,2,1,546,75,16,92516362,272792317
4194304,2,1,5,70,15,121538076,210432073
8388608,2,1,1,95,20,151297978,329080822
8388608,2,1,226,130,27,168577448,346477069
8388608,2,1,232,80,17,212490197,389264698
8388608,2,1,387,60,13,118469621,294854233
8388608,2,1,42,65,14,95330164,271272146
8388608,2,1,43,95,20,88200457,329431637
