n,k,i,p,m,r,t,T
1024,4,1,1015503,120,9,580903,647918
1024,4,1,11522524,165,12,649407,708620
1024,4,1,1313777,60,5,462376,521072
1024,4,1,1395827,135,10,608228,673435
1024,4,1,181180,90,7,417710,494713
1024,4,1,2152161,150,11,611895,673323
1024,4,1,3065049,150,11,559147,632388
1024,4,1,5574579,60,5,432923,492668
1024,4,1,752573,135,10,571231,631819
1024,4,1,902810,90,7,576465,644663
2048,4,1,1013115,120,9,494069,557853
2048,4,1,1162195,150,11,561605,629701
2048,4,1,1197004,120,9,507650,586923
2048,4,1,163254,90,7,1035176,1100101
2048,4,1,2051376,150,11,661129,724342
2048,4,1,22041,75,6,728144,786678
2048,4,1,315470,150,11,751080,810296
2048,4,1,3475892,75,6,427213,494339
2048,4,1,396276,120,9,865398,957857
2048,4,1,726073,240,17,812808,881615
4096,4,1,13194,120,9,1128026,1213139
4096,4,1,1367094,150,11,665897,754247
4096,4,1,197536,165,12,908933,996444
4096,4,1,1981982,120,9,1106662,1196247
4096,4,1,3665490,225,16,992085,1080983
4096,4,1,3969980,105,8,666585,752965
4096,4,1,586929,105,8,589610,670580
4096,4,1,631762,120,9,1126890,1213168
4096,4,1,793447,150,11,605500,694299
4096,4,1,819311,180,13,666756,772632
8192,4,1,1176677,135,10,1047415,1180776
8192,4,1,1279317,120,9,598664,724194
8192,4,1,245116,180,13,736888,891687
8192,4,1,358881,120,9,639685,800220
8192,4,1,38528,180,13,720175,854645
8192,4,1,531582,120,9,821814,961018
8192,4,1,559535,180,13,692468,822042
8192,4,1,639972,180,13,747008,879944
8192,4,1,815323,150,11,759264,891323
8192,4,1,88319,120,9,567520,699662
16384,4,1,1035612,180,13,752401,968229
16384,4,1,109772,195,14,716241,932584
16384,4,1,131000,105,8,563027,781793
16384,4,1,358183,120,9,1686807,1910852
16384,4,1,38254,180,13,911076,1138424
16384,4,1,5195,180,13,1609614,1825970
16384,4,1,55242,75,6,524958,742308
16384,4,1,55958,150,11,1523923,1735692
16384,4,1,636563,150,11,691967,906679
16384,4,1,67023,135,10,1368483,1585282
32768,4,1,105374,150,11,959114,1359780
32768,4,1,126670,180,13,941735,1347660
32768,4,1,30097,255,18,1143983,1570920
32768,4,1,301678,135,10,1957120,2393307
32768,4,1,40226,255,18,1025248,1426255
32768,4,1,65679,225,16,2250259,2687036
32768,4,1,77840,120,9,776460,1184098
32768,4,1,80804,165,12,1732811,2153545
32768,4,1,80865,195,14,2050437,2450780
32768,4,1,95377,240,17,2266584,2679472
65536,4,1,106444,150,11,1059125,1803630
65536,4,1,11761,165,12,1127894,1871153
65536,4,1,193591,240,17,1226071,1976749
65536,4,1,2833,120,9,861225,1611415
65536,4,1,312238,240,17,955969,1734544
65536,4,1,39526,180,13,1394888,2163844
65536,4,1,42604,210,15,1072722,1869823
65536,4,1,5659,150,11,1028930,1777070
65536,4,1,66598,150,11,1099883,1846686
65536,4,1,70203,195,14,933203,1667489
131072,4,1,13085,225,16,1581580,3046613
131072,4,1,13971,270,19,2245594,3662590
131072,4,1,2539,165,12,1793988,3286318
131072,4,1,32326,210,15,2238176,3687216
131072,4,1,44107,135,10,1233017,2720121
131072,4,1,46156,180,13,1171577,2653433
131072,4,1,49796,375,26,2285931,3727340
131072,4,1,5052,180,13,1671449,3116762
131072,4,1,58812,210,15,5179388,6640435
131072,4,1,8804,195,14,5602175,7061315
262144,4,1,11151,270,19,3609845,6423025
262144,4,1,1619,225,16,9387168,12214770
262144,4,1,1818,150,11,6455916,9288801
262144,4,1,20825,240,17,8739782,11576783
262144,4,1,2153,195,14,2052843,4908411
262144,4,1,29088,150,11,3248185,6098739
262144,4,1,35693,285,20,2961212,5797966
262144,4,1,48523,90,7,2110974,4929419
262144,4,1,58073,210,15,6264881,9115721
262144,4,1,901,195,14,8678456,11555607
524288,4,1,1276,225,16,5779568,11342260
524288,4,1,34788,210,15,4325875,9908449
524288,4,1,44083,180,13,4416276,10003209
