n,k,i,p,m,r,t,T
1024,8,1024,4283861690,350,11,79914159,79965415
1024,8,1024,4291015104,315,10,56807343,56857113
1024,8,1024,4291169033,245,8,59599033,59656357
1024,8,1024,4291730483,280,9,56733751,56790457
1024,8,1024,4293095211,350,11,61814551,61869524
1024,8,1024,4293910335,315,10,57352937,57408428
1024,8,1024,4293940367,280,9,63207813,63304857
1024,8,1024,4294080375,175,6,55808289,55862541
1024,8,1024,4294192681,210,7,56382217,56439708
1024,8,1024,4294639802,245,8,80475039,80566001
2048,8,2048,4288543564,315,10,60033729,60091421
2048,8,2048,4288872626,280,9,67184870,67262601
2048,8,2048,4289534255,420,13,54548926,54610094
2048,8,2048,4291138902,280,9,72631732,72684551
2048,8,2048,4291944582,350,11,80419688,80472261
2048,8,2048,4292845969,525,16,61770836,61832582
2048,8,2048,4293173084,245,8,76026747,76084308
2048,8,2048,4293919489,280,9,64425340,64482607
2048,8,2048,4294732799,385,12,61980552,62037587
2048,8,2048,4294775006,280,9,57314155,57418045
4096,8,4096,4293786136,210,7,51778159,51842420
4096,8,4096,4293866171,175,6,55745457,55803357
4096,8,4096,4293916794,315,10,56781607,56873490
4096,8,4096,4294092632,245,8,65371223,65436258
4096,8,4096,4294330352,210,7,76704685,76767792
4096,8,4096,4294377953,280,9,52007187,52074003
4096,8,4096,4294481844,315,10,59077653,59190111
4096,8,4096,4294607833,210,7,81297503,81378296
4096,8,4096,4294717062,280,9,70804641,70868620
4096,8,4096,4294930379,315,10,68346733,68402400
8192,8,8192,4293287405,525,16,55594614,55683869
8192,8,8192,4293404615,315,10,78934479,79016025
8192,8,8192,4293632132,280,9,70865883,70952568
8192,8,8192,4294326161,385,12,58016473,58102693
8192,8,8192,4294535101,420,13,53419978,53504591
8192,8,8192,4294544253,385,12,56995407,57082110
8192,8,8192,4294630203,315,10,51889139,51975444
8192,8,8192,4294668797,245,8,77413333,77495688
8192,8,8192,4294706297,455,14,52088152,52175591
8192,8,8192,4294736865,280,9,78422841,78503832
16384,8,16384,4294284525,315,10,60411857,60583837
16384,8,16384,4294352976,420,13,70753487,70877741
16384,8,16384,4294567984,210,7,61556709,61751712
16384,8,16384,4294809654,420,13,68838376,68962823
16384,8,16384,4294828215,315,10,62729702,62863426
16384,8,16384,4294922963,490,15,58559760,58684188
16384,8,16384,4294923033,315,10,93133386,93265849
16384,8,16384,4294926820,140,5,54792494,55096412
16384,8,16384,4294935628,350,11,70073210,70205691
16384,8,16384,4294936830,350,11,71444470,71581118
32768,8,32768,4294606752,280,9,57348568,57573990
32768,8,32768,4294767254,420,13,93133736,93346651
32768,8,32768,4294791785,385,12,69295663,69511396
32768,8,32768,4294814414,455,14,58359772,58574134
32768,8,32768,4294931961,420,13,59678657,59886746
32768,8,32768,4294940272,560,17,69493385,69704424
32768,8,32768,4294946766,525,16,80669452,80883820
32768,8,32768,4294947177,350,11,57352947,57579430
