n,k,i,p,m,r,t,T
1024,1,1024,4277524434,0,10,82179,175252
1024,1,1024,4286034160,0,7,63751,168464
1024,1,1024,4291207727,0,6,53704,144324
1024,1,1024,4292260965,0,9,57067,140254
1024,1,1024,4292355530,0,11,78305,169025
1024,1,1024,4293012968,0,6,48010,143808
1024,1,1024,4293386026,0,8,54417,145840
1024,1,1024,4293650498,0,8,51615,139581
1024,1,1024,4294319399,0,9,67968,161759
1024,1,1024,4294470317,0,10,70518,187127
2048,1,2048,4287643717,0,10,125457,270383
2048,1,2048,4289816564,0,12,103160,262209
2048,1,2048,4291198421,0,6,63378,191640
2048,1,2048,4291232478,0,7,102754,276272
2048,1,2048,4292162938,0,9,74404,209693
2048,1,2048,4292192421,0,10,120168,257157
2048,1,2048,4292696809,0,12,118904,376402
2048,1,2048,4293010972,0,10,94213,232119
2048,1,2048,4294230620,0,7,105610,240403
2048,1,2048,4294942527,0,12,91854,248055
4096,1,4096,4292378462,0,8,93740,319794
4096,1,4096,4292857470,0,7,123887,386521
4096,1,4096,4293807282,0,9,156043,424185
4096,1,4096,4293859579,0,14,260159,496191
4096,1,4096,4293895597,0,17,377279,714527
4096,1,4096,4294213888,0,15,186982,414494
4096,1,4096,4294314884,0,10,197954,430495
4096,1,4096,4294324529,0,9,126820,356110
4096,1,4096,4294700207,0,7,93410,325112
4096,1,4096,4294897231,0,13,170794,388705
8192,1,8192,4293833883,0,14,448227,899413
8192,1,8192,4293973336,0,12,417298,822258
8192,1,8192,4294209711,0,10,271913,676568
8192,1,8192,4294385237,0,15,306750,712341
8192,1,8192,4294555694,0,6,218217,644951
8192,1,8192,4294666267,0,12,246125,673860
8192,1,8192,4294698895,0,13,245544,654745
8192,1,8192,4294699803,0,11,285966,690324
8192,1,8192,4294738686,0,15,350636,753630
8192,1,8192,4294743326,0,8,288485,695731
16384,1,16384,4294393655,0,10,610309,1413278
16384,1,16384,4294627871,0,12,607968,1352631
16384,1,16384,4294663402,0,10,477511,1227679
16384,1,16384,4294663639,0,11,411123,1157821
16384,1,16384,4294731471,0,8,470339,1248103
16384,1,16384,4294780067,0,12,720472,1499950
16384,1,16384,4294799161,0,7,458200,1226405
16384,1,16384,4294824320,0,10,559572,1306672
16384,1,16384,4294893242,0,9,459716,1234921
16384,1,16384,4294965030,0,12,386981,1124316
32768,1,32768,4294749260,0,11,649338,2097168
32768,1,32768,4294777160,0,9,1202547,2704255
32768,1,32768,4294812875,0,7,506061,1983187
32768,1,32768,4294815222,0,15,1488347,2949106
32768,1,32768,4294835979,0,9,893485,2348739
32768,1,32768,4294872747,0,8,1212643,2666434
32768,1,32768,4294877019,0,12,1327687,2818911
32768,1,32768,4294882413,0,10,606559,2086023
32768,1,32768,4294922982,0,13,914594,2367488
32768,1,32768,4294927661,0,13,1764446,3262839
65536,1,65536,4294709212,0,9,921724,3735725
65536,1,65536,4294839500,0,12,1517280,4332633
65536,1,65536,4294904501,0,19,2093619,4988098
65536,1,65536,4294912085,0,12,1725823,4616825
65536,1,65536,4294919923,0,11,2629484,5557403
65536,1,65536,4294940257,0,13,1888961,4745044
65536,1,65536,4294942463,0,12,2396210,5215265
65536,1,65536,4294945831,0,13,2479275,5304251
65536,1,65536,4294954297,0,12,1827210,4675262
65536,1,65536,4294967030,0,17,1760925,4618147
131072,1,131072,4294868050,0,14,2423411,8054014
131072,1,131072,4294909913,0,6,4434512,10055112
131072,1,131072,4294917250,0,10,2303357,7936291
131072,1,131072,4294928535,0,16,4899242,10472849
131072,1,131072,4294942465,0,18,5061984,10649527
131072,1,131072,4294942631,0,9,6751770,12343854
131072,1,131072,4294944667,0,10,5556012,11195912
131072,1,131072,4294945553,0,12,5226950,10901242
131072,1,131072,4294947923,0,13,4768754,10435826
131072,1,131072,4294952033,0,20,3362402,8990100
262144,1,262144,4294868436,0,14,15425498,26535353
262144,1,262144,4294920198,0,12,11458005,22637384
262144,1,262144,4294929002,0,10,5565164,16669776
262144,1,262144,4294943891,0,14,12846656,23954643
262144,1,262144,4294947366,0,8,9790911,20937936
262144,1,262144,4294949798,0,18,9684503,20836546
262144,1,262144,4294954050,0,9,7275774,18448493
262144,1,262144,4294963070,0,10,9504189,20439089
262144,1,262144,4294965494,0,15,6053767,17231919
262144,1,262144,4294966934,0,15,9629075,20745935
524288,1,524288,4294952666,0,12,27852426,50384635
524288,1,524288,4294955722,0,13,22226637,44761364
524288,1,524288,4294957779,0,16,17665119,40290444
524288,1,524288,4294959930,0,10,14491884,37074268
524288,1,524288,4294961469,0,21,18001178,40690481
524288,1,524288,4294961859,0,19,15066824,37798530
524288,1,524288,4294962507,0,10,11062801,33714187
524288,1,524288,4294966247,0,9,15985441,38776579
524288,1,524288,4294966299,0,15,37928883,60454211
524288,1,524288,4294966312,0,6,7817347,30556854
1048576,1,1048576,4294957010,0,16,47610237,103603921
1048576,1,1048576,4294959226,0,11,24152660,82280462
1048576,1,1048576,4294962361,0,20,23699723,68186779
1048576,1,1048576,4294965160,0,16,36779216,81428194
1048576,1,1048576,4294966205,0,19,18351426,63338656
1048576,1,1048576,4294967072,0,12,18764226,63197073
1048576,1,1048576,4294967133,0,15,32551423,77233754
1048576,1,1048576,4294967167,0,17,29039585,73411725
1048576,1,1048576,4294967180,0,12,18453589,62822549
1048576,1,1048576,4294967295,0,15,16373315,61179548
2097152,1,2097152,4294962942,0,15,73027044,161285545
2097152,1,2097152,4294963975,0,14,79348681,167023197
2097152,1,2097152,4294965132,0,22,138487376,257472699
2097152,1,2097152,4294965324,0,15,95534483,255063475
2097152,1,2097152,4294966109,0,18,60365314,148421895
2097152,1,2097152,4294966397,0,14,71418952,167310219
2097152,1,2097152,4294966586,0,20,57321321,177553220
2097152,1,2097152,4294966806,0,20,119950920,207266841
2097152,1,2097152,4294966997,0,22,73248492,179198461
2097152,1,2097152,4294967100,0,12,52500483,140167526
4194304,1,4194304,4294964473,0,20,256881243,431313111
4194304,1,4194304,4294965056,0,19,136010044,310002107
4194304,1,4194304,4294965129,0,13,123492202,299205046
4194304,1,4194304,4294965238,0,21,213893617,393791879
4194304,1,4194304,4294965653,0,16,104343816,439320936
4194304,1,4194304,4294965865,0,15,140500802,316483836
