n,k,i,p,m,r,t,T
1024,8,512,2033059206,385,12,52894653,52945076
1024,8,512,2076848560,350,11,55932166,55987578
1024,8,512,2107466009,245,8,82510562,82573419
1024,8,512,2108434300,420,13,58102581,58228471
1024,8,512,2113776361,350,11,52995696,53093830
1024,8,512,2119434268,770,23,52633580,52692859
1024,8,512,2164532803,350,11,80365156,80418231
1024,8,512,2166961340,630,19,55208592,55306013
1024,8,512,2220494625,280,9,52216322,52269477
1024,8,512,2279708376,560,17,62008167,62057655
2048,8,1024,2069178497,455,14,69603353,69660501
2048,8,1024,2124948645,420,13,65431266,65487947
2048,8,1024,2128074233,315,10,60958586,61017859
2048,8,1024,2135319938,350,11,52069596,52133301
2048,8,1024,2142926701,385,12,63571742,63629335
2048,8,1024,2149846699,630,19,53933551,53992165
2048,8,1024,2160391262,385,12,97436732,97493460
2048,8,1024,2168650093,455,14,54551383,54610597
2048,8,1024,2170733518,490,15,72163634,72215315
2048,8,1024,2216757958,665,20,77535297,77587975
4096,8,2048,2120653168,490,15,73118994,73212166
4096,8,2048,2133707929,455,14,55794615,55859964
4096,8,2048,2137349041,630,19,54371820,54443310
4096,8,2048,2150199547,665,20,67622916,67681964
4096,8,2048,2164941152,805,24,54895489,54959985
4096,8,2048,2171179195,525,16,61829522,61893972
4096,8,2048,2186824098,525,16,65622697,65685972
4096,8,2048,2195027951,385,12,76280330,76344598
4096,8,2048,2198983444,630,19,95364014,95419808
4096,8,2048,2202160397,735,22,65994338,66086082
8192,8,4096,2127691874,560,17,57494672,57575165
8192,8,4096,2129447214,665,20,80891341,80972765
8192,8,4096,2135245633,385,12,57196489,57283983
8192,8,4096,2136798881,595,18,78264515,78349577
8192,8,4096,2138123569,665,20,84142126,84223997
8192,8,4096,2140252555,665,20,53722410,53807427
8192,8,4096,2146598154,560,17,57091997,57179496
8192,8,4096,2149799084,700,21,52869130,52960261
8192,8,4096,2181856371,560,17,55071087,55280617
8192,8,4096,2191758033,630,19,78126145,78202874
16384,8,8192,2122165687,665,20,53549852,53675088
16384,8,8192,2125494943,455,14,76384328,76519935
16384,8,8192,2133756762,560,17,58630730,58760748
16384,8,8192,2135094449,700,21,60278459,60403510
16384,8,8192,2139193736,910,27,66378558,66509977
16384,8,8192,2145508368,735,22,82026895,82190652
16384,8,8192,2146121670,595,18,57090837,57315622
16384,8,8192,2156737704,875,26,59561646,59760015
16384,8,8192,2165630335,560,17,63389544,63516079
16384,8,8192,2171663623,700,21,64724140,65060779
32768,8,16384,2125407945,560,17,59221338,59459088
32768,8,16384,2143284579,735,22,58438155,58656606
32768,8,16384,2145033754,770,23,80775560,80985973
32768,8,16384,2145553058,420,13,80707806,80918339
32768,8,16384,2146486116,595,18,58979360,59197295
32768,8,16384,2149098528,770,23,63251962,63468641
32768,8,16384,2149782554,630,19,65085408,65621370
32768,8,16384,2151162783,700,21,64713701,64922171
32768,8,16384,2151217124,350,11,62176661,62393553
32768,8,16384,2165823944,980,29,84465201,84671916
65536,8,32768,2115600470,910,27,75454631,75859259
65536,8,32768,2124973267,665,20,76934517,77366420
65536,8,32768,2141486027,595,18,53221736,53623825
65536,8,32768,2142345803,630,19,60769772,61542705
65536,8,32768,2144070025,1120,33,70093154,70486495
65536,8,32768,2146026782,700,21,57179035,57571946
65536,8,32768,2152068664,490,15,67362192,67763076
65536,8,32768,2156984092,805,24,56703554,57098645
65536,8,32768,2157072583,840,25,78676836,79067450
65536,8,32768,2158769005,560,17,87398155,87798471
131072,8,65536,2139706318,595,18,62469618,63207017
131072,8,65536,2140698973,525,16,62513216,63308242
131072,8,65536,2142038224,980,29,62940351,63680269
131072,8,65536,2147159734,560,17,85476453,86241290
131072,8,65536,2147282251,980,29,80260510,81004952
131072,8,65536,2149826605,770,23,89879835,90624464
131072,8,65536,2152421032,805,24,71865482,72610757
131072,8,65536,2152867397,840,25,70826559,71576472
131072,8,65536,2156047752,1085,32,67188165,67931014
131072,8,65536,2156111303,665,20,88554512,89305649
262144,8,131072,2138977734,1050,31,73038497,74478906
262144,8,131072,2141360896,980,29,60325740,61765081
262144,8,131072,2146078977,980,29,62454104,63893410
262144,8,131072,2147943942,770,23,64838071,66274523
262144,8,131072,2150027022,805,24,65000686,66437487
262144,8,131072,2150334719,665,20,86185545,87616949
262144,8,131072,2150490910,525,16,80807749,82239741
262144,8,131072,2150527915,700,21,68434630,69871603
262144,8,131072,2151547804,910,27,86397702,87828134
262144,8,131072,2157332619,875,26,62830261,64273209
524288,8,262144,2144571649,840,25,57380508,60206098
524288,8,262144,2145664213,1085,32,88307656,91144034
524288,8,262144,2146540459,1190,35,88529212,91369169
524288,8,262144,2146580545,910,27,82048553,84885048
524288,8,262144,2147570726,945,28,64424319,67291796
524288,8,262144,2147770722,875,26,80166088,82965618
524288,8,262144,2148374793,630,19,95718147,98542184
524288,8,262144,2148401991,840,25,66605994,70104643
524288,8,262144,2149949082,700,21,93443977,96286990
524288,8,262144,2152309185,840,25,65321063,68920422
1048576,8,524288,2144467308,525,16,61863568,67440299
1048576,8,524288,2147069322,770,23,81020705,86591177
1048576,8,524288,2147415185,840,25,103856024,110067503
1048576,8,524288,2147454485,560,17,73975929,79535487
1048576,8,524288,2147832235,1015,30,90374799,95986426
1048576,8,524288,2148304395,875,26,86214823,91814022
1048576,8,524288,2149314166,1050,31,75119826,80690553
1048576,8,524288,2149426181,805,24,74363195,79969624
1048576,8,524288,2149449316,1190,35,67009747,72584632
