n,k,i,p,m,r,t,T
2097152,2,2097152,4294965262,75,16,31573959,76578528
2097152,2,2097152,4294965523,100,21,123624747,188336138
2097152,2,2097152,4294965755,60,13,54542257,110292281
2097152,2,2097152,4294966493,95,20,108347623,173873955
2097152,2,2097152,4294966510,70,15,33511494,78371656
2097152,2,2097152,4294967261,85,18,17334610,62418629
4194304,2,4194304,4294965157,75,16,165897126,279606546
4194304,2,4194304,4294965440,80,17,85597662,175697240
4194304,2,4194304,4294966481,110,23,44707080,134080111
4194304,2,4194304,4294966610,85,18,63623689,153033910
4194304,2,4194304,4294966622,90,19,70927716,161479208
4194304,2,4194304,4294966779,135,28,159157689,248489788
4194304,2,4194304,4294967100,70,15,98978419,188065279
4194304,2,4194304,4294967203,75,16,84488297,242644308
4194304,2,4194304,4294967268,90,19,61239089,149724858
4194304,2,4194304,4294967289,80,17,117779386,248587272
8388608,2,8388608,4294966177,125,26,290136720,466463755
8388608,2,8388608,4294966270,90,19,183640028,359356110
8388608,2,8388608,4294966339,90,19,390874729,615492929
8388608,2,8388608,4294966926,90,19,422433524,762644264
8388608,2,8388608,4294966937,70,15,160124735,407560110
8388608,2,8388608,4294967046,110,23,204985772,382317623
8388608,2,8388608,4294967057,80,17,117160129,435881932
8388608,2,8388608,4294967123,90,19,185571236,363097648
8388608,2,8388608,4294967161,95,20,83758844,260044478
8388608,2,8388608,4294967194,75,16,120556579,342491505
16777216,2,16777216,4294966841,85,18,415341792,926548427
16777216,2,16777216,4294966921,75,16,966939450,1639957514
16777216,2,16777216,4294966996,105,22,199220206,728383779
16777216,2,16777216,4294967082,120,25,234596374,657236185
16777216,2,16777216,4294967115,65,14,357456669,1012351772
16777216,2,16777216,4294967160,105,22,212819652,634622544
16777216,2,16777216,4294967209,85,18,850274224,1544014743
16777216,2,16777216,4294967240,75,16,139690478,651177445
16777216,2,16777216,4294967258,80,17,141521392,493547511
16777216,2,16777216,4294967270,110,23,274292124,871039012
33554432,2,33554432,4294966188,115,24,1601392996,2470960569
33554432,2,33554432,4294966894,115,24,819316581,2220579728
33554432,2,33554432,4294967065,115,24,723923993,1503790969
33554432,2,33554432,4294967085,100,21,559121207,1572609071
33554432,2,33554432,4294967095,105,22,939629239,2063688472
33554432,2,33554432,4294967102,110,23,793802274,2176034895
33554432,2,33554432,4294967152,110,23,1228647876,2143264061
33554432,2,33554432,4294967237,75,16,711880949,1411874751
33554432,2,33554432,4294967283,80,17,1154726795,2196673988
