n,k,i,p,m,r,t,T
1024,16,1024,4282123844,900,13,73045950,73099051
1024,16,1024,4288505105,600,9,87810663,87864113
1024,16,1024,4289083845,750,11,73413077,73466282
1024,16,1024,4290348703,825,12,71957114,72011085
1024,16,1024,4291414003,750,11,77455303,77508854
1024,16,1024,4292735456,525,8,69822759,69876860
1024,16,1024,4293666037,525,8,73748044,73795622
1024,16,1024,4294106531,600,9,70636959,70699813
1024,16,1024,4294366450,600,9,75617502,75672593
1024,16,1024,4294939073,375,6,70047494,70108059
2048,16,2048,4286278418,300,5,76013800,76068585
2048,16,2048,4289544875,675,10,79620191,79682873
2048,16,2048,4291367426,750,11,65315383,65363924
2048,16,2048,4291674135,450,7,77277308,77332430
2048,16,2048,4292527058,900,13,98310894,98366662
2048,16,2048,4294121511,525,8,78070693,78118683
2048,16,2048,4294125915,525,8,79464284,79518453
2048,16,2048,4294218036,525,8,74141834,74198337
2048,16,2048,4294417005,600,9,81360214,81410294
2048,16,2048,4294504991,525,8,112280457,112334341
4096,16,4096,4292981315,675,10,67120911,67181633
4096,16,4096,4293077418,675,10,87037737,87090837
4096,16,4096,4293079000,750,11,106190306,106243368
4096,16,4096,4293209585,750,11,72078308,72136545
4096,16,4096,4294080663,675,10,78238120,78296692
4096,16,4096,4294424018,600,9,74062407,74114008
4096,16,4096,4294489182,375,6,75581496,75650179
4096,16,4096,4294587266,525,8,99659046,99718232
4096,16,4096,4294841817,1275,18,81005531,81063872
4096,16,4096,4294935875,750,11,65728249,65788579
8192,16,8192,4293742030,450,7,66467535,66554562
8192,16,8192,4294452229,600,9,65574161,65639470
8192,16,8192,4294465104,900,13,101165821,101231227
8192,16,8192,4294514619,1275,18,93228695,93294968
8192,16,8192,4294724698,825,12,71873995,71939131
8192,16,8192,4294760725,825,12,91128856,91185933
8192,16,8192,4294781639,675,10,84058575,84114443
8192,16,8192,4294819571,525,8,78102046,78167004
8192,16,8192,4294845135,600,9,71064124,71122587
8192,16,8192,4294916173,675,10,70206838,70272552
16384,16,16384,4294523344,675,10,89054388,89139619
16384,16,16384,4294736058,675,10,93572767,93660369
16384,16,16384,4294765394,375,6,61649187,61780633
16384,16,16384,4294804588,600,9,84847299,84929833
16384,16,16384,4294892601,975,14,75504790,75624701
16384,16,16384,4294900767,675,10,78079214,78166529
16384,16,16384,4294921490,525,8,85453887,85542517
16384,16,16384,4294932454,750,11,73526086,73606114
16384,16,16384,4294943429,675,10,82491125,82577798
16384,16,16384,4294950521,675,10,84119332,84200320
32768,16,32768,4294720323,675,10,93522865,93648455
32768,16,32768,4294736416,600,9,83851107,83978386
32768,16,32768,4294751035,1050,15,78842653,78969660
32768,16,32768,4294806498,675,10,86433930,86594151
32768,16,32768,4294810899,900,13,83007067,83202643
32768,16,32768,4294852022,1050,15,73407316,73537978
32768,16,32768,4294906046,975,14,89189496,89321685
32768,16,32768,4294910764,675,10,80094397,80223506
32768,16,32768,4294938585,525,8,58685236,58809830
