n,k,u,m,r,t0,t1,t2,t3,t
262144,4,4294926643,3,1,196158065,201847843,191077721,187642873,201847843
262144,4,4294947303,3,1,178421006,182330708,188932133,170501929,188932133
262144,4,4294953790,3,1,198821155,195510833,207128960,211557947,211557947
262144,4,4294955293,3,1,179829100,195353305,191211308,183687884,195353305
262144,4,4294956412,3,1,188252551,173060274,188037438,178572172,188252551
262144,4,4294956725,3,1,211345058,207349209,195344906,202836873,211345058
262144,4,4294963696,3,1,172925683,167734978,180349279,187964537,187964537
262144,4,4294964440,3,1,193982338,183023557,179058540,191907044,193982338
262144,4,4294966308,3,1,192336337,203133610,208460379,184026146,208460379
524288,4,4294951281,3,1,187295107,209409779,203816684,193808253,209409779
524288,4,4294953462,3,1,183409212,192843887,192772741,178427792,192843887
524288,4,4294956759,3,1,198363746,195206122,183508342,189581672,198363746
524288,4,4294956970,3,1,199507648,192947984,187895694,185504927,199507648
524288,4,4294962199,3,1,182843717,189791900,173353292,179368772,189791900
524288,4,4294962391,3,1,182312154,191311994,179374981,171815921,191311994
524288,4,4294964024,3,1,199265042,192337656,187930202,184443447,199265042
524288,4,4294964795,3,1,220560363,215794474,209065807,204428583,220560363
524288,4,4294965659,3,1,182969347,186339174,192016833,175829627,192016833
524288,4,4294965986,3,1,184515248,193519737,188589388,177343358,193519737
1048576,4,4294958497,3,1,194920899,204011101,191237374,183369970,204011101
1048576,4,4294958888,3,1,191556729,187219517,199784092,180702747,199784092
1048576,4,4294959432,3,1,191458120,208116070,205200248,198878007,208116070
1048576,4,4294962917,3,1,220674682,207453415,222781987,214702928,222781987
1048576,4,4294963170,3,1,197430492,192161313,187469121,203885241,203885241
1048576,4,4294963749,3,1,206794842,196057929,192599810,203937400,206794842
1048576,4,4294964754,3,1,213766887,196769283,207557935,203085248,213766887
1048576,4,4294965295,3,1,190619169,175261944,190816803,183785928,190816803
1048576,4,4294967108,3,1,219400100,210422457,203691511,196086973,219400100
1048576,4,4294967176,3,1,204256251,211581996,195432813,201583451,211581996
2097152,4,4294964503,3,1,210579229,223348258,220809409,212763003,223348258
2097152,4,4294965031,3,1,202719648,214836207,206604084,196651360,214836207
2097152,4,4294965620,3,1,203597497,196681081,218247218,211318900,218247218
2097152,4,4294965701,3,1,210934197,194459907,204438262,200153305,210934197
2097152,4,4294965811,3,1,202683787,193303933,187989060,202209865,202683787
2097152,4,4294965925,3,1,204882264,210678619,199416825,194401149,210678619
2097152,4,4294966294,3,1,222738148,215694346,204059528,211870981,222738148
2097152,4,4294966432,3,1,231991756,217561120,213056444,225460998,231991756
2097152,4,4294966451,3,1,207444851,202220825,194367196,189953779,207444851
2097152,4,4294966686,3,1,220263485,198309263,212428473,206653471,220263485
4194304,4,4294963932,3,1,207832677,214443516,226380528,221621984,226380528
4194304,4,4294965047,3,1,233009322,242005205,227746950,237503547,242005205
4194304,4,4294966286,3,1,240176212,245137099,227055852,233880134,245137099
4194304,4,4294966390,3,1,234601102,227334454,217104138,224300711,234601102
4194304,4,4294966630,3,1,243677382,249839416,237771058,236629104,249839416
4194304,4,4294966646,3,1,246437071,229161361,238842025,224751296,246437071
4194304,4,4294966743,3,1,216887548,224193552,212249257,205358170,224193552
4194304,4,4294967116,3,1,242027016,231806622,239096836,227899259,242027016
4194304,4,4294967190,3,1,218460610,210938328,203608281,214146106,218460610
4194304,4,4294967280,3,1,233545301,229374499,217371724,224558592,233545301
8388608,4,4294965977,3,1,247848477,256003788,266785257,274529880,274529880
8388608,4,4294966367,3,1,277618370,283465362,268059344,274456579,283465362
8388608,4,4294966562,3,1,263287571,271674150,277066400,254226742,277066400
8388608,4,4294966591,3,1,268439168,264069818,255276821,253604243,268439168
8388608,4,4294966659,3,1,274718866,288096141,292340070,280927185,292340070
8388608,4,4294966792,3,1,265176473,279798147,283812965,272766398,283812965
8388608,4,4294966859,3,1,260469568,265579507,274146135,279285335,279285335
8388608,4,4294967042,3,1,257895709,286237175,276261638,267808636,286237175
8388608,4,4294967194,3,1,282433614,277038997,271659012,288868861,288868861
8388608,4,4294967213,3,1,267001148,262507838,274609670,256283264,274609670
16777216,4,4294966681,3,1,355151479,346978995,344273392,336780204,355151479
16777216,4,4294966898,3,1,356273765,349363221,363891652,371082787,371082787
16777216,4,4294966930,3,1,352073404,361301706,371383406,346758982,371383406
16777216,4,4294967058,3,1,363878923,382048769,376077869,370382927,382048769
16777216,4,4294967117,3,1,352905044,346778802,341232168,363306188,363306188
16777216,4,4294967200,3,1,360171007,353701172,352527463,368375963,368375963
16777216,4,4294967215,3,1,373716331,358985084,353316095,365468617,373716331
16777216,4,4294967264,3,1,364154298,358947397,372259234,352179172,372259234
16777216,4,4294967279,3,1,362661315,350872561,358104194,344209783,362661315
16777216,4,4294967295,3,1,355933384,362424369,350305869,349458691,362424369
33554432,4,4294966930,3,1,558113840,560355016,555167700,546491707,560355016
33554432,4,4294966941,3,1,547490109,533911013,538408571,527087282,547490109
33554432,4,4294967078,3,1,526439726,506040465,517977703,514411301,526439726
33554432,4,4294967088,3,1,531742796,527357925,520520684,516242849,531742796
33554432,4,4294967152,3,1,510228357,522648374,515978239,527927513,527927513
33554432,4,4294967218,3,1,531044164,538782972,525171367,520441875,538782972
33554432,4,4294967260,3,1,537921065,544908485,557251940,550918215,557251940
33554432,4,4294967270,3,1,543440498,527947186,537559469,520436677,543440498
33554432,4,4294967288,3,1,584046181,589742228,580670747,687715131,687715131
33554432,4,4294967294,3,1,544723445,533487746,537028078,527000480,544723445
67108864,4,4294967159,3,1,879419666,862107200,855145745,870757398,879419666
67108864,4,4294967183,3,1,868555075,865052476,854312611,857888085,868555075
67108864,4,4294967196,3,1,893282253,873199853,878709637,885088785,893282253
67108864,4,4294967213,3,1,905963685,902912585,894760498,893719240,905963685
67108864,4,4294967242,3,1,875162428,880719600,887576238,869691417,887576238
67108864,4,4294967279,3,1,876345123,891916111,887745907,882233545,891916111
67108864,4,4294967283,3,1,875328392,895316501,903452654,889192168,903452654
67108864,4,4294967284,3,1,890686379,885140501,879096974,873448588,890686379
67108864,4,4294967286,3,1,888035517,896421984,901100943,885576503,901100943
67108864,4,4294967294,3,1,859913058,852626738,861782125,871728134,871728134
134217728,4,4294967201,3,1,1559821403,1576883152,1572233552,1565109516,1576883152
134217728,4,4294967227,3,1,1574612130,1554592715,1562447450,1566400484,1574612130
134217728,4,4294967234,3,1,1572688387,1586343109,1569057695,1580625768,1586343109
134217728,4,4294967264,3,1,1576346049,1564805298,1558767866,1570676486,1576346049
134217728,4,4294967274,3,1,1563081234,1551282905,1579067243,1561454517,1579067243
134217728,4,4294967277,3,1,1584275409,1605256338,1591448551,1598821302,1605256338
134217728,4,4294967277,3,1,1602275996,1599301784,1581199794,1589995731,1602275996
134217728,4,4294967284,3,1,1592089135,1616870728,1612131708,1603721098,1616870728
134217728,4,4294967288,3,1,1555403890,1567715696,1560313383,1572557282,1572557282
134217728,4,4294967291,3,1,1601117981,1583112872,1594489881,1589834827,1601117981
268435456,4,4294967239,3,1,2951946596,2961057959,2968410283,2952105020,2968410283
268435456,4,4294967241,3,1,3023753822,3016933813,3012747724,3010214281,3023753822
268435456,4,4294967256,3,1,2963806110,2971676982,2955589903,2950540651,2971676982
268435456,4,4294967260,3,1,2975001169,2964946489,2956477810,2981128330,2981128330
268435456,4,4294967270,3,1,2978197941,2985991309,2971057773,2967283069,2985991309
268435456,4,4294967270,3,1,2995010997,2988944725,2982612159,2977136969,2995010997
268435456,4,4294967274,3,1,3004390610,3011822719,3016928604,3021284605,3021284605
268435456,4,4294967277,3,1,2970612557,2962582912,2966450937,2957042853,2970612557
268435456,4,4294967281,3,1,2988051306,2982456446,2970644307,2976943645,2988051306
268435456,4,4294967292,3,1,2962829231,2970945260,2975157859,2958220464,2975157859
