n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t
8192,16,4294929065,15,1,213928158,205856646,194165000,199915220,212121224,209667341,205841568,217099682,222066390,210954223,214397893,218438493,212407697,206180465,204670473,224432628,224432628
8192,16,4294940863,15,1,227022712,219519358,214783298,207597917,227190658,229100196,224539344,237513002,232850102,223130130,211157633,230674493,231589440,215824875,221660699,227944659,237513002
16384,16,4294321845,15,1,199413890,188106388,208446966,193310880,200285113,208853523,193959506,186665673,217080885,212195268,205028639,199597578,215924534,197597194,212888379,203799546,217080885
16384,16,4294439996,15,1,191223380,193989579,198373524,230937984,219799226,216866395,226290453,223451282,225946270,214217740,237307199,225862467,227618237,221659793,233819892,241498614,241498614
16384,16,4294703394,15,1,259367070,256721388,250969223,247173737,257262818,266634067,264143530,254756520,249294192,248333005,258181814,260469561,258631776,264531412,251733094,270600786,270600786
16384,16,4294725966,15,1,212705996,210671516,221072709,209265187,206696714,214928776,210763651,203949142,212325545,209554779,218962851,203438252,210466334,225395995,221697757,214997868,225395995
16384,16,4294801560,15,1,196392113,216082179,211169286,211812891,205539533,213970285,193879315,207766943,210005135,222611064,216528280,204440317,215909551,210162807,204302831,198671526,222611064
16384,16,4294805817,15,1,248530442,238657196,242872187,244986334,240709152,247113145,237278829,236456386,243683625,225082003,231885717,239107383,230880444,246715838,243555090,232755204,248530442
16384,16,4294827530,15,1,242503473,237145103,240462850,232347946,242261733,236944620,231091397,223789466,252895280,247953893,240398308,236106659,248443533,241528517,233433352,225945026,252895280
16384,16,4294914751,15,1,224020991,214057807,220145644,208161122,211077765,224935124,219319557,205988239,225094089,236065829,216053960,223146587,209839957,222140982,214264003,228137151,236065829
16384,16,4294926108,15,1,224393966,230351343,235090147,231879411,227237069,223589309,240376418,225172273,219793283,210589854,236820623,228839662,234520438,219809686,230304988,246664729,246664729
16384,16,4294955772,15,1,214249309,205469835,198651541,194516833,209709564,216497812,220262755,209593285,220221682,227289911,212368017,214677089,224535698,225072864,219730353,211466184,227289911
32768,16,4294605879,15,1,231276850,247262397,242491614,239909112,234985043,246211767,231671730,239718052,236542773,236356542,219889835,227112521,231126713,243168291,247576126,255651754,255651754
32768,16,4294793986,15,1,204344379,220108123,212770166,200058274,212972637,222855164,217140378,209072164,212763920,216567190,206372644,222565774,206235875,220711635,215785210,229754428,229754428
32768,16,4294809408,15,1,234942235,238745205,245539033,243291451,246674728,241834239,236882253,233115826,242684049,254659726,237321400,247137982,241264095,246170304,234072318,230461022,254659726
32768,16,4294878587,15,1,216302015,223245324,215794708,210815130,219497334,224176717,213112736,217432642,227380086,220053492,209023767,218592329,219903679,231808657,225162205,236755427,236755427
32768,16,4294900186,15,1,210161895,208012595,216706928,212024509,205110724,203615150,209610094,215019840,219188693,225631177,213716098,208105401,220370323,209641779,215582966,228719998,228719998
32768,16,4294920573,15,1,244292189,237353275,226544778,240256281,231133501,244152803,243997727,250328236,240119016,254973408,236075447,248016393,248772679,224351658,240260430,231834791,254973408
32768,16,4294921489,15,1,212994162,211710766,207213526,216317564,209047501,221262814,221472572,216604606,227545572,217694406,214384662,221339171,211462836,227600933,225750579,218458303,227600933
32768,16,4294943309,15,1,212421328,214593421,208069847,206632035,223646107,210756619,217263369,210015025,214023118,222976158,230518420,220951088,229180026,225288597,217065849,223629160,230518420
32768,16,4294954256,15,1,209333081,214637789,210515215,203319585,213586756,210068431,206228884,207318268,220723311,215448215,210398820,203041272,224582852,222442534,213112481,214355812,224582852
32768,16,4294962776,15,1,218875523,224770714,219835141,216210274,218264405,221268666,224673314,215493000,220055955,211875528,206562967,232539473,233770669,225268159,215365214,220830608,233770669
65536,16,4294758387,15,1,236063546,234444217,228545740,241414542,234255182,230752117,237235949,242112256,238408454,242129685,250202769,231034623,223858974,214845347,258317842,242289404,258317842
65536,16,4294839478,15,1,209222692,202003546,194962276,216446275,211754422,215503933,207221711,220312326,212241223,224096521,206907875,200075393,215275747,223171896,218793606,229540691,229540691
65536,16,4294851287,15,1,213528961,222792723,217145936,226040246,230714483,222737515,236093288,230193509,226813727,220959235,228909386,215333530,225659470,238967099,239202213,236090928,239202213
65536,16,4294873476,15,1,224722721,233333361,229071998,225218820,229632066,226225012,234686579,224155207,218583045,239961087,236379197,229741054,225755182,230076925,234881099,243225709,243225709
65536,16,4294873518,15,1,206304125,222898363,218596528,214997657,213160799,214413201,208787021,230235249,222104857,221848932,213250299,205919847,227259944,223901092,222488848,237551066,237551066
65536,16,4294886345,15,1,216689025,221973773,211776367,217381406,215966754,222074322,233577451,228732195,237152431,229364184,225790961,242417213,720413003,724907814,730942044,722682637,730942044
65536,16,4294896522,15,1,220273574,217044797,208525510,216667722,210900680,220980584,215247881,217009978,227506328,220400506,209065307,215960737,222055756,216285314,211291927,231651101,231651101
65536,16,4294919845,15,1,237851932,226632382,232296194,223983420,231816686,234708705,230676308,239047563,228034249,232075048,239708047,223971449,244871912,238900144,228914834,232863121,244871912
65536,16,4294951695,15,1,231849853,235485746,230113286,228993297,242668065,236577268,222161948,243530744,245150046,234119253,227714803,242761094,211759644,217434381,222476542,231073703,245150046
65536,16,4294961584,15,1,216563869,206706943,207193796,201839975,210557759,211449520,202676015,214933050,222492368,209636625,227266732,218031065,218069441,210736082,223564158,208371347,227266732
131072,16,4294840734,15,1,208356803,216699462,205425346,212033952,211973300,204676564,200455374,191262784,217996857,211931542,207271082,201124193,206089579,218122462,210701467,226849473,226849473
131072,16,4294856561,15,1,221771336,234533493,231527921,224798916,229734400,218083843,237102436,229016271,231966034,226067968,221987752,237021666,214884478,221064019,223832887,229793625,237102436
131072,16,4294881088,15,1,228830891,216405621,224615666,223130718,230440570,220134281,224295864,217134008,225496381,239690247,231314350,221102941,229307393,225652370,237052707,221048443,239690247
131072,16,4294891359,15,1,240050510,233773238,232436284,228798973,239529931,232466587,231332640,238665923,229227297,235411530,225401459,218524963,244702542,237206621,226811802,230802380,244702542
131072,16,4294919951,15,1,187382497,207593989,194463189,201728523,205619192,198216677,185937687,197479224,204733691,212347547,215990711,199128580,217829926,214405230,207234508,203289751,217829926
131072,16,4294927129,15,1,205870700,224704154,220695943,209971042,221465825,216152336,225875500,221943494,213279752,212492268,218848832,227146559,227390896,217681292,232227887,223932653,232227887
131072,16,4294932694,15,1,209112072,216468930,213506258,220714166,222976659,219421541,230058033,228711695,230287048,232634827,239269410,223149254,228426892,227047638,223096989,241730065,241730065
131072,16,4294951718,15,1,224349284,227750124,208945207,223523705,224735700,229152192,217692374,232432978,221818681,225544016,222235091,214417408,222180287,231632319,227002762,240188079,240188079
131072,16,4294955937,15,1,214537151,209290513,212666122,204351695,214956726,211182128,203900595,198654712,218146112,225781934,222279913,217439746,212651149,207976820,233919659,230732386,233919659
131072,16,4294965308,15,1,183168799,190407566,195171634,210453050,207260791,213584497,218920907,225957042,225083992,221633278,215388479,231845875,220611363,227140174,221880528,243308173,243308173
262144,16,4294938852,15,1,227173450,237933672,232643617,234455959,239401716,251041226,245389158,236565740,227109151,235402024,231714729,245383166,321257581,326284365,318000193,336535556,336535556
262144,16,4294953654,15,1,233980967,229737239,238220981,236557250,238850729,234259881,243846453,243870860,234529526,230452150,239601691,244171889,237181162,242822117,231950926,228329424,244171889
262144,16,4294956494,15,1,231334180,233235272,226533640,223132357,238500867,233743707,229701644,226288562,243522651,229730239,226809735,238292753,232389004,244010044,242097147,228003357,244010044
262144,16,4294956790,15,1,237012862,231980185,220606451,236648696,226451504,232215780,225942943,221211177,217429735,229868593,237242264,247203451,220145733,230722494,205156679,213909334,247203451
262144,16,4294958708,15,1,222951244,226289607,220331236,215804021,234008829,236099592,223968211,231628616,225150622,246952166,241067927,242738888,227014886,238343776,234469072,234205801,246952166
262144,16,4294959853,15,1,221542349,221838638,226404773,229846231,225286533,218309909,218341255,236344322,227706486,237488314,223784873,213494883,227029748,219978143,212541971,236428122,237488314
262144,16,4294960447,15,1,235194394,228782194,243560287,238521304,246268069,234707985,238633011,242591601,246483291,241323181,231268119,260085054,253323770,245740056,252473714,266104617,266104617
262144,16,4294962140,15,1,217056291,226894984,220783486,213971505,226134310,221163976,229374559,218361753,217299126,222814658,210192644,210331195,214186526,225034535,216376186,205838120,229374559
262144,16,4294962192,15,1,216698512,228154106,230970017,224807088,219983348,229143279,225216286,229893684,238928593,219707321,228707168,235875522,237692161,228684682,222295255,246619995,246619995
262144,16,4294966278,15,1,210714961,208543256,218155239,215072369,217960648,212206540,213602043,205827755,220903101,218462939,209540282,202077840,196343030,211153548,214923902,223804095,223804095
524288,16,4294935009,15,1,231509811,228750204,224201792,237155129,226207153,240053171,233754960,230523239,230017721,242260718,228255942,240663883,238149820,226338052,231868938,220276082,242260718
524288,16,4294943088,15,1,229443600,220104888,224218842,217925490,225388944,232840492,229402582,221945533,227990715,230934846,220121419,228966960,236707514,222643340,219138070,237125783,237125783
524288,16,4294954717,15,1,226398334,219785050,215015821,210621709,220756846,234309619,230017417,228255273,238827148,225305228,227351723,219811708,231508636,240392938,231735742,242879344,242879344
524288,16,4294958051,15,1,239127820,235141189,229799202,225100265,239722305,243043589,232154505,237386275,238710169,224625776,216474149,236141501,231484533,241580292,248673718,224767440,248673718
524288,16,4294958212,15,1,232384563,220025572,213192823,225839434,231368813,226921114,224294991,236395644,216697455,224647095,219555280,232100084,226906725,223404968,237366483,236540614,237366483
524288,16,4294958394,15,1,234228414,229859561,227941688,224515252,223188405,232312320,217926798,211464699,244554708,240282901,233691593,253744871,243233593,239671720,230043493,236032640,253744871
524288,16,4294959184,15,1,230222565,236921132,232653791,230295692,240304408,233995244,225678298,227422185,207394732,233399804,223728466,216650439,244028393,240096904,230389127,235502795,244028393
524288,16,4294964269,15,1,227030081,235857674,231558943,239775167,241217356,234428339,237297354,230547641,219056703,223974437,235479175,239489576,243111745,248736206,237631725,256546085,256546085
524288,16,4294964568,15,1,212486526,225426615,218925430,219618823,208191832,208610159,216054333,211769355,222923690,216180987,213028654,230382089,227734790,220747986,233249921,241594834,241594834
524288,16,4294966599,15,1,222457308,229623027,259170411,251439268,248806208,257903131,258003280,262764631,251664550,258717424,264139165,260046402,268494399,263159552,252468124,259445089,268494399
1048576,16,4294959430,15,1,255856733,243792757,247844406,244744337,254054164,255568100,249662527,243426900,257812029,252977342,263878043,248833143,263315585,257563126,253498951,273344595,273344595
1048576,16,4294961133,15,1,238719320,236246663,231263604,236559283,242353498,232962551,243171765,239124147,240719115,231353119,234262125,224107079,243389888,241291686,231906493,229563122,243389888
1048576,16,4294961303,15,1,226330701,214842676,225993519,235831142,241152758,230639641,237563584,233935154,250611144,242617850,247665637,229991757,256744834,241156851,237741089,250939039,256744834
1048576,16,4294961926,15,1,198189687,189331237,196283121,208493909,220319086,214320475,211482777,208211703,201767068,215307697,208061076,227305106,208676135,221141261,205356585,216445070,227305106
1048576,16,4294964243,15,1,218733905,214221837,234603901,221753369,214596991,225770239,218773226,230146594,232405315,220811099,224245460,232063639,238347910,220662311,234450046,223400975,238347910
1048576,16,4294964613,15,1,230904956,220104055,226724953,224038754,230136983,225297181,236784800,222860679,235783883,232566923,229195376,230649465,239177695,227541206,220867669,242802144,242802144
1048576,16,4294965924,15,1,218789810,215879266,224359250,226917211,223377740,220367891,215668075,230038971,229447286,221836025,217570067,218691305,228705341,213795658,226226065,240944076,240944076
1048576,16,4294965979,15,1,207428439,217056638,214537711,212146990,207435409,219121091,218819617,210889908,217479775,207469728,225074843,215389179,229837300,211992179,223984197,216171356,229837300
1048576,16,4294966063,15,1,248840083,244940058,252468178,252877820,245761760,258487061,258336246,250366465,269177449,258530025,264921103,253503274,256412903,269869352,263616055,252079465,269869352
1048576,16,4294966634,15,1,232754881,231310670,237539464,226530163,234451683,236823151,231882388,241578764,231590213,218026566,243383066,249007108,235007913,243418562,238768476,228324229,249007108
2097152,16,4294962219,15,1,226655208,215074372,226522592,226506733,235525496,253115998,258920661,251100774,247792625,254772269,261676374,250063659,258157005,264338181,248124377,263048294,264338181
2097152,16,4294962348,15,1,232927667,220601532,230874673,234593124,227049146,229379232,225757246,239653982,232774896,247182034,230597071,230820637,243293032,228045128,223262049,238597569,247182034
2097152,16,4294962403,15,1,248649940,241829134,245113449,239174431,236814054,241309375,250914362,246429332,246150908,263624243,256769530,252394419,243013643,250809740,239087723,257060620,263624243
2097152,16,4294963549,15,1,220152896,219313623,226346647,222094859,213889170,226023491,219021730,215599818,239051438,227456753,232331497,221460511,225249243,219711374,231766231,241635623,241635623
