n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t
67108864,16,4294967182,15,1,402201415,399711370,396998183,399925077,395178499,393093754,411009516,422965053,421285937,431751511,434950318,435103473,598027396,641064969,645040491,648484794,648484794
67108864,16,4294967188,15,1,400996220,398442865,396306949,407468976,401235318,402435812,395640715,410125392,418317410,407939918,415880792,402837736,417193369,400057750,411299079,406121826,418317410
67108864,16,4294967192,15,1,380771161,408152212,406717788,420118162,413828242,405715430,413976811,410429345,403198072,402738745,419916967,418372773,411653522,411700034,417506432,425816963,425816963
67108864,16,4294967208,15,1,393608659,383206750,389528897,401384881,397936538,394473117,425055299,419195192,420882554,415276422,411243758,416959547,409886289,416600886,430979780,429396468,430979780
67108864,16,4294967262,15,1,404055563,408135339,401011885,410044907,412060912,401162939,398269717,409274961,411732730,419000403,413045626,443329372,433231071,442842653,443978821,443480129,443978821
67108864,16,4294967267,15,1,408515960,421903971,415394089,402373801,416485913,429238166,426992787,423003101,421858471,398547207,411576770,403870866,425663003,411497026,419007541,409599576,429238166
67108864,16,4294967276,15,1,381958499,375076845,370923022,377171648,396343844,386643484,401097448,393394501,399236523,389044770,402047449,394573320,407066250,411429852,396177651,415446976,415446976
67108864,16,4294967277,15,1,376894016,407784888,409626812,404860025,412799523,410570498,405970792,401745448,417835183,415602247,411786740,405648104,401067272,403594367,414663932,410928655,417835183
67108864,16,4294967288,15,1,377800951,389923341,384125101,376344911,367683727,383289755,406052200,397905586,415065050,407354372,412065393,404410690,419713286,410109978,419637849,417222911,419713286
67108864,16,4294967294,15,1,382152646,373129816,371952204,372447351,384793252,379862110,393299021,402566327,389671940,399389610,395331066,406391617,403307099,400840618,407125141,418997226,418997226
134217728,16,4294967212,15,1,568818615,546887829,559830790,555133401,559007448,555318248,568336417,574905044,562553840,582294016,586917969,592332812,590044580,580607219,585866822,594997847,594997847
134217728,16,4294967235,15,1,569633399,571084737,559876569,561305740,565866095,572430362,587945998,594203858,574485559,582816200,597157158,594085286,593087999,600985364,602803519,606602830,606602830
134217728,16,4294967239,15,1,554091208,557603876,545810206,549088735,543376560,555013844,567208054,579979128,571841772,575864602,584615900,580797439,578626083,572150485,588283755,592878908,592878908
134217728,16,4294967244,15,1,565757371,570937937,575442626,572243973,565928648,576560003,562815456,576930967,597491372,601111760,590439759,583338979,604093745,595402954,610068943,611590505,611590505
134217728,16,4294967266,15,1,591348323,569536204,581841869,564316984,583326693,584211250,612464791,615736382,605390956,613098548,611009836,617209022,608229957,608979986,619010473,614642186,619010473
134217728,16,4294967274,15,1,576301624,581350231,575614217,576552649,581691049,582389953,564408765,589501142,583795909,572130890,586708680,598129760,612896809,614801144,607900801,627741546,627741546
134217728,16,4294967277,15,1,571477441,561587407,558481759,606826781,604343286,598874726,609938610,608494821,604808487,600567366,599821291,604630659,583732535,590157258,591914952,599964710,609938610
134217728,16,4294967281,15,1,553903209,558899582,547983171,553875531,578936530,565255253,576816387,568680627,587081928,581690721,584236464,578500314,588313980,569759706,575225231,585730056,588313980
134217728,16,4294967281,15,1,568495080,563242565,574890790,571733081,578011283,570521484,588485569,601330398,594292397,596386384,589935341,616521911,585725609,577350209,594740996,606697993,616521911
134217728,16,4294967286,15,1,569437424,567999202,571970510,580896356,585465129,578148071,584102043,602317247,590334583,597480808,594251938,604732402,591933006,609685523,605782295,610860142,610860142
268435456,16,4294967230,15,1,947844094,934798718,942157158,951404736,954721226,942648018,948101500,941588217,948056820,958980318,984786704,970842242,961577823,965765274,974890243,983854998,984786704
268435456,16,4294967253,15,1,927619956,920416166,926168061,930588822,932347591,938137556,938871723,928663866,925832662,959495833,952812860,956600578,942981379,937937101,951367016,969679199,969679199
268435456,16,4294967267,15,1,908953810,923670154,931346114,924916282,918427718,916366462,940087403,934015319,939973935,958444510,950078035,946410697,957045284,953797780,949856372,957927916,958444510
268435456,16,4294967276,15,1,902945015,915215256,899554796,919513384,908247066,919246964,916014565,904504287,919266151,914362034,928536025,945009765,948290421,937782807,944245564,949523331,949523331
268435456,16,4294967276,15,1,918791031,921880591,926788338,925725510,918698245,914497184,926120694,913508713,920739243,934284296,941883731,953691966,942381851,946468375,955497008,955276495,955497008
268435456,16,4294967281,15,1,944376583,937593649,946344453,953518293,950454394,943607637,942368567,960920922,973036516,967308047,971336585,957985667,964674322,952597530,981658455,977344151,981658455
268435456,16,4294967285,15,1,950356627,946604463,958407763,946139871,951746736,947323678,962040653,969466185,962522072,965496363,977430467,990937526,990356149,984437816,980362783,995264312,995264312
268435456,16,4294967286,15,1,935095231,941443873,932722186,952610169,942010324,947755488,941059181,953505459,963401385,947925926,962895499,971087723,977827038,972202611,963550657,981920327,981920327
268435456,16,4294967289,15,1,907447991,914872418,904673073,920816309,916695770,911313506,934741325,922536652,928654665,915182207,942014154,931916018,928254414,935560114,950735506,944520015,950735506
268435456,16,4294967292,15,1,934715190,935645217,926130181,922055521,934685494,948953766,942186367,955098219,953870497,971366662,960621474,970043430,965316005,968322707,977131871,966372005,977131871
