n,k,u,m,r,t0,t1,t
1048576,2,4294964564,1,1,186820473,192764708,192764708
1048576,2,4294966070,1,1,182965454,187840485,187840485
1048576,2,4294966341,1,1,227200850,243481107,243481107
1048576,2,4294967291,1,1,179025636,188753798,188753798
2097152,2,4294961709,1,1,204601725,211606366,211606366
2097152,2,4294963525,1,1,340151352,316598428,340151352
2097152,2,4294963723,1,1,203708633,200790596,203708633
2097152,2,4294964041,1,1,322847139,318168633,322847139
2097152,2,4294965540,1,1,271060620,304475600,304475600
2097152,2,4294966140,1,1,211404910,223265883,223265883
2097152,2,4294966200,1,1,232104865,233108157,233108157
2097152,2,4294966638,1,1,207256468,201902068,207256468
2097152,2,4294966681,1,1,316263215,340435365,340435365
2097152,2,4294966804,1,1,197478887,201769894,201769894
4194304,2,4294964200,1,1,286416910,291180740,291180740
4194304,2,4294964603,1,1,250518338,245670893,250518338
4194304,2,4294965362,1,1,361640961,391927299,391927299
4194304,2,4294965590,1,1,276753378,277588707,277588707
4194304,2,4294966009,1,1,275090649,269354804,275090649
4194304,2,4294966230,1,1,404384913,428605235,428605235
4194304,2,4294966522,1,1,314088257,320986721,320986721
4194304,2,4294966561,1,1,238933482,238954899,238954899
4194304,2,4294967027,1,1,240186760,243467621,243467621
4194304,2,4294967120,1,1,240426040,236518664,240426040
8388608,2,4294965517,1,1,328499014,334311148,334311148
8388608,2,4294965932,1,1,335387366,330435289,335387366
8388608,2,4294966062,1,1,568610965,592664891,592664891
8388608,2,4294966118,1,1,333031326,331141556,333031326
8388608,2,4294966817,1,1,439016202,432846797,439016202
8388608,2,4294966842,1,1,511366300,568228830,568228830
8388608,2,4294967248,1,1,604323216,580524627,604323216
8388608,2,4294967270,1,1,331413029,338845291,338845291
8388608,2,4294967290,1,1,382420534,395525590,395525590
8388608,2,4294967294,1,1,327355550,335630997,335630997
16777216,2,4294966267,1,1,964097161,940589528,964097161
16777216,2,4294966709,1,1,525432718,528942036,528942036
16777216,2,4294966840,1,1,603441318,612719209,612719209
16777216,2,4294966911,1,1,498873802,500021636,500021636
16777216,2,4294967041,1,1,532349346,516323356,532349346
16777216,2,4294967107,1,1,538735546,562879386,562879386
16777216,2,4294967123,1,1,522491001,515873579,522491001
16777216,2,4294967168,1,1,564815777,572998823,572998823
16777216,2,4294967207,1,1,688868993,731057680,731057680
16777216,2,4294967280,1,1,546868061,545599452,546868061
33554432,2,4294967007,1,1,967644193,966191972,967644193
33554432,2,4294967051,1,1,1566666218,1599724316,1599724316
33554432,2,4294967068,1,1,1026034998,1026342491,1026342491
33554432,2,4294967101,1,1,895186839,892426618,895186839
33554432,2,4294967161,1,1,1588236440,1623678943,1623678943
33554432,2,4294967170,1,1,1611825873,1647865578,1647865578
33554432,2,4294967196,1,1,1648178875,1624713295,1648178875
33554432,2,4294967213,1,1,861585585,869771552,869771552
33554432,2,4294967227,1,1,1231672270,1234944369,1234944369
33554432,2,4294967251,1,1,962154412,959301661,962154412
67108864,2,4294967169,1,1,3016028058,2992355848,3016028058
67108864,2,4294967170,1,1,2182696264,2248264385,2248264385
67108864,2,4294967176,1,1,1820192929,1845313189,1845313189
67108864,2,4294967241,1,1,2284177837,2319617319,2319617319
67108864,2,4294967255,1,1,2169208759,2210585404,2210585404
67108864,2,4294967263,1,1,2797758263,2793697363,2797758263
67108864,2,4294967273,1,1,1546156152,1547443450,1547443450
67108864,2,4294967274,1,1,1860758536,1865476281,1865476281
67108864,2,4294967281,1,1,1990577954,1987505049,1990577954
67108864,2,4294967293,1,1,2316627830,2323780604,2323780604
134217728,2,4294967170,1,1,5405396105,5434981720,5434981720
134217728,2,4294967233,1,1,4978808479,5019998871,5019998871
134217728,2,4294967236,1,1,5849765581,5878424087,5878424087
134217728,2,4294967266,1,1,4440877382,4439103027,4440877382
134217728,2,4294967266,1,1,5593029213,5604644986,5604644986
134217728,2,4294967280,1,1,4944232826,4983758605,4983758605
134217728,2,4294967284,1,1,5771737852,5811666885,5811666885
134217728,2,4294967287,1,1,2931494767,2937029910,2937029910
134217728,2,4294967288,1,1,4162919031,4228430080,4228430080
134217728,2,4294967291,1,1,4787018223,4763454010,4787018223
268435456,2,4294967247,1,1,9585724191,9604231012,9604231012
268435456,2,4294967250,1,1,6784986127,6809167589,6809167589
268435456,2,4294967254,1,1,7877073681,7914378515,7914378515
268435456,2,4294967265,1,1,9173784677,9226848460,9226848460
268435456,2,4294967265,1,1,9682878768,9739911091,9739911091
268435456,2,4294967271,1,1,11245762435,11283840030,11283840030
268435456,2,4294967275,1,1,10498388274,10539760137,10539760137
268435456,2,4294967281,1,1,10438583443,10484186585,10484186585
268435456,2,4294967291,1,1,5711904101,5715842130,5715842130
268435456,2,4294967291,1,1,6630071339,6679864302,6679864302
