n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
32768,8,4294845563,7,1,234994346,225328202,218053002,228919470,233882388,216177803,221643479,228907737,234994346
32768,8,4294889663,7,1,201454081,189419210,184995297,203559682,203923143,199924871,212985839,220521814,220521814
32768,8,4294928080,7,1,239393179,248066876,234861508,237644304,241873729,245541574,232032738,237191588,248066876
32768,8,4294928155,7,1,218309197,226353492,233493602,213734165,206657410,218773805,223558398,212596529,233493602
32768,8,4294948335,7,1,227241175,225581915,235143420,222533537,215243984,223336746,211491518,217623546,235143420
65536,8,4294704679,7,1,199031892,205256994,211512743,194960769,216844657,221613593,206469390,210575565,221613593
65536,8,4294869003,7,1,237512065,221889526,218813294,231755863,222990681,231491950,220947058,237089872,237512065
65536,8,4294887869,7,1,228720197,210452975,219803171,205712291,230455148,204694064,221993696,213829777,230455148
65536,8,4294918231,7,1,232637715,240978318,236441341,220797472,215416140,209583918,227564561,230241385,240978318
65536,8,4294918772,7,1,230422275,242598277,247772885,238708280,244660785,244622210,235756209,233413022,247772885
65536,8,4294935730,7,1,245545369,229875936,237329627,231997225,223205235,232835124,229914226,239526934,245545369
65536,8,4294956444,7,1,218409499,210886587,207005482,213201283,200344127,206007639,202961229,221189832,221189832
65536,8,4294964205,7,1,209742669,219174430,227260774,219799546,202077679,232050679,228236520,218172648,232050679
65536,8,4294964473,7,1,203294798,214724963,218603024,207757420,206530473,201944933,192222578,218092620,218603024
65536,8,4294965113,7,1,229168647,238140226,217616529,226532476,239972733,229144607,233883204,227679961,239972733
131072,8,4294806038,7,1,202351011,218517045,210826151,222897288,215384345,219864126,209400962,206485431,222897288
131072,8,4294926950,7,1,214297073,204370363,210260208,219452299,224101105,215875569,226160282,212555397,226160282
131072,8,4294929616,7,1,221658260,218161705,212295537,230757211,230661296,225213151,221963531,217614151,230757211
131072,8,4294931100,7,1,228734379,235798286,224387562,239284376,228656163,214163920,218814198,225157406,239284376
131072,8,4294931353,7,1,204588111,220551652,211582549,222960509,228955457,230170514,222960224,215307493,230170514
131072,8,4294942413,7,1,223650147,217759152,207861153,227437558,232940487,235202730,223458600,239371774,239371774
131072,8,4294946637,7,1,239975433,226535458,230423728,237180597,236669289,245195954,230029676,234886179,245195954
