n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
524288,32,4294960632,31,1,228230759,228677849,222919032,225449051,220173375,225638577,222742746,227627254,235306933,230671257,228119652,224378584,222998746,231978340,229833058,228120659,224443480,236440875,225332819,231915256,228208144,215323778,222190631,218014044,211488899,221060051,214720966,229552900,222877101,217225810,216739474,227127541,236440875
524288,32,4294961102,31,1,246512271,242128716,242471232,238065479,242814898,241526422,248369874,236425463,252135579,251351649,249902664,248906163,254208922,251121040,247040659,240805275,234913181,250224073,244712654,243191235,250947255,243349310,250904796,254376619,251509812,250622208,236031530,246665786,243701526,236711291,232278226,244167401,254376619
524288,32,4294962005,31,1,207468001,212953865,206281816,202023935,206221613,215663146,238258152,235499109,234413089,232401488,241744301,238081940,242215726,239428679,237643360,232509428,240957504,224867770,235544934,233124825,229346746,249956647,240485075,241381321,221363261,230397707,213424232,231627019,243080059,238298596,242583761,231997268,249956647
524288,32,4294964294,31,1,232240600,240536403,235134029,237543727,242495964,245118565,239980119,247779122,251930614,247307330,231440135,239771881,241887725,232084274,243110035,240051462,237870358,238502007,247013367,250251662,233023298,237480668,240765877,244288282,234611058,271483315,282450993,285579302,275276964,279210945,280251903,278701610,285579302
524288,32,4294966372,31,1,209694999,207223039,206590714,204613032,217763236,218379111,213747510,205405961,207969542,211452627,210259907,203080532,203993841,211439120,204640924,208047029,214844614,222415277,207758152,221265730,213985686,249875003,256487075,252346418,252345152,248187562,253133886,243593999,246832359,249273345,254980163,254059489,256487075
1048576,32,4294955661,31,1,181953495,195135703,209349730,235908361,229757662,238865302,233363205,235192640,232554217,229727763,227908953,222713889,218076718,226677666,235559596,232153041,220729979,228891109,226111782,226076500,225102041,216711393,220194506,224471464,223212276,222625787,227070652,239379322,230663261,224576616,220810531,239693774,239693774
1048576,32,4294962139,31,1,214591744,221113383,218240302,215798467,225794274,231258657,228474956,225354928,232393004,227416895,223479978,228314583,220189464,229326398,230563224,237947213,234202594,234133911,234918822,230593909,240346954,231741400,224087541,230902893,237234513,244222148,257564378,267995466,268681490,269137980,276249970,274266808,276249970
1048576,32,4294962720,31,1,208387559,203032708,206185921,211863933,214375214,209187060,215360436,217615650,212657052,200029454,222190892,214922337,210929783,208557591,219656282,214331977,247182642,231892278,230651007,236300248,245784130,228681973,231448598,239930833,236236059,240697674,233041786,245609366,236179818,250932064,256929831,253662208,256929831
1048576,32,4294962991,31,1,222813447,233319850,235148566,227607478,236695247,242970088,225517714,232264916,220192946,245671403,243758503,240424353,243417387,227442900,235352533,232251402,252746139,250636163,244128644,245921204,240944474,250617050,237399538,229689644,239407872,235845303,245189262,253607240,274007138,281570397,299436057,556710535,556710535
1048576,32,4294964031,31,1,223793232,218230806,220569774,214999115,218858410,220015549,215419012,208215870,226376939,203788820,205466656,207463869,228622822,224624583,195657390,214097962,202574056,212393409,215246802,217162697,228410601,230342741,218520661,222842783,223957057,241350777,258687334,245958859,255747426,246879293,258298558,257342345,258687334
1048576,32,4294965880,31,1,200414900,208932409,204007953,206147239,217973255,220688196,228481792,223467743,225640801,226913641,220197622,235683985,220263051,218072738,215027746,219902422,223549240,225856684,221061411,218196217,247767155,236111066,240888471,250758913,252037189,250628001,240029453,246813087,387981737,393203731,385519918,399459259,399459259
1048576,32,4294965887,31,1,192728337,196951110,200208599,199164928,210849271,208481969,205221889,197105778,194175674,198799808,203578437,196455627,206679901,210550978,205750653,199362389,241172749,233812297,228990267,242687359,237841826,227160785,235837657,241741145,236556722,233822038,239221942,232892134,222661549,242363782,228481424,241508282,242687359
1048576,32,4294966051,31,1,223537343,238344916,237437915,266312727,263401940,264479312,260016115,263466389,263378449,259742722,257234817,266588050,274466432,261915377,252263849,270656862,273477210,268214705,265513140,263017401,266345218,261015766,258620126,262210036,253495677,252313663,259129320,258271751,271341265,256807911,268209509,282208939,282208939
1048576,32,4294966630,31,1,244943265,239952886,248064120,243170346,238826104,235084369,228094124,249184336,245152797,253583319,249319353,246150973,250841668,241767661,246184279,237350932,254101802,232927598,248668436,238955319,224989529,234747961,231978452,218857382,238798565,234061418,249147307,225050352,240230124,229399529,238151390,250719648,254101802
1048576,32,4294966949,31,1,225680514,220042620,222865143,230499184,232325866,233187195,227470356,234306892,230978210,239045009,238643480,238154405,239998844,240130284,236609050,237903709,234417132,230945683,218536496,239242457,233164452,227687394,233515598,266295408,264868878,268846332,264930840,270548863,270279845,273784735,269221180,272848914,273784735
2097152,32,4294952852,31,1,211975587,213678366,215068541,224302159,222465111,220958355,229791586,229068931,225122526,224493243,220101673,228223471,229928910,221315809,230458495,240953021,234238571,253632695,236763316,242570935,234431261,254563289,246856044,227612636,242214873,258689546,249366897,252843274,262548587,247883017,258127054,268637357,268637357
2097152,32,4294962904,31,1,238475944,235804645,233261775,240057980,236539992,244058915,236432027,241441910,230897090,237878410,247092634,227634242,231302210,236674999,235431978,240945773,232606535,237619990,239006750,239065002,236573539,245614189,232685744,230702871,242244863,249580165,237599525,231626663,268548555,274566698,280205753,305947967,305947967
2097152,32,4294963874,31,1,221400484,228427992,225309567,220382792,225713825,232916700,229114960,222533661,224221389,228425475,224028582,232129608,228255932,223709259,234653943,230166250,227926401,220800395,224647905,217807380,213541394,230044232,222371337,233193697,218410076,233546406,220579129,231290343,217744839,214916398,229988339,227719635,234653943
2097152,32,4294965214,31,1,219170460,217322721,227669037,224687366,222003854,228267707,222714727,224987183,220003755,223936867,210585142,215988252,211682892,211840349,216904832,206121817,230888019,234076298,228600781,225769849,208031263,222760822,216589515,212694258,220175543,227339165,235138348,215819863,216167224,232864804,228066584,221826509,235138348
2097152,32,4294965657,31,1,230429004,227534218,232975637,236275160,214575486,228890447,220139594,231271703,205925852,236945449,233751719,228666990,232984290,229314199,227142486,220809386,231361506,225838823,234504664,228879381,227941410,221242948,213577439,207243645,231039804,225037613,218340082,217688756,223045622,208033082,222961275,234719072,236945449
2097152,32,4294966544,31,1,231960981,242860244,237609891,234920451,233940866,229633220,243586295,238427590,235920285,229014172,234068944,237195223,248162482,242897776,221294402,242151116,236504743,242078605,245361559,243358573,235952377,236929203,229859514,243035836,244278635,232123176,226621982,209053751,228225907,241671964,216978087,238745157,248162482
2097152,32,4294966719,31,1,257812526,255332422,252483827,266151082,257266002,263468164,260327746,263099854,255043168,249452905,241810404,262829016,260194144,257834696,256363364,254586597,264383627,259422724,251178583,247689065,257878503,263738822,255609460,262084689,252880589,249742567,264663389,262592272,259529267,252183444,243844876,237212003,266151082
2097152,32,4294966777,31,1,214254255,200757388,257335924,233060493,226542359,255906847,255263558,251646757,251749484,241302185,243597245,236082837,239271863,249154143,258360611,255470060,248927206,252771082,250040680,262850566,257529229,259940202,250682412,250033211,258682500,241459923,244590501,251430955,240142077,250214482,239453898,258204081,262850566
2097152,32,4294966833,31,1,201873565,196152152,199911025,200394145,205972236,203632639,200874315,196368812,204517099,208754298,212061278,220801397,235118390,231293415,242366560,238355007,242910084,239870170,229279796,238367507,227947032,211630909,225718651,243964998,220014077,239867727,231536730,250993191,482969645,481517990,639694619,636246136,639694619
2097152,32,4294966937,31,1,204831322,208001168,206666393,211607249,209838344,216612672,210846353,222255617,224510629,219459192,210786360,214943612,218907602,212746756,209593541,205399867,205619339,213470227,219954908,209750181,224509395,217367738,213932970,217698229,230724129,224567954,255552360,249378718,251984385,245662676,252554636,255660205,255660205
4194304,32,4294962643,31,1,253255584,247904853,245115141,243202396,246339232,241351374,237474764,237263141,249960846,244984641,245981407,240292034,243647107,238048659,255019598,236859459,246663624,247411163,242592534,246165812,242237288,241280318,234902837,238362656,256142694,235764134,243697788,248598150,250938026,244550398,238615359,233900304,256142694
4194304,32,4294965019,31,1,185815815,197367919,190014486,185768315,231272209,226709998,230871502,234907791,229510401,237814421,232484654,220058734,214726920,226171213,223004563,219269840,227400819,222966293,239258819,235976948,219806145,233913538,230648368,239150004,229087637,224986031,217269099,224592882,235757266,224498313,230019398,218929300,239258819
4194304,32,4294966151,31,1,215713988,212180868,217539384,202227056,211365802,207030275,203876635,213127279,208176291,220692927,213216552,209794132,207378463,211559095,243656223,250865576,247493921,247772284,241436867,241765409,236669456,252118995,249011992,246459428,232871364,243727685,244166604,236716874,250257583,251113614,242232641,251226695,252118995
4194304,32,4294966276,31,1,258139270,255314968,252948422,260362741,253888106,251259689,257737823,246771511,252768086,256143340,266555696,263675686,261515320,260107913,261894494,253253360,251231957,258260332,255244815,264719958,259389686,262003728,255861768,265555730,254997769,251346060,246984019,265436296,252996770,243546183,248937124,263553134,266555696
4194304,32,4294966481,31,1,253073297,248762308,248987769,258581221,256232019,253702952,251134952,248617461,259525170,253664709,255734097,262804447,264925514,260683450,266006321,257728751,260592557,264017625,261675331,253494019,258547418,257818973,267283318,260732374,267860959,261865969,277108200,258252823,263706079,260562066,256345631,249759873,277108200
4194304,32,4294966609,31,1,235427881,230057530,232534225,227721039,226274870,232017639,227820184,238571061,241148215,236140638,220987294,228978812,231514367,219408493,223924237,224589719,228650882,211496609,219358363,232942111,236271899,235873946,242187509,225327138,231455942,262591029,272314292,264324702,260586224,261718753,264199402,275953767,275953767
4194304,32,4294966622,31,1,225404564,223089354,220383626,212229594,229365643,215145571,211540826,227426010,232958631,233195139,235544017,230367535,224158133,219632357,223525829,229872166,220017424,224587073,216691663,225647865,232094249,263502858,253859781,264532565,256683889,268489572,257624215,254276196,246494812,252177249,263638898,264049200,268489572
4194304,32,4294966650,31,1,251350400,259182020,254226929,262469805,254527165,247827810,265828364,257512111,262871895,260580025,263191440,268803087,261193610,266100964,259577609,254462943,258564577,267628819,261740601,260711076,257590688,264642365,263532533,262779415,253212852,248419139,248968684,259047664,271420213,264362907,253445467,263611354,271420213
4194304,32,4294966742,31,1,203157481,205789281,200017562,211265270,205855755,208778530,217982571,212204719,215634793,203122637,209770779,201271522,202967798,208624851,208688602,207248428,203721005,217108994,205881620,212000366,211094849,203673961,194049534,242705689,240344098,246773227,240121748,246901514,255149068,250735844,241360336,250851048,255149068
4194304,32,4294967106,31,1,209791569,225267525,218438042,215302005,222221842,218301584,214629339,223909950,216879952,221121238,218311885,207697343,225513293,214545823,197504202,223904075,221144551,215677607,224076527,218779256,220221423,231713277,225232882,213342828,217454053,220037920,223170544,208295366,211835856,225920748,214196682,229347263,231713277
8388608,32,4294965257,31,1,262826170,263353000,258615217,267347462,265490994,262179176,262832887,257682561,260526170,248639192,271187381,271262027,275487542,261983065,250227471,257522973,256596074,259229317,244649033,255616075,258201635,254884073,253813491,248220079,267977619,253382130,259037624,265655251,267598415,259281806,254072630,266008694,275487542
8388608,32,4294965705,31,1,241393862,237754004,235004741,231630161,241969280,237448033,238232577,233321653,229681189,225216226,242090269,235253890,244196389,240523662,242039591,237669132,242197955,229729407,242605112,237375285,237801235,232691809,246172850,274065039,274885329,262506497,275428768,266428257,275152265,271090851,274212128,279428800,279428800
8388608,32,4294966438,31,1,204544300,201225703,202680473,210431793,218149311,206101258,218879656,235653106,240774730,244429664,238919754,237792269,232695702,245552317,242514035,231252571,240047126,225360530,237211171,249557924,246290798,243938203,240475863,237923333,235696634,236499738,238508997,241626458,230852981,248784769,245529601,234644592,249557924
8388608,32,4294966833,31,1,233971251,231470422,236589262,247357272,244667699,241907196,226279578,233718975,232393335,227587152,237678751,254984675,252764461,249944157,244999793,236356725,250133199,243979322,275669379,277328911,281207897,260675187,265580515,256956621,253900212,267550910,271247660,273503398,284855123,264320801,267351395,275412511,284855123
8388608,32,4294966983,31,1,224493225,224226378,232328022,229683257,227521011,230615013,213136117,210429066,223921935,222246457,210478903,232655483,216570706,223459057,259777790,249252148,244686748,259332629,256073659,253717803,252343938,265298491,245904102,255062909,248448544,244832425,256700057,250306423,252365754,243441391,266272260,253382312,266272260
8388608,32,4294967027,31,1,245406128,248928276,243216739,240580762,237161991,240380718,246014451,243014315,247397704,236415605,241273087,235178592,241914868,241980680,244871498,239521594,241306885,245179738,244412635,238944478,234460007,241044833,253647444,249836293,247916129,243284321,236781019,234231390,232842497,237754432,232258723,246346021,253647444
8388608,32,4294967043,31,1,235840191,241164882,239529499,255839727,262392915,259938068,257441556,262655050,257160495,265956702,260852712,273329498,265889342,262765952,257604616,254007110,256780554,269664608,265180015,261840640,263960027,256175413,260424537,253585671,266190409,261341398,270798459,256708988,268300662,263376258,258690697,256150213,273329498
8388608,32,4294967210,31,1,201569528,206102240,212959873,210782834,207876584,199667392,207459306,206801820,199405895,195435855,202398721,208484847,213999878,238483577,246299112,224937354,243199332,240652024,237696498,240024621,230343399,246787279,242524016,238890497,227737095,237161938,214086274,245857104,234989473,222466876,235295911,243436321,246787279
8388608,32,4294967239,31,1,264426251,257685859,261651470,255689299,265466855,263534287,260827156,248553276,259896249,255368053,250866166,246041216,267623653,265415373,262470441,262044075,251309671,257622433,250338314,257289378,253065457,260969244,259932156,266626617,261625568,249569031,259221087,245465032,260145077,259242725,247095987,251021699,267623653
8388608,32,4294967246,31,1,258298303,252881885,251613137,252605091,256384636,255682182,260530789,256126184,264346144,258927391,245366170,262534988,256715760,251455340,238888743,232224686,246723273,240943012,253266638,248367136,253455748,251009462,246114307,242878118,242817601,248415004,233258201,236564247,246768112,261629377,264028476,258365965,264346144
16777216,32,4294966471,31,1,256898743,256777249,253184012,245954018,257272397,290530620,287186506,285564136,289058739,283762950,286386645,281359658,289917373,282497724,288683351,285313339,278926404,285571940,295286974,279206460,289393062,274614998,283562150,285827558,278264224,281759295,273151574,289019919,276495132,271057108,264620331,281033885,295286974
16777216,32,4294966859,31,1,221557023,218745521,216200367,213285481,231680950,228334377,228411778,224341733,233115645,227612024,230793082,220430678,217879068,213547862,216636587,213125113,221265478,212566706,220844246,220254710,232304360,232482466,266029320,252361519,254045651,258649683,245489961,257371018,260595006,248611522,264712381,268473202,268473202
16777216,32,4294966878,31,1,280275836,277345876,274662272,271850088,278914387,273685418,270223839,276254755,273112234,280979145,277411048,269710387,278445307,277215851,275703918,281899404,273805497,271672753,279683905,283664899,279500716,276722120,273320285,238943425,284711995,244141970,253482501,256706708,274003058,279947639,270460094,265809493,284711995
16777216,32,4294966922,31,1,206728672,204341171,201599877,204802975,208519577,211359299,205924548,212344729,211644202,207469482,203462994,209884733,209167000,208742375,204400244,205725696,225098380,244705030,242442283,230173804,244716596,229231717,242711490,243243557,242851242,246090630,239285283,234297249,251959536,257171394,246074302,241379719,257171394
16777216,32,4294966982,31,1,251904007,256454222,252165733,248359703,253199938,249777022,255447300,252162927,249942641,233864380,246390632,229863314,247164594,251174787,249149397,242775072,239657826,244827870,240697468,245979517,239592177,247522241,246000472,251254649,247944554,238482528,246226719,237658632,251418194,255632454,244667877,241706461,256454222
16777216,32,4294967178,31,1,242765959,244648303,247579750,251380315,233741266,238041484,252151594,248038846,255428590,245025131,255878171,239905194,252723764,252079098,235046732,248359584,245803869,240646390,244725728,251944550,259863672,274895306,284125860,275530203,289241749,280269367,274913364,291402013,319785361,313747280,347991024,345287091,347991024
16777216,32,4294967180,31,1,259521209,254365037,252057519,257261096,256681225,262819103,272161682,250765351,269227328,266534167,264118743,256471092,256639431,260501127,243337316,261286539,269085272,264473338,259673860,262902985,262409028,256192437,266964244,261496527,275086855,267783865,241608176,262719335,254086710,256790646,260959137,246351152,275086855
16777216,32,4294967232,31,1,244732142,239354630,241910892,236904927,247782463,251339992,241566338,250137280,247874800,246350344,240293503,244219290,243516108,244225998,246137913,238631107,246035465,239946173,236284348,242540816,254544919,242050431,246963596,242795761,252762396,253564919,274019410,277608137,278254732,276245993,284012231,282898302,284012231
16777216,32,4294967248,31,1,246823412,235828289,244009703,233507357,241170557,228535475,237694619,254472428,243006262,251385752,232397919,239200982,249107741,231991508,246076445,238070816,239287731,230306030,242043272,255645351,252378817,250141112,247109845,244439173,231130592,248064236,239468566,227093052,246612297,240946721,236528784,253596440,255645351
16777216,32,4294967286,31,1,224238458,221952862,219298433,231186142,225957160,229435129,261661559,246474746,251175297,265694412,250269563,243002142,240316250,246224515,242101563,255514996,244441105,266943297,259717823,263849525,248598161,261268145,254785148,258122359,254500839,262950366,251354766,266711988,252049557,244163386,237657405,265398301,266943297
33554432,32,4294966984,31,1,264557257,256432740,261719125,259243293,267856925,267428434,263451572,269579149,272491602,268261085,257899184,255104097,262834459,262316388,245657876,254504485,271367761,267385774,263883860,260620276,266443922,303042830,283655183,306691859,292951088,284901081,294531136,281418855,284179789,297501231,295885287,302558630,306691859
33554432,32,4294967129,31,1,249870876,245980932,253198016,249945495,260492292,254217145,258735282,250109707,257045287,253582633,292468331,281347632,276406322,268810131,270793998,272928034,289361782,275022009,277573351,275855749,272989820,283772988,284746020,279842559,277358800,294001218,290484620,283761580,275775123,290074930,284089119,278883399,294001218
33554432,32,4294967140,31,1,249886761,246675135,244694143,243228131,235858934,240565927,246906559,245277145,241487651,240613803,259290163,259262293,255479716,257334428,252689847,255890110,248617376,239866353,249344594,242340471,251399486,248620332,255877471,240816355,255926358,277935696,288066869,291607053,280275337,284350727,290823140,290752012,291607053
33554432,32,4294967153,31,1,250710059,246866734,251367518,256786119,252563651,256803763,261783957,262168517,258576475,246642610,246916488,257097569,269455752,287840777,281247188,273424904,276666086,293444582,294671837,275536205,270490946,279561791,283323050,282461117,279853302,273476480,286305230,278932860,265406324,257846609,288808697,278199517,294671837
33554432,32,4294967181,31,1,238181153,235768615,241040751,247692164,245344278,242223766,246227106,241077107,244433766,279964252,278636619,277622085,260481142,254486543,267039940,262137534,266472182,259805851,266221670,273100483,274477578,260196262,268464542,264993016,275343091,263049109,257443528,274238881,279957584,268895117,272520558,264502451,279964252
33554432,32,4294967187,31,1,256218512,258879101,253084182,273425136,271977554,275083277,276391033,272027919,274841378,258817125,264049864,256069220,269598498,267086096,298464314,307954141,299571552,296134035,292068001,287540539,291828303,298338485,294911180,288767822,307905080,286738247,299093017,294692745,293324270,301278600,298699640,298565092,307954141
33554432,32,4294967222,31,1,266664162,264500388,268376257,268728059,264379766,265833922,273581403,269865441,283591621,304236985,297798567,299799825,288595643,294272240,300049085,296760356,304146575,295912839,291848847,294296968,293433634,289348344,299270148,306615705,289065888,303083221,295919256,285611413,297013526,293034861,285722146,282797681,306615705
33554432,32,4294967227,31,1,239874120,272027496,277831464,274496372,257620695,269308147,273221976,269285402,264378395,265363436,261520110,270204652,253909071,263527153,267682816,264407683,258510494,274013242,270865958,266280712,268594774,264247304,260523171,257508964,277110848,263330660,258306274,260806115,269820091,273440032,279534813,268291020,279534813
33554432,32,4294967257,31,1,242663614,239729896,237098629,234283041,248004400,245671333,242001788,246294857,240929497,244334398,279647812,266263294,278036938,273576275,259437496,262953246,250337104,271755829,263191817,257845271,263288363,271889607,267064387,259410277,274760817,269251427,281470315,266155940,270722042,267295144,282471558,280223346,282471558
33554432,32,4294967277,31,1,237083809,232507558,235044855,240843497,245359104,241050150,242277942,245750181,239830082,276522309,273428182,262336239,268497146,257391720,256448026,278230899,263545964,276248854,271899647,268444650,274206181,264860891,269569739,259498236,279084756,273243906,267720543,263137048,282258968,274583266,268549379,262784698,282258968
67108864,32,4294967102,31,1,306797047,312525755,309745818,304527713,318032427,312575562,316242746,310615552,315733383,313555152,311979153,308419988,300501863,311251974,307552416,319564685,308816374,327956915,339927502,335961429,332246685,349948618,335041147,348136061,331984583,344457947,340118392,346836791,334076837,342046875,344011222,350717602,350717602
67108864,32,4294967105,31,1,289200328,284163337,292694225,287298923,297164274,293195481,298059188,299304894,302167056,297533577,329596244,319265810,307791363,314374031,303788286,307616211,315913122,300634781,318944257,336738609,322790812,320070406,317055076,316862174,317871508,329454176,314507921,325457669,313236129,316796288,328001868,322906443,336738609
67108864,32,4294967174,31,1,297995349,292560548,295056589,290371951,299549603,302294086,296890530,304609974,299367297,302445093,332737383,313570343,317859357,309429578,323934195,317443724,328875794,322410725,314244548,337596868,317005266,328100261,323991925,322028103,337036603,331710926,320485261,327783983,323021672,315766205,311887317,328620744,337596868
67108864,32,4294967190,31,1,308272890,305046399,303749296,302146590,315734094,310355945,321415503,318934200,316136566,316594516,322473454,328107261,351567212,333470415,338862397,330570462,344437553,345196016,351280356,342025577,334972305,318437001,327839259,341806105,339112588,348352419,335861387,331816287,338436125,338824955,332956596,354742917,354742917
67108864,32,4294967200,31,1,289237330,283874781,292497877,287169410,297157692,291654803,295467466,297814416,293192229,298568259,290771576,294331034,294921486,284393683,301128529,292196886,330592837,316074923,310197114,321526805,314675538,318706995,309623326,314050674,324551035,321406496,317374900,332504062,325963688,333517865,330300532,330023334,333517865
67108864,32,4294967241,31,1,298829627,294484509,294628658,290514098,304299639,306741082,301433847,305545232,303094786,300208100,302644433,291201417,296082614,336015267,310807413,304758322,325773319,319160329,341679388,324889040,328840680,328195808,317060324,334544209,324147527,321221320,320627854,328577550,338796230,320893401,314743058,331368526,341679388
67108864,32,4294967248,31,1,295242065,301543494,305221004,298620027,308642594,307681832,309064743,304105113,306129340,312148185,343471444,327689366,321977918,334476873,329797003,334488823,323614047,331265596,328957143,333955724,342247984,316996313,327950502,311249469,333734086,319677427,310890608,328403384,331754731,343737869,326239857,340827315,343737869
67108864,32,4294967253,31,1,298501062,302160481,297401422,295918317,307584236,312723658,310583578,305257779,325685782,329179017,331071953,319102760,342500507,334999424,339026800,326557088,333951082,339559840,330896672,325368685,326354735,343415398,332101834,343276424,339315377,341056980,334811100,324816941,316294419,330988520,335291160,347156271,347156271
67108864,32,4294967266,31,1,290173564,287079718,284539015,280916190,291019387,295742390,290547512,293511602,294356091,290381014,297594772,294563568,288582549,307110644,306698917,310113391,314396590,319240978,302187192,307191555,327762725,311408340,307564071,319713034,316220149,311776709,316384438,326847115,331764988,311124695,315742457,327417889,331764988
67108864,32,4294967289,31,1,294272060,303330760,299662625,296551684,306099538,313229836,309339605,303314109,300670738,307441335,310527583,306223279,313362790,304322736,300012778,303601033,303626445,300771696,309551074,299171133,299211606,306156797,296136701,313435195,319559216,311435378,335898319,335342862,327117082,337822762,338923178,338889934,338923178
134217728,32,4294967170,31,1,393391357,389290386,389237163,385210417,395427864,393513218,395930424,391757408,396071355,390803890,396388947,391178620,384330357,377563470,376842803,383387830,426795916,410345308,427619411,424082689,406634567,413437028,412288134,417963386,421806904,417615510,422693693,418194442,415238888,411013463,429999430,426279471,429999430
134217728,32,4294967240,31,1,384996842,379507735,376380096,381603959,393702246,388701161,385068703,389369843,386758891,394307864,384424676,392766926,388023642,380980660,379997763,393211034,390162034,408228130,402914172,420071840,412049627,417404819,404833858,407291223,429242760,406382684,418488217,402714182,414658093,410121957,420543315,427103836,429242760
134217728,32,4294967242,31,1,395579457,401266452,398506801,395382585,408369051,403259334,406118731,409384477,412417167,409270554,390159507,399290187,441684168,428775393,423518898,417712912,411713212,441772771,422493494,434877296,430533962,418685467,435932636,418570794,430941811,424657337,434285029,439650763,425927251,421623551,439334461,430208203,441772771
134217728,32,4294967246,31,1,401616921,398761456,398784426,394800314,407434388,410234243,403785814,415182264,409307545,413567798,407668494,397260158,402896784,393881788,418692477,427440844,446990364,434463795,422016775,429000648,425571496,424907522,433436077,428693913,421718801,427435107,435470000,447848127,424416178,439954711,435270530,415448018,447848127
134217728,32,4294967246,31,1,409031511,405812287,404326818,400310290,416831913,416830119,412808946,414303140,404520133,402909647,402867474,411888951,400360640,421614863,409585942,388843917,415853504,410080429,398673511,448949761,435326499,446497851,440097623,434502327,428832000,432755193,438319575,444721121,442284864,437732022,452703355,443416587,452703355
134217728,32,4294967250,31,1,380816550,374656549,386538533,379972809,391670689,385944750,390599550,396401384,399373868,393699969,393278928,385809615,402180066,397611171,390666404,388051918,413275670,422022890,410004092,417750545,431073469,426558713,421494091,423047350,429962652,418215156,415233779,423756602,412011997,419650498,427344259,427614114,431073469
134217728,32,4294967273,31,1,381878815,385143150,379865706,376843786,387119969,394294087,390378868,395466833,394817783,398014518,391161797,389451032,404236690,402494296,397729185,386430326,405169896,425734545,415589338,412233782,407800267,429946984,412205850,416819531,408017438,410825718,403982701,423826428,421274438,415644300,434886920,425512190,434886920
134217728,32,4294967282,31,1,370006155,373859902,371041648,366036764,382526558,380388668,377806072,382534906,377096692,380485786,387863129,380079043,380004711,381795083,386809040,376079612,387825559,404830444,398123773,410868749,416261242,409918102,400943742,396760073,409353444,411209679,416202165,405385957,416151676,402751236,417992644,417098311,417992644
134217728,32,4294967284,31,1,390561977,387693024,384745756,380742345,392074534,389485705,395042404,392415481,391434780,387006656,391338771,395518368,387327234,393969368,392383179,398847408,390542223,426065900,429465460,425325755,422575686,425335576,421803446,423919557,419614210,425033406,421103157,406993669,400316711,414940248,431278016,426469364,431278016
134217728,32,4294967289,31,1,380159013,374622928,371764108,377367540,370439224,368025490,364867158,386336992,383943430,380745084,384688777,379191356,380938727,370363531,377338907,374869659,400573662,418251854,401254142,408209485,406910706,402672125,395690001,398318514,403332953,405958651,409000043,397893312,402444003,394770317,415304381,414169220,418251854
268435456,32,4294967274,31,1,554353173,551018870,551596788,549319393,542999872,541733164,539880248,553711807,551131485,548330969,551540337,554621153,561950749,567010789,557148732,563383426,575534724,576624672,564685973,582480877,572860238,585792303,568566820,573787482,559567809,583467293,585298861,594037724,589351691,581058704,590957785,594167918,594167918
268435456,32,4294967276,31,1,549156864,546092033,564644634,571544813,568614256,550698571,563484649,559643861,560049192,568193177,567452720,561074998,565824589,577177064,583069334,579309961,571845877,592425945,586942773,585082355,590275277,585124150,592322339,596306301,591049982,604174487,598429694,584915301,600826241,594589377,590845204,610419259,610419259
268435456,32,4294967281,31,1,571955492,568980613,563720826,562619063,568206030,576344165,572859174,575952099,574416617,570535008,568972268,562343362,572822410,581407418,576045796,581504732,576081573,586947436,608998550,604587835,588297562,591507755,603310645,589936814,599159996,592743085,597043257,594494518,603246762,585666144,611789998,622205078,622205078
268435456,32,4294967287,31,1,553442385,549904274,548470342,545612381,555847034,551896783,557846328,553690215,554652250,550908031,549243373,545771804,542088101,540187633,550412560,543274580,561246275,548948601,558444157,553268076,578864010,567214925,578357758,571818575,576965651,573687577,577055732,585219631,590438572,586362193,598768295,607092305,607092305
268435456,32,4294967287,31,1,556002706,555753442,551837983,559922293,567797542,562316260,566426377,570050161,563783065,562574816,567817944,558691642,560263715,560111574,568459695,563403337,569936549,565134016,560548071,580678196,580623534,602019089,576225783,589657360,591923277,579691549,584377641,592137763,579997789,588037349,600075117,602233180,602233180
268435456,32,4294967288,31,1,561397589,558126654,558603091,554392371,572162496,572186422,568276795,571391792,569078299,566209074,569908911,565566503,567510756,562685814,573883398,583017334,600849852,591954450,607428637,597538119,593074147,591068049,586673836,591268629,587824853,597498405,583940018,588791545,582838698,587583938,604911563,603221651,607428637
268435456,32,4294967290,31,1,564475264,559082248,567873856,562306378,572950349,567384003,566005634,571509510,570798975,565863821,574363117,568973746,548887568,568816364,554878690,579677349,564275975,544793459,574789160,578736772,571114376,567299847,580372766,570940733,583006519,577884238,590382759,593153582,601759987,612239207,597299327,608791544,612239207
268435456,32,4294967293,31,1,585831021,580347227,577954480,583577569,590954834,585934248,591718202,590133281,592343012,596054270,585401799,581739352,578417196,598151297,583230520,590613974,588539796,577570328,583711699,595556529,624882167,626098405,602555800,615995292,611984083,606163565,611312332,618976763,613501451,609593172,619162434,631763913,631763913
268435456,32,4294967294,31,1,579703103,573725450,584542217,578895179,583911602,589582764,586405488,581349812,582816442,581384983,588920434,585872537,571645209,567923865,572112773,562726435,576958751,580504945,570667186,576800948,588730904,574633155,581302940,587188947,580401153,585466395,577588280,601632334,610362322,613039336,609810714,619141260,619141260
