n,k,u,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
8192,32,4293891299,31,1,222556094,216945059,226705243,221930850,231902221,228914112,226299516,223549842,214232998,228891920,219329028,211985822,232422331,226945101,223349349,213799742,217617987,220912492,223140289,225661579,226421245,218312010,227686309,216598027,207430217,198995038,224899176,218121817,216759453,228036125,223185788,214382129,232422331
8192,32,4294121998,31,1,200536391,199433482,195895048,212056031,206912726,211353095,209269082,205979234,201247104,207621015,196863003,199970690,202161444,202388278,195962292,209810192,209820094,205182668,210061319,201242434,204454826,238735288,237586543,245715444,232351736,233207347,227074215,231155540,236463134,222176276,241431221,256298355,256298355
8192,32,4294316137,31,1,235706220,231225064,233252262,239405101,238227955,231472849,224345420,238781094,232108267,227533302,234848230,220726969,242345625,238916387,230763551,240321465,237994160,227631773,243835331,240306263,236584221,240775009,238048882,247115113,239071236,226714205,235146006,224505893,239689890,255214978,246598600,251821719,255214978
8192,32,4294596654,31,1,232048278,228195267,227752159,223178355,235052555,230576604,228609665,230877860,229388621,218172827,225662987,221771368,228475719,234013829,212034129,231299194,222014575,228618991,201470306,225817739,227672524,237399087,232097626,224315459,212548498,225048475,219811206,237915258,230990971,226779284,243043583,231081717,243043583
8192,32,4294673416,31,1,219406913,222573420,213804944,217142287,222948015,219599822,214384555,217196502,207378371,207771413,214711998,204315189,200447834,200124843,220628143,217151698,214643440,210479431,214702695,211297249,214294026,208278042,203127179,207764532,209887378,202774142,214534235,223629682,216504159,223316706,212169523,206150079,223629682
8192,32,4294894755,31,1,244128559,244183397,240217082,252154725,249206244,246808235,238014104,244075872,236827084,231534605,242403238,229494864,234549043,242296979,254164387,237968500,250788942,249002529,246053178,235399920,238779691,250781360,243900723,232668633,226012059,239236110,247829098,235739938,247746414,240151790,236114641,255417913,255417913
8192,32,4294906714,31,1,238519051,242476721,242757035,245708897,248693945,254103809,254879052,251638760,246078059,250413750,254840450,250195400,247120568,255705429,255380208,255111765,252831977,263530015,252054605,255655271,245783140,243176735,276943856,272122981,274502931,287795484,288405576,284332393,296643548,278904029,285956674,291644166,296643548
16384,32,4294113295,31,1,210039690,216770045,212872320,221187945,216911343,217110265,222384894,219558801,216985757,213824677,212781533,208128391,223914399,220879718,218478012,215738603,205844179,209624997,219924599,215239852,218945673,202248132,197727029,215988774,211498876,206501744,199793505,196139624,218998240,215554661,202927651,209476171,223914399
16384,32,4294564498,31,1,232187532,235339824,229706700,225997804,234525169,232061886,234159232,231066964,228641203,225838110,219386278,241364543,227220109,233136945,232358937,225107458,232414533,227704838,225051920,219849269,223234397,239403822,227707725,236124065,227882895,235335007,223782942,216931302,359004434,360646844,367563123,368745095,368745095
16384,32,4294693127,31,1,238019462,229853222,244085552,241871925,238468262,233807717,242946705,242217327,229376630,224255547,244846616,236853010,241879650,240415001,247814534,248802585,241889747,246011515,239012530,250758403,249848527,248015040,242962044,240069609,244163446,231444935,249684374,237263982,229573575,245795710,222136436,237018214,250758403
