n,k,i,p,m,r,t,T
1024,2,512,2013323205,70,15,597300,662423
1024,2,512,2064385789,55,12,327812,402770
1024,2,512,2067151189,95,20,567992,655987
1024,2,512,2091636602,65,14,324117,400385
1024,2,512,2112749796,55,12,459114,562589
1024,2,512,2116878459,60,13,605115,675523
1024,2,512,2132799259,75,16,460554,530488
1024,2,512,2146275199,35,8,343143,465294
1024,2,512,2230391175,80,17,352731,433400
1024,2,512,2329735323,45,10,433462,515807
2048,2,1024,2026235012,75,16,537525,635336
2048,2,1024,2088526271,50,11,339033,436842
2048,2,1024,2091248111,95,20,569720,662479
2048,2,1024,2096513824,35,8,503611,606529
2048,2,1024,2127524977,70,15,369192,467638
2048,2,1024,2132094560,40,9,483130,589230
2048,2,1024,2137967541,75,16,360396,450543
2048,2,1024,2159052798,80,17,477986,573116
2048,2,1024,2223006526,30,7,449596,540656
2048,2,1024,2254443640,55,12,363669,463536
4096,2,2048,2067844750,75,16,618829,761893
4096,2,2048,2100826819,115,24,729372,873756
4096,2,2048,2112039376,65,14,447345,581795
4096,2,2048,2123867803,100,21,748713,911352
4096,2,2048,2133134556,105,22,526046,667956
4096,2,2048,2160684322,110,23,825264,986239
4096,2,2048,2160832976,85,18,416923,553650
4096,2,2048,2181718225,90,19,461544,641980
4096,2,2048,2183159083,55,12,967957,1108497
4096,2,2048,2223065139,70,15,509371,645769
8192,2,4096,2134831027,95,20,495902,722335
8192,2,4096,2136315753,80,17,744652,1012346
8192,2,4096,2141416002,55,12,888099,1125329
8192,2,4096,2147068390,105,22,615004,870051
8192,2,4096,2147747643,80,17,868605,1100042
8192,2,4096,2156371045,70,15,710784,956692
8192,2,4096,2156670203,95,20,612884,905418
8192,2,4096,2159078712,95,20,1003416,1277334
8192,2,4096,2160143344,90,19,599721,851438
8192,2,4096,2187125010,75,16,453229,688724
16384,2,8192,2122785571,70,15,668850,1102877
16384,2,8192,2140305552,80,17,617242,1018892
16384,2,8192,2148237929,85,18,1303488,1762936
16384,2,8192,2151521893,75,16,666051,1094248
16384,2,8192,2155267085,90,19,1280433,1767824
16384,2,8192,2157955767,95,20,1426072,1883335
16384,2,8192,2158938517,55,12,673232,1103387
16384,2,8192,2161325906,90,19,783362,1205730
16384,2,8192,2168583205,130,27,803429,1216391
16384,2,8192,2172766207,70,15,1469263,1881119
32768,2,16384,2125860181,105,22,2009023,2781072
32768,2,16384,2132467111,100,21,1423346,2175555
32768,2,16384,2137059824,100,21,1756979,2613409
