n,k,i,p,m,r,t,T
1024,32,1024,4287915890,1240,9,88996594,89062835
1024,32,1024,4288202050,1550,11,1084740429,1084807093
1024,32,1024,4289291081,620,5,1082814900,1082874391
1024,32,1024,4291266284,1240,9,95287286,95354741
1024,32,1024,4292737963,1085,8,99624630,99694139
1024,32,1024,4293047559,1550,11,104970248,105036294
1024,32,1024,4293726023,930,7,96339583,96408437
1024,32,1024,4294012200,1395,10,107227707,107293688
1024,32,1024,4294219675,775,6,92465872,92573372
1024,32,1024,4294932824,1705,12,126107278,126165693
2048,32,2048,4290789489,775,6,96876763,96942601
2048,32,2048,4292084023,1085,8,93725996,93800516
2048,32,2048,4292433104,2170,15,115375769,115433850
2048,32,2048,4292535246,620,5,116048067,116112631
2048,32,2048,4293132708,775,6,87993389,88092090
2048,32,2048,4293439741,1395,10,95839302,95907298
2048,32,2048,4293935405,1085,8,102500711,102564401
2048,32,2048,4294039802,620,5,89550054,89617357
2048,32,2048,4294449817,1085,8,100101126,100174609
2048,32,2048,4294834345,930,7,112394180,112455204
4096,32,4096,4290704407,1860,13,106054084,106116805
4096,32,4096,4293196213,1240,9,87908639,87983368
4096,32,4096,4293407820,1860,13,103371900,103438661
4096,32,4096,4293707067,930,7,110585889,110658161
4096,32,4096,4294114976,1550,11,99119676,99184307
4096,32,4096,4294226599,930,7,130454601,130520939
4096,32,4096,4294448636,2015,14,109808202,109935819
4096,32,4096,4294594602,620,5,94776403,94850031
4096,32,4096,4294759621,2015,14,119782262,119851529
4096,32,4096,4294930229,1395,10,107251004,107347663
8192,32,8192,4293892713,1550,11,117707356,117773149
8192,32,8192,4294292875,930,7,100141354,100219471
8192,32,8192,4294314265,2015,14,94680921,94751163
8192,32,8192,4294463272,1085,8,126928253,126990893
8192,32,8192,4294491775,1550,11,107182253,107246713
8192,32,8192,4294623619,1395,10,123311666,123383906
8192,32,8192,4294767991,775,6,94306507,94368950
8192,32,8192,4294857641,2480,17,129694774,129765179
8192,32,8192,4294923210,2325,16,92518743,92588711
8192,32,8192,4294928982,1395,10,102572002,102639000
16384,32,16384,4294306174,2480,17,128938037,129009010
16384,32,16384,4294463535,2015,14,104719915,104794689
16384,32,16384,4294702980,1240,9,94673419,94744811
16384,32,16384,4294767872,620,5,122568630,122640067
16384,32,16384,4294783516,2015,14,102067550,102141885
16384,32,16384,4294864382,1705,12,104186381,104260218
16384,32,16384,4294905728,1550,11,91191303,91263144
16384,32,16384,4294934331,1550,11,117322249,117401089
16384,32,16384,4294947598,1240,9,101527884,101596872
16384,32,16384,4294962416,2480,17,134887516,134964205
32768,32,32768,4294435792,1085,8,101727086,101829957
32768,32,32768,4294768316,1240,9,116704613,116800457
32768,32,32768,4294880321,1860,13,103753207,103859605
32768,32,32768,4294919054,1240,9,120164903,120302227
32768,32,32768,4294920104,1240,9,86563809,86677474
32768,32,32768,4294920633,2480,17,119047871,119147035
32768,32,32768,4294922396,2015,14,97765477,97870265
32768,32,32768,4294938355,2325,16,104628355,104733050
32768,32,32768,4294945467,1395,10,100878891,100981348
32768,32,32768,4294950731,1240,9,104016323,104119671
65536,32,65536,4294826631,1705,12,146124360,146283469
65536,32,65536,4294886442,2635,18,110800914,111082769
65536,32,65536,4294906466,2170,15,87797599,87975071
65536,32,65536,4294912878,1395,10,112855302,113001325
65536,32,65536,4294916519,1085,8,109771509,109910356
