n,k,i,p,m,r,t,T
1024,4,512,2097320722,225,16,661737,741183
1024,4,512,2118992816,135,10,868718,943021
1024,4,512,2145232132,105,8,615688,703372
1024,4,512,2164699689,210,15,657344,741064
1024,4,512,2166643039,180,13,611121,688004
1024,4,512,2175117921,225,16,645921,717883
1024,4,512,2180979665,180,13,1063209,1130127
1024,4,512,2213781586,165,12,733067,798632
1024,4,512,2225541471,105,8,598645,675580
1024,4,512,2232353562,165,12,599267,668655
2048,4,1024,2104677437,135,10,635855,716789
2048,4,1024,2129141667,180,13,671235,775217
2048,4,1024,2155684033,360,25,830854,901372
2048,4,1024,2157640940,210,15,914847,1000037
2048,4,1024,2161345936,165,12,631148,705984
2048,4,1024,2167552711,270,19,786598,872981
2048,4,1024,2167911565,240,17,950379,1026094
2048,4,1024,2180296231,180,13,615296,690036
2048,4,1024,2180791704,135,10,531779,606836
2048,4,1024,2186972997,240,17,695741,773236
4096,4,2048,2066638526,165,12,1226069,1324013
4096,4,2048,2081686311,165,12,597227,692679
4096,4,2048,2107518628,240,17,664637,769935
4096,4,2048,2113015126,210,15,690346,789743
4096,4,2048,2115916499,240,17,760553,858148
4096,4,2048,2126264446,150,11,731172,834225
4096,4,2048,2140424137,150,11,1179285,1272497
4096,4,2048,2141436338,225,16,938450,1055278
4096,4,2048,2149047169,255,18,702741,811107
4096,4,2048,2185600741,300,21,1361536,1459656
8192,4,4096,2102273374,330,23,899821,1040816
8192,4,4096,2111924548,225,16,774781,921944
8192,4,4096,2132557299,270,19,867251,1012277
8192,4,4096,2135874376,285,20,1292946,1439930
8192,4,4096,2139411299,255,18,736567,879920
8192,4,4096,2144221479,225,16,627681,788891
8192,4,4096,2158029187,300,21,747431,914108
8192,4,4096,2159961538,225,16,1188693,1331841
8192,4,4096,2168618001,285,20,853167,994768
8192,4,4096,2168658064,255,18,830099,977116
16384,4,8192,2108453902,255,18,814997,1040682
16384,4,8192,2130836996,285,20,885658,1116009
16384,4,8192,2136814912,150,11,743222,972067
16384,4,8192,2141551218,225,16,847748,1080351
