n,k,i,p,m,r,t,T
2097152,4,2097152,4294965002,210,15,12545027,34983868
2097152,4,2097152,4294966534,165,12,17636446,40064014
2097152,4,2097152,4294966625,240,17,14431195,36875944
2097152,4,2097152,4294966786,135,10,12884324,35277838
2097152,4,2097152,4294967127,285,20,17229930,39643115
2097152,4,2097152,4294967161,165,12,21633346,44074977
4194304,4,4194304,4294964922,240,17,53780534,97803977
4194304,4,4194304,4294964933,150,11,51663317,96099768
4194304,4,4194304,4294966532,195,14,33158075,77396150
4194304,4,4194304,4294966578,180,13,45296736,89794316
4194304,4,4194304,4294966638,165,12,20359410,64451198
4194304,4,4194304,4294966800,300,21,64264075,108476948
4194304,4,4194304,4294967039,180,13,25368985,69544377
4194304,4,4194304,4294967155,285,20,70716262,114816042
4194304,4,4194304,4294967211,225,16,35410498,79933907
4194304,4,4194304,4294967260,225,16,62365046,106541048
8388608,4,8388608,4294966026,210,15,109276040,196931722
8388608,4,8388608,4294966251,180,13,33396655,120692741
8388608,4,8388608,4294966657,195,14,73402840,160845697
8388608,4,8388608,4294966733,165,12,38663476,126115613
8388608,4,8388608,4294966791,345,24,105026919,192642411
8388608,4,8388608,4294966866,405,28,106836171,194748696
8388608,4,8388608,4294967186,225,16,88986875,176250515
8388608,4,8388608,4294967262,270,19,48242728,135889703
8388608,4,8388608,4294967263,345,24,81431514,168638404
8388608,4,8388608,4294967277,225,16,74287874,161819041
16777216,4,16777216,4294966791,360,25,176715295,350475545
16777216,4,16777216,4294966870,255,18,142997831,317185891
16777216,4,16777216,4294967066,375,26,164768270,338191126
16777216,4,16777216,4294967069,270,19,114569445,290007219
16777216,4,16777216,4294967113,255,18,124685310,298241075
16777216,4,16777216,4294967125,345,24,144144244,318099837
16777216,4,16777216,4294967239,390,27,199979338,373595962
16777216,4,16777216,4294967242,120,9,87967245,261762000
16777216,4,16777216,4294967276,240,17,161183050,334881601
16777216,4,16777216,4294967281,390,27,113829259,287509825
33554432,4,33554432,4294966958,210,15,337184552,683169311
33554432,4,33554432,4294967099,255,18,208334933,555300246
33554432,4,33554432,4294967103,405,28,515480150,861111636
33554432,4,33554432,4294967184,135,10,144305327,490487419
