n,k,i,p,m,r,t,T
1024,32,1,13378157,1240,9,108636810,108707939
1024,32,1,16612396,1085,8,107564659,107621752
1024,32,1,2574346,930,7,108682935,108808308
1024,32,1,3315102,1705,12,103243426,103368848
1024,32,1,336926,775,6,107170884,107272386
1024,32,1,3454290,1085,8,108772398,108831951
1024,32,1,4041801,930,7,112793605,112858007
1024,32,1,629913,1705,12,98288894,98351373
1024,32,1,890646,1240,9,112839606,112896710
1024,32,1,9562109,1240,9,109459418,109521929
2048,32,1,1615395,1860,13,102160275,102226525
2048,32,1,1756426,930,7,90361361,90442032
2048,32,1,1898840,465,4,87991790,88056343
2048,32,1,220336,1395,10,113876237,113946186
2048,32,1,2430569,1550,11,87875334,87947927
2048,32,1,3061272,465,4,93809444,93880302
2048,32,1,407754,1240,9,99624114,99726814
2048,32,1,467052,1240,9,103528235,103636980
2048,32,1,821638,1085,8,93232341,93333917
2048,32,1,890139,1395,10,137928444,137984748
4096,32,1,1051443,775,6,125097985,125164622
4096,32,1,1610027,1705,12,100615321,100677448
4096,32,1,1771988,1550,11,144858249,144930521
4096,32,1,199900,1550,11,109477902,109541557
4096,32,1,274989,1550,11,104832895,104900945
4096,32,1,562109,1395,10,99572580,99634123
4096,32,1,746336,930,7,109530780,109597074
4096,32,1,770688,1550,11,105178141,105237853
4096,32,1,850157,1240,9,147765519,147819315
4096,32,1,996870,1550,11,115918313,116008412
8192,32,1,1180361,1395,10,97985436,98058324
8192,32,1,173518,1860,13,107802252,107875670
8192,32,1,299981,1550,11,120049534,120118525
8192,32,1,320103,1395,10,101206774,101281947
8192,32,1,395550,1860,13,112771447,112850914
8192,32,1,472257,2170,15,105579737,105657086
8192,32,1,539276,1860,13,93310389,93379985
8192,32,1,63575,1550,11,92246256,92309702
8192,32,1,8163,2325,16,110474442,110543398
8192,32,1,863086,1550,11,86666588,86829578
16384,32,1,143448,620,5,115325929,115478233
16384,32,1,169510,1395,10,97527008,97606630
16384,32,1,221099,1395,10,96508183,96600041
16384,32,1,236234,2170,15,99193635,99264343
16384,32,1,305318,1705,12,109312478,109381515
16384,32,1,57908,2015,14,92838961,92921050
16384,32,1,607328,1085,8,99446481,99520890
16384,32,1,65648,775,6,115584360,115662790
16384,32,1,77377,1240,9,104721375,104798432
16384,32,1,812313,2015,14,96034392,96104533
32768,32,1,109596,2015,14,109156007,109248147
32768,32,1,116886,2170,15,87796623,87896625
32768,32,1,119154,1860,13,124337106,124429912
32768,32,1,139337,2790,19,110090109,110188178
32768,32,1,157925,2480,17,137972193,138092740
32768,32,1,171076,1705,12,116506425,116602237
32768,32,1,32205,1550,11,96750779,96846239
32768,32,1,37763,1705,12,105543261,105681317
32768,32,1,64209,1240,9,129857499,129946238
32768,32,1,93099,1705,12,114853960,114953839
65536,32,1,108097,1860,13,93537296,93680750
65536,32,1,12036,1550,11,104323231,104470426
65536,32,1,14651,2015,14,99690322,99834945
65536,32,1,25802,1860,13,99308328,99451812
65536,32,1,38419,1705,12,101009588,101149509
65536,32,1,39902,1240,9,127169188,127305369
65536,32,1,412869,1860,13,112155811,112297853
65536,32,1,52059,1240,9,100261915,100401168
65536,32,1,53134,1705,12,95144126,95281249
65536,32,1,77,1550,11,91861254,92001849
131072,32,1,146605,2170,15,113003893,113228137
131072,32,1,182793,1705,12,99793373,100044277
131072,32,1,18866,2015,14,101991327,102218582
131072,32,1,19446,1860,13,99140152,99370012
131072,32,1,26978,2170,15,126796988,127016672
131072,32,1,34600,2790,19,130891197,131120558
131072,32,1,4867,1705,12,92304123,92532179
131072,32,1,63698,1550,11,113775323,114238882
131072,32,1,93547,2480,17,110680896,110905520
131072,32,1,96066,1240,9,94170383,94395459
262144,32,1,16190,1860,13,103554109,103952847
262144,32,1,21223,1085,8,115599388,115985915
262144,32,1,2297,2325,16,109000000,109406236
262144,32,1,34435,2480,17,140074731,140372419
262144,32,1,39255,2325,16,117988192,118440223
262144,32,1,4026,1395,10,107928069,108337838
262144,32,1,4308,2480,17,94030266,94444979
262144,32,1,6024,1085,8,103848934,104251320
262144,32,1,7052,1550,11,97645755,98280449
262144,32,1,821,3100,21,120838536,121200575
524288,32,1,2173,1395,10,99327675,100071667
524288,32,1,2352,2170,15,92446841,93193611
524288,32,1,24045,1085,8,97026332,97791337
524288,32,1,2673,1550,11,122963262,123724271
524288,32,1,2862,2015,14,118511751,119265266
524288,32,1,389,2170,15,131615701,132387959
524288,32,1,4725,1860,13,90078316,90819513
524288,32,1,53,1550,11,94926790,95669016
524288,32,1,7653,2170,15,109410151,110169352
524288,32,1,8987,2170,15,108748257,109485062
1048576,32,1,1768,2170,15,99809263,101249554
1048576,32,1,2300,2170,15,90992179,92441477
1048576,32,1,2897,2325,16,92395289,93829275
1048576,32,1,4113,1860,13,128405300,129740570
1048576,32,1,4698,3410,23,97650800,98884145
1048576,32,1,5563,2170,15,95814746,97257525
1048576,32,1,5806,2325,16,103945064,105399559
1048576,32,1,585,2945,20,98718354,100411786
1048576,32,1,82,2015,14,101243842,102695770
1048576,32,1,83,2325,16,96132369,98090177
2097152,32,1,1063,3410,23,97042789,99977801
2097152,32,1,165,2170,15,108859601,111596162
2097152,32,1,2601,2325,16,103097632,105514158
2097152,32,1,2637,2325,16,113131103,115782445
2097152,32,1,265,2325,16,90265434,93649355
2097152,32,1,2790,2635,18,103601271,106276247
2097152,32,1,338,1705,12,125301300,128111832
2097152,32,1,3386,2480,17,103135934,105601136
2097152,32,1,729,1395,10,98639449,101413531
2097152,32,1,8241,2635,18,129607169,132411709
4194304,32,1,1040,4185,28,110792877,116323469
4194304,32,1,1166,2170,15,105177443,110651680
4194304,32,1,2012,3255,22,108121862,113710292
4194304,32,1,2987,2325,16,114799296,119593576
4194304,32,1,3384,2945,20,122925946,128496633
4194304,32,1,3706,2635,18,112345543,117889377
4194304,32,1,4641,2635,18,108777568,114366820
4194304,32,1,534,1550,11,93167889,98929967
4194304,32,1,585,2170,15,108076956,113466565
4194304,32,1,6287,2480,17,108780401,113007305
8388608,32,1,1164,2790,19,113101160,124159259
8388608,32,1,120,2015,14,111908518,122706162
8388608,32,1,122,2635,18,125344857,136385784
8388608,32,1,14,3410,23,149931044,160366876
8388608,32,1,1556,3255,22,124060293,132853030
8388608,32,1,2243,2170,15,114235773,125234924
8388608,32,1,237,2480,17,100086739,111116831
8388608,32,1,2444,2480,17,111610648,122919078
8388608,32,1,484,2015,14,109577534,120529795
8388608,32,1,96,2945,20,122185323,133163534
16777216,32,1,1120,2945,20,117906656,139412812
16777216,32,1,155,2790,19,138420258,159736597
16777216,32,1,170,3100,21,117302485,139637053
16777216,32,1,269,4030,27,140926222,162253608
16777216,32,1,481,3255,22,131124862,152375504
16777216,32,1,52,1860,13,128856895,147816993
16777216,32,1,62,3255,22,146563218,165605535
16777216,32,1,631,2480,17,136421416,157972240
16777216,32,1,9,2790,19,130943221,151827237
16777216,32,1,94,1705,12,114866718,137236425
33554432,32,1,155,2015,14,159580354,193574235
33554432,32,1,212,2325,16,154745526,192076299
33554432,32,1,216,1860,13,132506237,171255754
33554432,32,1,2,2790,19,134876511,169472286
33554432,32,1,260,2480,17,134814554,170515984
33554432,32,1,29,3410,23,160863601,199261537
33554432,32,1,35,3255,22,136458655,179596645
33554432,32,1,5,2170,15,153888832,191804725
33554432,32,1,62,3100,21,166426372,203522492
33554432,32,1,7,2790,19,149625847,189729161
67108864,32,1,12,4030,27,211211420,281860516
67108864,32,1,127,2480,17,173779584,244923358
67108864,32,1,142,1860,13,184139118,250888667
67108864,32,1,160,2170,15,178464594,249831481
67108864,32,1,170,2790,19,201344163,273120846
67108864,32,1,209,2790,19,167187046,239950238
67108864,32,1,36,3100,21,200360639,267713676
67108864,32,1,44,3410,23,186411457,256258052
67108864,32,1,51,2790,19,203003991,272780605
67108864,32,1,7,2015,14,201276353,272237027
134217728,32,1,0,1705,12,279037141,412212484
134217728,32,1,20,2480,17,235927934,372120927
134217728,32,1,23,2635,18,236488801,371512466
134217728,32,1,2,4030,27,412246695,548005738
134217728,32,1,24,2170,15,314778998,448493087
134217728,32,1,33,3100,21,236671541,373982726
134217728,32,1,42,4340,29,332991768,466439357
134217728,32,1,45,3100,21,279700806,413272984
134217728,32,1,46,2480,17,282352710,420493898
134217728,32,1,56,2635,18,295517213,429401042
268435456,32,1,0,4340,29,787756244,1053695557
268435456,32,1,13,3100,21,714159525,983377076
268435456,32,1,24,4030,27,623341740,889625833
268435456,32,1,26,2945,20,538988676,802289729
268435456,32,1,34,3100,21,456606150,723603823
268435456,32,1,4,3565,24,911090763,1176545189
268435456,32,1,5,3565,24,741493488,1006439776
268435456,32,1,57,3565,24,645084168,908888971
268435456,32,1,7,2945,20,521098153,783906827
268435456,32,1,7,2945,20,545413692,811748240
