n,k,i,p,m,r,t,T
1024,32,512,2016940452,2635,18,109651100,109700010
1024,32,512,2049111845,1860,13,107352190,107426076
1024,32,512,2077328164,1240,9,106616070,106685890
1024,32,512,2083070942,2015,14,121659978,121730063
1024,32,512,2084617150,1860,13,123566756,123630993
1024,32,512,2101118893,2790,19,119165670,119232157
1024,32,512,2119251726,2635,18,93518084,93582624
1024,32,512,2137180740,2170,15,107303999,107366600
1024,32,512,2162988577,1705,12,104177313,104249738
1024,32,512,2186440350,1395,10,100027635,100092092
2048,32,1024,2046351645,1550,11,114439375,114506039
2048,32,1024,2116194921,1705,12,93526581,93595276
2048,32,1024,2117813361,3565,24,113167949,113230072
2048,32,1024,2128368592,2945,20,104125744,104193232
2048,32,1024,2134919138,2170,15,106218781,106289206
2048,32,1024,2137539741,2480,17,116125516,116197630
2048,32,1024,2148131670,2325,16,109865700,109929843
2048,32,1024,2160087049,2635,18,96759404,96832084
2048,32,1024,2163241724,2170,15,93376888,93440040
2048,32,1024,2179581541,2015,14,127726151,127789549
4096,32,2048,2123564664,1705,12,108489518,108549637
4096,32,2048,2136325000,2170,15,93573023,93645714
4096,32,2048,2138091155,2015,14,107190689,107262278
4096,32,2048,2146978091,3100,21,126709091,126783587
4096,32,2048,2147042461,2790,19,113940302,114020108
4096,32,2048,2161905985,2480,17,97516685,97586213
4096,32,2048,2172392788,2635,18,110462413,110535032
4096,32,2048,2181638335,2480,17,119763276,119835155
4096,32,2048,2189229466,1550,11,117150594,117221462
4096,32,2048,2199621707,2170,15,122749068,122809876
8192,32,4096,2103473764,2325,16,99303796,99407882
8192,32,4096,2106432216,2170,15,114944757,115014895
8192,32,4096,2120009675,2325,16,128456946,128530579
8192,32,4096,2132191158,2015,14,96504629,96575577
8192,32,4096,2139479972,2790,19,110306722,110382283
8192,32,4096,2144385464,2635,18,99533073,99604108
8192,32,4096,2146535540,2945,20,98006496,98077084
8192,32,4096,2166870170,3255,22,99251396,99320581
8192,32,4096,2181692177,2945,20,97569440,97639387
8192,32,4096,2183894891,2790,19,107328962,107403745
16384,32,8192,2125595117,3410,23,95494694,95606726
16384,32,8192,2126246444,4030,27,103323263,103404950
16384,32,8192,2144412721,2945,20,87151087,87227869
16384,32,8192,2144667725,3875,26,124507717,124626903
16384,32,8192,2148562154,3720,25,131647696,131719918
16384,32,8192,2151724912,2480,17,112082129,112163478
16384,32,8192,2154576469,3255,22,103041007,103123632
16384,32,8192,2154999023,1240,9,96929932,97014261
16384,32,8192,2164009996,3100,21,107457741,107581746
16384,32,8192,2165494871,2635,18,96224884,96294375
32768,32,16384,2131005971,3565,24,121225750,121325711
32768,32,16384,2138009279,2480,17,114975520,115079127
32768,32,16384,2141517241,3100,21,98444530,98537365
32768,32,16384,2144969543,3100,21,115763525,115887645
32768,32,16384,2145973372,2790,19,118222370,118317036
32768,32,16384,2151556948,2325,16,100316540,100423935
32768,32,16384,2152147476,3565,24,89330598,89429463
32768,32,16384,2158653542,2945,20,116460661,116565125
32768,32,16384,2159924723,2790,19,113026818,113126292
32768,32,16384,2162574435,3875,26,95213728,95316045
65536,32,32768,2137612043,3100,21,115497412,115638534
65536,32,32768,2138710120,3410,23,122082214,122218841
65536,32,32768,2143059624,2480,17,103746734,103859191
65536,32,32768,2143355237,1705,12,100311068,100445412
65536,32,32768,2146204827,3255,22,101434137,101570870
65536,32,32768,2146973585,2635,18,106205341,106351954
65536,32,32768,2147688262,2015,14,97176746,97341150
65536,32,32768,2154322440,2790,19,106301792,106451305
65536,32,32768,2154376716,4340,29,144931975,145082717
65536,32,32768,2154762880,3255,22,89193649,89340101
131072,32,65536,2137204732,4340,29,98456447,98686158
131072,32,65536,2137351205,3565,24,102651943,102881521
131072,32,65536,2141654577,4960,33,98771282,98999923
131072,32,65536,2142647056,3875,26,103789492,104048561
131072,32,65536,2147422717,3410,23,105383801,105613976
131072,32,65536,2147447875,3255,22,140071222,140302480
131072,32,65536,2147888565,3565,24,102222600,102452506
131072,32,65536,2148022846,3720,25,111172130,111392423
131072,32,65536,2148805835,3255,22,127399551,127626360
131072,32,65536,2150541292,2945,20,107075775,107309525
262144,32,131072,2144261961,4340,29,103687599,104295763
262144,32,131072,2144346151,3875,26,97226126,97634264
262144,32,131072,2145408044,4030,27,99999106,100407048
262144,32,131072,2145564482,4340,29,98597774,99005950
262144,32,131072,2147625042,4185,28,130293101,130697846
262144,32,131072,2148694278,1705,12,99828811,100235400
262144,32,131072,2149177794,3410,23,100994814,101420147
262144,32,131072,2151856183,2635,18,109005997,109435908
262144,32,131072,2153225617,3100,21,131710669,132116260
262144,32,131072,2154892720,3565,24,108976635,109385353
524288,32,262144,2142551978,3565,24,111487398,112224133
524288,32,262144,2144551389,4805,32,105362697,106107822
524288,32,262144,2146635631,4650,31,125178585,125832687
524288,32,262144,2147997444,3720,25,93514898,94262157
524288,32,262144,2148420082,4495,30,103186994,103949265
524288,32,262144,2148465986,3875,26,98253572,98995651
524288,32,262144,2149195248,4340,29,108337738,109085390
524288,32,262144,2149807952,4030,27,113425641,114174085
524288,32,262144,2150949856,3565,24,93460696,94210046
524288,32,262144,2151069015,3720,25,107149788,107889463
1048576,32,524288,2143216127,4185,28,108368832,109824347
1048576,32,524288,2144585518,3875,26,130870736,132317113
1048576,32,524288,2145102839,3410,23,106940362,109118928
1048576,32,524288,2145608575,4340,29,114200418,115637655
1048576,32,524288,2147180270,4030,27,103884726,105686573
1048576,32,524288,2147667104,4960,33,134032361,135470857
1048576,32,524288,2148212797,4030,27,104453376,105887998
1048576,32,524288,2149282665,5115,34,129708935,130907344
1048576,32,524288,2149464554,4495,30,105788920,107248217
1048576,32,524288,2150837507,4650,31,101303062,102705456
2097152,32,1048576,2143344904,4185,28,108290293,111104712
2097152,32,1048576,2144050280,4805,32,103167511,106028098
2097152,32,1048576,2145420267,4650,31,103421537,106246497
2097152,32,1048576,2147049664,4030,27,94790248,97117946
2097152,32,1048576,2147877015,5115,34,118322408,121124565
2097152,32,1048576,2148826109,4805,32,114622650,117190310
2097152,32,1048576,2149256004,4030,27,100570043,103360727
2097152,32,1048576,2149290521,4495,30,104012032,106751182
2097152,32,1048576,2149320068,5270,35,109366629,111756093
2097152,32,1048576,2149408610,4185,28,113379787,116167231
4194304,32,2097152,2146104261,5580,37,125156875,130726397
4194304,32,2097152,2147590154,4185,28,133088122,137501086
