n,k,i,p,m,r,t,T
1024,2,1,1015788,35,8,237671,333885
1024,2,1,1072956,35,8,335523,406049
1024,2,1,12033811,55,12,427200,503783
1024,2,1,1210406,45,10,488847,562779
1024,2,1,3093781,45,10,290731,364591
1024,2,1,329885,40,9,281009,355421
1024,2,1,3402415,35,8,323229,429241
1024,2,1,4056338,35,8,494829,587211
1024,2,1,4163345,25,6,223435,292063
1024,2,1,840603,10,3,379110,459870
2048,2,1,1048290,30,7,277589,368722
2048,2,1,1163155,70,15,345341,438015
2048,2,1,1171193,40,9,303143,393971
2048,2,1,141224,20,5,245862,343735
2048,2,1,1900224,30,7,317293,411618
2048,2,1,2539839,65,14,479641,653348
2048,2,1,2597741,40,9,309517,422158
2048,2,1,4277707,45,10,308786,417812
2048,2,1,81146,60,13,426651,527277
2048,2,1,870399,15,4,287579,380608
4096,2,1,1034141,45,10,510048,643813
4096,2,1,107433,45,10,598210,741708
4096,2,1,1078896,30,7,407535,548485
4096,2,1,1166230,60,13,397983,551097
4096,2,1,1356496,40,9,374307,509703
4096,2,1,1736897,50,11,416163,601490
4096,2,1,3213491,30,7,332509,473535
4096,2,1,882847,20,5,257015,493110
4096,2,1,887101,45,10,2412775,2548816
4096,2,1,924551,70,15,387582,527233
8192,2,1,1105654,55,12,719523,939240
8192,2,1,1502199,50,11,500352,803624
8192,2,1,162021,35,8,636814,863883
8192,2,1,237112,45,10,419476,644757
8192,2,1,274671,40,9,397984,623803
8192,2,1,305023,45,10,665026,888180
8192,2,1,317896,40,9,1259744,1483616
8192,2,1,326978,45,10,397608,621214
8192,2,1,675417,30,7,583187,824148
8192,2,1,69832,40,9,417707,637870
16384,2,1,106455,85,18,1521229,1929588
16384,2,1,114864,30,7,675506,1082621
16384,2,1,118835,40,9,803776,1276674
16384,2,1,148777,55,12,836530,1273648
16384,2,1,218049,65,14,508090,918169
16384,2,1,276063,80,17,1372352,1911741
16384,2,1,389287,35,8,997163,1400961
16384,2,1,429,35,8,1018002,1487861
16384,2,1,513018,45,10,617121,1023695
16384,2,1,669552,25,6,452960,872156
32768,2,1,113355,65,14,945094,1709197
32768,2,1,147602,40,9,560092,1331216
32768,2,1,218450,55,12,2302704,3115262
32768,2,1,374596,55,12,791120,1529899
32768,2,1,38793,85,18,1043155,1781895
32768,2,1,39562,55,12,669050,1410804
32768,2,1,6835,50,11,831090,1671035
32768,2,1,765452,25,6,1416088,2301178
32768,2,1,80250,45,10,929853,1672778
32768,2,1,87040,35,8,2995306,3743445
65536,2,1,105061,50,11,3083529,4538302
65536,2,1,105430,40,9,4930570,6375903
65536,2,1,13580,65,14,2040292,3610231
65536,2,1,17352,45,10,1166108,2623368
65536,2,1,194229,80,17,1833968,3305253
65536,2,1,63166,70,15,1125306,2564352
65536,2,1,63527,60,13,1045607,2523480
65536,2,1,70795,75,16,6643480,8081070
65536,2,1,80458,65,14,2192341,3643348
65536,2,1,80665,35,8,2479360,3907906
131072,2,1,106235,55,12,2222084,5060316
131072,2,1,13359,75,16,2255980,5039025
131072,2,1,15763,55,12,2066884,4887703
131072,2,1,28935,100,21,2670087,5476588
131072,2,1,37988,35,8,1818129,4627072
131072,2,1,43399,60,13,5777950,8640736
131072,2,1,55473,60,13,9421456,12254623
131072,2,1,8528,50,11,2001703,4803066
131072,2,1,9541,60,13,2481297,5280164
131072,2,1,99533,80,17,2979604,5809968
262144,2,1,10365,65,14,10104305,15660568
262144,2,1,1369,35,8,4750065,10289894
262144,2,1,17865,75,16,28228805,33761549
262144,2,1,18559,55,12,4331233,9868352
262144,2,1,22190,50,11,3907788,9499726
262144,2,1,3115,75,16,4845043,10414936
262144,2,1,32330,70,15,5157196,10663182
262144,2,1,3569,85,18,6771485,12325536
262144,2,1,63198,30,7,2690346,8297011
262144,2,1,6628,60,13,4110329,9705624
524288,2,1,12078,60,13,8074973,19095417
524288,2,1,1210,60,13,11240860,22344744
524288,2,1,13153,65,14,164000001,175012334
524288,2,1,1378,60,13,10609339,21638383
524288,2,1,1413,70,15,27733534,39002813
524288,2,1,178,60,13,6222614,17250443
524288,2,1,1820,75,16,12188926,23230813
524288,2,1,4280,75,16,161205615,172232412
524288,2,1,6012,90,19,28945298,40007656
524288,2,1,9769,95,20,34020954,45018848
1048576,2,1,10743,65,14,18376318,41209990
1048576,2,1,1343,90,19,30639167,55665632
1048576,2,1,1965,125,26,34624127,59649026
1048576,2,1,257,70,15,21701376,44410251
1048576,2,1,3379,60,13,20212799,62808404
1048576,2,1,4589,55,12,12354182,35143011
1048576,2,1,4800,115,24,84754457,109864076
1048576,2,1,4857,60,13,25484572,48265924
1048576,2,1,601,85,18,21415001,64053631
1048576,2,1,6153,40,9,30243320,53320815
2097152,2,1,1149,70,15,137636849,184059069
2097152,2,1,1205,80,17,57084986,121882560
