n,k,i,p,m,r,t,T
1024,4,1,1272466,105,8,498715,567471
1024,4,1,1494845,135,10,607019,682808
1024,4,1,3173153,75,6,585248,668287
1024,4,1,4344374,165,12,861390,929132
1024,4,1,4568937,120,9,1194099,1270388
1024,4,1,692355,105,8,556781,628006
1024,4,1,721998,90,7,437498,514035
1024,4,1,7930586,180,13,717136,781447
1024,4,1,9917031,105,8,555229,623212
1024,4,1,9968852,105,8,456928,526114
2048,4,1,1328480,45,4,458329,535019
2048,4,1,1639285,135,10,897987,972627
2048,4,1,2377302,120,9,530753,613652
2048,4,1,2568465,105,8,471298,547573
2048,4,1,278002,90,7,488789,581940
2048,4,1,2859651,135,10,640033,728572
2048,4,1,39191,120,9,586333,690807
2048,4,1,5449988,90,7,541626,616718
2048,4,1,895305,90,7,541887,618585
2048,4,1,92022,105,8,538834,624305
4096,4,1,251211,135,10,619057,709400
4096,4,1,2778611,165,12,946662,1059144
4096,4,1,3149985,180,13,749215,847483
4096,4,1,3281629,90,7,516069,614616
4096,4,1,328970,105,8,471317,568869
4096,4,1,45282,105,8,557847,663516
4096,4,1,485751,180,13,643356,741199
4096,4,1,631200,180,13,693881,794754
4096,4,1,680582,165,12,594454,699180
4096,4,1,755699,165,12,692603,794189
8192,4,1,1286955,150,11,744919,891717
8192,4,1,1827424,210,15,785173,939945
8192,4,1,25328,90,7,476542,644057
8192,4,1,26798,195,14,1618095,1773344
8192,4,1,3199963,135,10,649156,799837
8192,4,1,385290,90,7,518680,654917
8192,4,1,535254,165,12,1070470,1218873
8192,4,1,558300,210,15,840429,990698
8192,4,1,590147,90,7,485271,642676
8192,4,1,76697,150,11,573876,721440
16384,4,1,100314,180,13,776017,1001457
16384,4,1,168263,180,13,688089,909925
16384,4,1,231743,225,16,1912112,2138743
16384,4,1,2958,135,10,736285,966592
16384,4,1,315966,210,15,784715,1010434
16384,4,1,346955,225,16,852726,1074758
16384,4,1,61283,120,9,704614,929438
16384,4,1,61683,135,10,726438,982890
16384,4,1,64754,135,10,638335,862918
16384,4,1,705956,210,15,841623,1077599
32768,4,1,10780,150,11,946855,1384140
32768,4,1,1397,180,13,849634,1269117
32768,4,1,148753,150,11,996908,1415117
32768,4,1,224439,180,13,850528,1261628
32768,4,1,255088,105,8,573184,974952
32768,4,1,30296,105,8,640425,1048270
32768,4,1,30389,75,6,601397,1033755
32768,4,1,393697,165,12,2134467,2546835
32768,4,1,399950,120,9,680270,1082146
32768,4,1,92253,210,15,2452416,2866592
65536,4,1,105569,225,16,1484781,2234847
65536,4,1,109833,120,9,907776,1658636
65536,4,1,136204,180,13,1071412,1819637
65536,4,1,178856,210,15,3652663,4403754
65536,4,1,25490,120,9,908863,1646959
65536,4,1,27565,180,13,1172730,1915645
65536,4,1,4088,180,13,1041713,1815510
65536,4,1,48830,195,14,3213302,3958974
65536,4,1,7258,225,16,1155173,1901237
65536,4,1,84490,210,15,1421196,2173906
131072,4,1,11705,180,13,1349408,2854218
131072,4,1,13343,270,19,2066669,3515041
131072,4,1,19347,285,20,1484883,2916823
131072,4,1,31161,225,16,1235014,2675638
131072,4,1,32108,180,13,1540009,2947386
131072,4,1,3410,225,16,2097417,3557063
131072,4,1,46278,255,18,1694940,3170734
131072,4,1,47223,300,21,1769859,3239223
131072,4,1,5277,180,13,1491912,2953690
131072,4,1,8225,195,14,1617674,3058165
262144,4,1,1559,240,17,3208261,6002523
262144,4,1,20855,165,12,2646714,5484873
262144,4,1,21253,180,13,2380286,5194229
262144,4,1,28884,240,17,7464048,10241065
262144,4,1,29909,225,16,3726797,6533940
262144,4,1,3193,180,13,2606710,5417060
262144,4,1,32681,240,17,2613598,5403997
262144,4,1,4062,135,10,1945648,4757274
262144,4,1,61805,120,9,2086677,4928886
262144,4,1,8686,225,16,2963689,5789057
524288,4,1,2974,240,17,5640446,11149987
524288,4,1,3048,315,22,16338258,21890591
524288,4,1,3728,180,13,6036045,11602094
524288,4,1,468,240,17,5836893,11364870
524288,4,1,5496,285,20,6921529,12459690
524288,4,1,5832,150,11,3017785,8539583
524288,4,1,6625,225,16,13091890,18517625
524288,4,1,8664,165,12,4661629,10223627
524288,4,1,869,180,13,5095056,10641142
524288,4,1,9226,345,24,13344657,18856941
1048576,4,1,1389,225,16,10667827,21669967
1048576,4,1,17935,210,15,10278519,21256034
1048576,4,1,2400,240,17,7336492,18293067
1048576,4,1,2553,360,25,16215793,27197073
1048576,4,1,4662,210,15,13257084,24222347
1048576,4,1,5203,255,18,7310942,18306240
1048576,4,1,677,240,17,9640444,20501654
1048576,4,1,6941,150,11,9383583,20239109
1048576,4,1,7683,270,19,7338843,18332122
2097152,4,1,106,180,13,13208840,35598625
2097152,4,1,1433,390,27,21908496,44243843
2097152,4,1,147,195,14,18754070,41257610
2097152,4,1,1983,315,22,26919805,49407281
2097152,4,1,2058,195,14,23016306,45428200
2097152,4,1,2320,135,10,14101684,36589279
2097152,4,1,243,150,11,18148519,40519684
2097152,4,1,2949,195,14,16919076,39284482
2097152,4,1,351,195,14,17495877,39900957
2097152,4,1,57,255,18,19635904,42116823
4194304,4,1,1050,240,17,36154847,80252093
4194304,4,1,1088,240,17,57771510,102541668
4194304,4,1,1617,240,17,31569345,75915066
4194304,4,1,1979,225,16,42615177,86649144
4194304,4,1,226,180,13,31519143,75606079
4194304,4,1,2285,270,19,26991566,71094862
4194304,4,1,473,345,24,49356038,93450559
4194304,4,1,604,240,17,21358555,65386292
4194304,4,1,631,270,19,28056413,72215990
4194304,4,1,774,225,16,43656070,87776228
8388608,4,1,1008,315,22,77427364,164951964
8388608,4,1,16,285,20,78358904,165606515
8388608,4,1,26,285,20,88200922,176222517
8388608,4,1,307,270,19,102132707,189374109
8388608,4,1,323,195,14,57221302,144717100
8388608,4,1,378,240,17,47056028,134619301
8388608,4,1,391,300,21,85986571,173424300
8388608,4,1,522,285,20,52249643,139473732
8388608,4,1,638,225,16,94701512,182196993
8388608,4,1,836,210,15,65574196,153243656
16777216,4,1,1014,315,22,94376653,268892178
16777216,4,1,118,180,13,112632569,286905766
16777216,4,1,129,270,19,143912265,317648623
16777216,4,1,149,225,16,105440664,279187814
16777216,4,1,168,300,21,140695221,314343374
16777216,4,1,194,195,14,76224299,249742015
16777216,4,1,3,285,20,172893258,347290984
16777216,4,1,329,285,20,204806015,378335380
16777216,4,1,462,360,25,139086345,313830086
16777216,4,1,756,240,17,142305542,316131627
33554432,4,1,11,315,22,174320024,521766607
33554432,4,1,1,345,24,180629307,526566071
33554432,4,1,140,240,17,168650640,514749281
33554432,4,1,21,180,13,184732657,532003363
33554432,4,1,311,270,19,256723693,603767994
33554432,4,1,36,315,22,335650030,682292659
33554432,4,1,46,285,20,355160334,700840802
33554432,4,1,5,270,19,279607557,625977434
33554432,4,1,64,345,24,226356962,573829624
33554432,4,1,718,270,19,240189669,588640260
67108864,4,1,0,360,25,463571269,1154275919
67108864,4,1,123,375,26,698902523,1387645650
67108864,4,1,140,195,14,376991237,1070530076
67108864,4,1,23,255,18,411728531,1104368341
67108864,4,1,24,180,13,564955508,1261919703
67108864,4,1,39,195,14,344989437,1038773534
67108864,4,1,41,330,23,630726058,1320810042
67108864,4,1,65,330,23,652385928,1345942009
67108864,4,1,7,315,22,466625172,1157097055
67108864,4,1,86,255,18,308446179,998353672
134217728,4,1,107,285,20,934972277,2312766147
134217728,4,1,11,360,25,1020003123,2404178637
134217728,4,1,15,270,19,1008820957,2390008351
134217728,4,1,18,315,22,1604911613,2985689531
134217728,4,1,2,210,15,580224434,1966419162
134217728,4,1,26,360,25,1587240606,2966704480
134217728,4,1,41,255,18,1108488629,2488799116
134217728,4,1,42,315,22,1249079679,2634327156
134217728,4,1,4,255,18,944703240,2332874038
134217728,4,1,4,285,20,1850664692,3229522849
268435456,4,1,0,240,17,1344442504,4109081218
268435456,4,1,0,270,19,3098184876,5863423654
268435456,4,1,10,390,27,1798959675,4565932132
268435456,4,1,10,405,28,2709730751,5481739492
268435456,4,1,13,330,23,1622521003,4383260695
268435456,4,1,22,360,25,2385681887,5150441792
268435456,4,1,24,180,13,1118322147,3881189766
268435456,4,1,55,420,29,2741248976,5507669262
268435456,4,1,7,405,28,1738988844,4503957466
268435456,4,1,8,315,22,2161913029,4922878216
