n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t
524288,16,16,28830,1740,30,267826841,271415176,266821618,281609359,275328518,263361504,268380981,275152384,264986105,272570847,284262925,278690844,285350905,282830897,274839100,271406779,285350905
524288,16,16,34115,900,16,267891155,269845423,274993758,262691615,274078339,267203610,269698987,264093212,267740963,279538661,262291405,277239267,283721559,280361332,273280283,268443853,283721559
524288,16,16,4775,900,16,256927123,253078676,258500360,263485455,260667774,255744550,270284033,265767121,271195961,276199360,264352035,258314887,275974943,271520999,260376278,264306756,276199360
1048576,16,16,1454,1680,29,311822891,307775941,303606662,299202892,302899359,308603864,299647610,311561726,325548046,300635462,312597601,306431315,318464059,313126791,324383012,320863746,325548046
1048576,16,16,4708,2460,42,316747789,306539084,303147555,310752450,316737529,305461655,311947489,314698296,318702669,307487632,315059688,303240065,317959372,302227729,325461309,311543935,325461309
1048576,16,16,5706,1260,22,282983819,294029534,288615785,292489473,295634001,291632238,288403305,302693783,294332342,300333521,307906599,312175135,308306928,292480720,304276306,300316775,312175135
1048576,16,16,991,1380,24,315517258,311210911,305556723,300713108,320240374,312745744,308346064,304862616,300643318,311090584,329728885,318831375,326541736,323408105,312132719,317279511,329728885
2097152,16,16,1274,2400,41,333929917,327821619,336166089,337274162,332344901,329733136,325227350,346847146,351808428,344166202,328080176,342627690,348386651,335665736,340750846,336629474,351808428
2097152,16,16,227,1500,26,309120670,306018823,318138299,313142589,314231592,323648810,317361323,310133024,323100421,315564578,308037151,325350107,327673881,315028491,326896460,320595491,327673881
2097152,16,16,3850,2040,35,309444927,303801469,321859456,316397550,317351398,309286557,304910022,296311186,314837008,291797029,299466741,309073156,325357289,321363541,318614347,333327282,333327282
2097152,16,16,904,1920,33,304062357,304271946,303225978,297821693,301204803,309477057,305008084,297261090,312082990,310265578,302675508,298933937,314160266,319768501,308099667,302567057,319768501
4194304,16,16,2144,1320,23,364657101,371521292,360528957,363825292,371162121,377867168,371467100,368201053,381966497,371228540,368545195,381037652,399068892,392561677,387940802,382382479,399068892
4194304,16,16,2690,1440,25,350405802,342695970,339329434,348518729,356387394,345355305,353739113,352841564,345142564,358503683,364495321,353025974,363371732,354926807,366015211,351433506,366015211
4194304,16,16,3180,2400,41,357857126,350834101,355039407,341850307,357616941,334613607,351746910,346163862,357923131,338492622,351800982,359768107,363382175,348966100,352856794,348343057,363382175
4194304,16,16,4,1680,29,338076608,345740821,343964782,349214407,341361705,350254478,337640854,345551710,345416292,348360733,361578381,354241731,354965282,345925542,360741375,350697586,361578381
8388608,16,16,1058,1680,29,477157982,471248273,464277469,470941858,465840515,480810288,472662316,459830319,470532504,476900720,466741090,482931680,464134035,478360292,472887707,487138468,487138468
8388608,16,16,343,1440,25,474834907,477500496,475132821,470947541,479597399,471208501,486530359,483971924,489184200,481806709,463016061,471894477,490603721,487252305,498739406,480741887,498739406
8388608,16,16,656,2040,35,457239426,466053677,463228038,471004996,467261422,477490846,471955903,463685356,473819368,480148641,468414606,462580495,481514263,476632373,470847991,466800788,481514263
8388608,16,16,83,1560,27,481939902,468242866,477657183,472656019,476667374,485195494,489655620,483599381,478027837,473362491,487237520,468300772,492035527,471523321,478102834,487211723,492035527
16777216,16,16,16,2100,36,636362409,640160846,631663014,645801712,642760826,633357765,638798484,637694203,655863524,663123689,651167822,648788406,638693553,653424833,651061790,646977835,663123689
16777216,16,16,221,2040,35,641114924,649900114,637541191,645786673,648862230,655014457,652754436,645381423,650516139,661966412,661030523,667333571,653059766,647555053,641978053,651560283,667333571
16777216,16,16,532,1860,32,696026896,688053039,684477958,691995342,688399832,696052394,691788862,684378368,699081772,690298088,686660574,698347946,707802535,713599922,700660911,696130631,713599922
16777216,16,16,640,1920,33,636209406,634648232,630355716,640960325,629440023,637922542,633366255,626115124,630736562,638648632,627964918,643486162,651815071,655180528,644199217,640360419,655180528
33554432,16,16,1,1680,29,1059492804,1061214615,1058296907,1064665882,1056350502,1054602815,1053194783,1053855336,1053989455,1049077998,1067414444,1061542827,1075007741,1065644269,1060827409,1074743547,1075007741
33554432,16,16,121,2160,37,1066463124,1054466165,1061290163,1063314254,1056936164,1063801976,1059476642,1052202818,1071026483,1066510435,1059346471,1070694245,1064694356,1056356383,1081070766,1057881331,1081070766
33554432,16,16,304,2400,41,1051357723,1053229221,1061004340,1066561273,1062501343,1061586900,1050425554,1056829432,1057127235,1060568011,1066073268,1056455096,1062278231,1051184658,1054778786,1071286621,1071286621
33554432,16,16,390,2100,36,1074829277,1071006998,1066698744,1081413251,1075108490,1081781197,1069939148,1073890697,1078867196,1074266676,1079098598,1071513242,1067235816,1058019169,1084170954,1066858623,1084170954
67108864,16,16,0,1920,33,1921021880,1929184964,1917150228,1925579504,1930008573,1926248003,1922573362,1918423553,1928385932,1926456590,1937690989,1923118284,1942013781,1935015839,1935079892,1924204831,1942013781
67108864,16,16,12,1380,24,1931912194,1930758095,1943319426,1936111057,1940286542,1948499717,1942184363,1937617125,1943795840,1928118465,1937964564,1920070706,1946447021,1939638446,1935575244,1951566863,1951566863
67108864,16,16,49,2340,40,1959292189,1951917247,1955512503,1949021548,1962708812,1962394692,1955930524,1971459341,1964271465,1962001109,1947363735,1958440208,1959898052,1953924419,1951963374,1972670654,1972670654
67108864,16,16,5,2100,36,1902008521,1894244611,1898360783,1891045232,1904868096,1897224699,1901825675,1893780793,1924483366,1910094531,1917004650,1905308982,1916169201,1908451304,1897771410,1904701627,1924483366
134217728,16,16,2,1680,29,3703134503,3698397647,3703502090,3698953464,3696125350,3692518517,3695086223,3702257095,3718631494,3711604548,3707447966,3700340584,3717535363,3694034584,3711177371,3704339338,3718631494
134217728,16,16,49,2220,38,3700072856,3681208121,3706340057,3696062450,3704494691,3699592701,3691522140,3697528322,3716467651,3699998239,3705796606,3699548785,3693774261,3712053040,3707120855,3715310762,3716467651
134217728,16,16,51,2040,35,3696958600,3700662436,3710657523,3705561244,3696874067,3706393210,3701301336,3693636655,3704570984,3715204872,3711534330,3704139894,3700275770,3692594781,3721801309,3703130963,3721801309
134217728,16,16,8,2040,35,3701389203,3713749676,3709538476,3705793382,3706346436,3714155286,3697613303,3702511869,3715882480,3713413006,3725793075,3709500409,3711381368,3724127712,3705491963,3716084493,3725793075
268435456,16,16,17,2460,42,7381087512,7374430475,7394483920,7386750749,7401777536,7396859449,7390867002,7397783204,7391913233,7401062868,7407816506,7383860047,7390688941,7402204749,7398643290,7387700619,7407816506
268435456,16,16,32,2220,38,7413196531,7408776978,7423836896,7417639578,7418599646,7412454498,7416408064,7423631861,7417085509,7429659259,7422699699,7410030878,7440044666,7437170900,7424989968,7429476859,7440044666
268435456,16,16,5,2220,38,7436245516,7429408571,7424468331,7431969687,7434543062,7430401493,7425944566,7421876692,7435892928,7426722880,7419383191,7444137648,7425981412,7445679201,7439493647,7431773986,7445679201
268435456,16,16,8,1680,29,7389531332,7397401605,7386848489,7393030292,7387077504,7391466154,7383782613,7398093425,7397819526,7404258445,7392430111,7386510384,7398310858,7404047685,7392765787,7387814386,7404258445
