n,k,i,p,m,r,t0,t1,t2,t3,t
131072,4,4,4294904850,180,16,185134369,174450826,192150695,183625166,192150695
131072,4,4,4294918059,216,19,188559417,198108486,184653395,177803001,198108486
131072,4,4,4294920725,252,22,178356254,182488978,192011604,171200525,192011604
131072,4,4,4294922924,204,18,213567138,198810116,204900483,193063273,213567138
131072,4,4,4294931360,192,17,186002088,173281312,165919165,179091306,186002088
131072,4,4,4294934693,192,17,186625852,191972875,181161228,179226124,191972875
131072,4,4,4294943831,228,20,177934990,191224903,196773013,183948500,196773013
131072,4,4,4294948371,204,18,179131168,197168514,191651005,187687139,197168514
131072,4,4,4294953678,228,20,176850307,180827688,189998420,170008666,189998420
131072,4,4,4294966115,216,19,189323755,177323436,184448037,172469791,189323755
131072,4,4,4294966727,240,21,202365191,199312249,186748386,194998531,202365191
262144,4,4,4294914147,240,21,187005153,195483256,199807005,184061613,199807005
262144,4,4,4294948683,204,18,199563362,178625935,194106204,182677937,199563362
262144,4,4,4294954087,288,25,197997580,191800403,203870845,188237907,203870845
262144,4,4,4294954240,192,17,214874984,207832385,200650616,194516128,214874984
262144,4,4,4294959069,240,21,179486452,184646066,201798227,191900272,201798227
262144,4,4,4294959950,240,21,200821809,195776022,189790771,207877540,207877540
262144,4,4,4294960254,216,19,204607344,207506355,196190474,190475097,207506355
262144,4,4,4294961851,228,20,187056371,199152401,195343665,183291305,199152401
262144,4,4,4294962395,204,18,210472884,199663099,207438520,195293596,210472884
262144,4,4,4294963098,204,18,208425568,213218775,201918193,221347487,221347487
262144,4,4,4294966289,216,19,197161607,203933014,185235133,191990879,203933014
524288,4,4,4294936041,216,19,227407570,220113788,215662024,209334756,227407570
524288,4,4,4294943199,252,22,217999315,203440299,209028685,196959758,217999315
524288,4,4,4294956171,204,18,220679749,211656117,205935308,224597330,224597330
524288,4,4,4294957336,264,23,240548239,252256362,237823846,245995893,252256362
524288,4,4,4294958522,288,25,197911948,207566476,194100880,212730912,212730912
524288,4,4,4294958524,216,19,217769053,224185658,213199901,207456389,224185658
524288,4,4,4294961408,204,18,211447106,218083089,225879373,231489729,231489729
524288,4,4,4294964606,264,23,219179579,231554866,227319328,216026538,231554866
524288,4,4,4294965493,288,25,205184338,197994736,194407413,209303615,209303615
524288,4,4,4294966487,228,20,221565863,216186856,211147873,230673527,230673527
524288,4,4,4294966564,264,23,219073321,228344005,222782398,211457722,228344005
1048576,4,4,4294958066,204,18,247643236,258189456,246974829,263629052,263629052
1048576,4,4,4294959947,300,26,250923204,259933547,241762211,239248845,259933547
1048576,4,4,4294963043,228,20,263238573,267609730,255874746,255562183,267609730
1048576,4,4,4294963617,228,20,268865735,259972020,248134258,255060904,268865735
1048576,4,4,4294963728,264,23,250572852,262696005,258877068,250802865,262696005
1048576,4,4,4294963737,252,22,260977922,252068178,264456019,254120570,264456019
1048576,4,4,4294964709,228,20,266464917,277049441,259362413,255962244,277049441
1048576,4,4,4294965279,264,23,266983763,276796273,251761268,260733101,276796273
1048576,4,4,4294965732,204,18,261204997,252253947,246112691,240253541,261204997
1048576,4,4,4294967036,312,27,257354470,253780963,266008497,245852387,266008497
1048576,4,4,4294967138,228,20,259378738,264958635,253226264,248642961,264958635
2097152,4,4,4294959710,216,19,337926810,350330975,345473795,342688299,350330975
2097152,4,4,4294960697,228,20,352730980,347608064,359466420,342010331,359466420
2097152,4,4,4294963335,252,22,347877177,353651869,341952240,360360450,360360450
2097152,4,4,4294965374,216,19,355580745,361016708,346625970,350183828,361016708
2097152,4,4,4294966243,276,24,351414547,347778083,340312952,335819612,351414547
2097152,4,4,4294966324,288,25,377471034,369657355,362961205,357559308,377471034
2097152,4,4,4294966442,264,23,377377928,366218377,373623315,362457581,377377928
2097152,4,4,4294966478,252,22,353853501,326001302,334089025,343866671,353853501
2097152,4,4,4294966814,264,23,351037512,358569904,348586206,343983300,358569904
2097152,4,4,4294966904,240,21,345821162,333226887,341844328,354711398,354711398
2097152,4,4,4294967274,216,19,359809370,348143696,355538303,342407674,359809370
4194304,4,4,4294963754,300,26,541287681,538031415,549959997,530407912,549959997
4194304,4,4,4294965504,312,27,552403635,559449380,548919601,544240828,559449380
4194304,4,4,4294965700,288,25,531909843,543492013,539330830,527382925,543492013
4194304,4,4,4294965813,276,24,541636760,553713881,538652869,550709876,553713881
4194304,4,4,4294966006,276,24,526656373,551140429,536080864,547258265,551140429
4194304,4,4,4294966204,264,23,543982685,538254154,551539997,532326416,551539997
4194304,4,4,4294966342,252,22,548391344,555569407,551311772,539998311,555569407
4194304,4,4,4294966531,240,21,534612754,519085182,523129072,531031181,534612754
4194304,4,4,4294967007,276,24,539428845,526234728,539365239,530165682,539428845
4194304,4,4,4294967035,264,23,547182585,540291711,533725108,528119363,547182585
4194304,4,4,4294967195,288,25,547815930,541848121,536636480,531297179,547815930
8388608,4,4,4294965440,312,27,917989234,929694424,936073498,924211889,936073498
8388608,4,4,4294966261,264,23,961790657,960686881,951103049,946467718,961790657
8388608,4,4,4294966527,252,22,939661922,928137955,934330451,922579439,939661922
8388608,4,4,4294966684,252,22,922604082,910594663,924339541,914802872,924339541
8388608,4,4,4294966805,312,27,916397721,925630872,931212240,914128944,931212240
8388608,4,4,4294966904,240,21,927570452,939928512,923145135,938962419,939928512
8388608,4,4,4294966943,264,23,936490318,943333097,927008748,918765022,943333097
8388608,4,4,4294967088,288,25,917349115,911318201,927278802,939454146,939454146
8388608,4,4,4294967148,300,26,939719227,916764916,932690935,927094618,939719227
8388608,4,4,4294967174,252,22,933456021,942180416,926367840,917567469,942180416
8388608,4,4,4294967256,240,21,950056884,942507222,932897547,939916893,950056884
16777216,4,4,4294966653,264,23,1761232593,1753766978,1768460744,1759894894,1768460744
16777216,4,4,4294966688,288,25,1746114293,1742551567,1734629263,1754705244,1754705244
16777216,4,4,4294966900,276,24,1773776699,1755079728,1770387129,1764621709,1773776699
16777216,4,4,4294966988,312,27,1744200397,1733447177,1754505651,1739640051,1754505651
16777216,4,4,4294967092,288,25,1749832924,1744645967,1739475698,1733859382,1749832924
16777216,4,4,4294967113,312,27,1741703676,1762534993,1734965743,1755592037,1762534993
16777216,4,4,4294967176,276,24,1750041194,1758634741,1745047674,1739420562,1758634741
16777216,4,4,4294967179,276,24,1739269421,1747456260,1734122144,1752407478,1752407478
16777216,4,4,4294967179,300,26,1738011743,1762861042,1752984868,1746733047,1762861042
16777216,4,4,4294967197,276,24,1752050331,1759064123,1737756609,1745978961,1759064123
16777216,4,4,4294967256,300,26,1743700917,1737002738,1748844556,1734196118,1748844556
33554432,4,4,4294966962,276,24,3433883279,3443202347,3426958378,3440775715,3443202347
33554432,4,4,4294966992,312,27,3444984844,3442915277,3437689892,3431914228,3444984844
33554432,4,4,4294967155,312,27,3427769734,3451431820,3448322772,3437801188,3451431820
33554432,4,4,4294967159,288,25,3448586077,3429593410,3436637161,3443335292,3448586077
33554432,4,4,4294967181,312,27,3437306123,3451300288,3429014310,3423576588,3451300288
33554432,4,4,4294967189,312,27,3444957355,3429568364,3442849062,3435832013,3444957355
33554432,4,4,4294967200,288,25,3463791846,3473167295,3463636708,3457673840,3473167295
33554432,4,4,4294967216,288,25,3416279954,3433052586,3427019068,3441670419,3441670419
33554432,4,4,4294967225,288,25,3450827507,3445412116,3439906085,3461729860,3461729860
33554432,4,4,4294967259,288,25,3438933319,3427517837,3423120309,3436030215,3438933319
33554432,4,4,4294967276,360,31,3445501025,3452103723,3440131475,3434049439,3452103723
67108864,4,4,4294967061,336,29,6935281293,6927973609,6939678115,6923559995,6939678115
67108864,4,4,4294967176,384,33,6946163143,6945817758,6934798566,6938620372,6946163143
67108864,4,4,4294967185,336,29,6940122892,6950784218,6947475977,6935720472,6950784218
67108864,4,4,4294967217,324,28,6983420856,6980216849,6973185966,6968533403,6983420856
67108864,4,4,4294967240,360,31,6957919004,6963508235,6952306017,6946710027,6963508235
67108864,4,4,4294967267,312,27,6949825556,6943056651,6937452735,6932866675,6949825556
67108864,4,4,4294967270,312,27,6988975156,7000305628,6987968224,6997344361,7000305628
67108864,4,4,4294967274,324,28,6943202201,6932021738,6927409273,6939970746,6943202201
67108864,4,4,4294967287,312,27,6935806689,6945488358,6925380290,6933585010,6945488358
67108864,4,4,4294967289,288,25,6933442278,6936206184,6925133645,6920693715,6936206184
67108864,4,4,4294967289,288,25,6972022966,6967479010,6960555632,6954509011,6972022966
134217728,4,4,4294967231,300,26,14190834688,14204846065,14208199589,14197326703,14208199589
