n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
524288,32,32,4294962605,5208,43,310466391,310645919,313987801,306988621,308961233,306585394,316118009,299555563,314961600,296094120,311658486,302886255,311623875,307671264,307646189,318456642,310803533,314848378,309120641,303057371,304615713,301107027,310834680,312564617,318092212,310282586,323940617,315489349,300731084,316779228,310352340,305577046,323940617
524288,32,32,4294963399,4340,36,303459636,296118949,300753490,300154118,289138534,303222708,300155887,300080577,295740961,296610582,298993826,303555211,290780153,288033969,306608103,306578942,302534857,311008307,301716758,297169228,303066311,298188111,292773941,299643959,304143852,293617290,312284279,300633292,298534985,311340840,308658391,302083400,312284279
524288,32,32,4294966341,2356,20,303009776,297326571,306116212,300606925,293177623,281368131,286844751,279372863,283285515,293763273,306779613,289134778,303303319,301204856,297920412,297710151,288104712,284651656,291676904,285773930,307628608,303320679,303300988,299520296,298161608,316694978,312078707,302206745,304010234,293273768,311673697,300012319,316694978
1048576,32,32,4294957669,2852,24,299659764,293842624,297269236,303004186,287765145,273236283,291784980,300796271,298336462,294539580,294605142,304065260,297101331,281075727,288120942,304614499,301136410,300726861,296673814,282435813,292158248,288691683,284878635,288014538,303200978,296878963,290820525,308619282,311165347,308499697,300637288,296732240,311165347
1048576,32,32,4294964449,5580,46,296089101,290138835,299296543,293806170,291984913,299159648,283608621,296145079,296116185,288452627,293356942,288799534,280869867,303629146,299535948,296845429,293811293,295597589,287626078,291279001,284699455,294316918,291690365,282682632,305460004,297400201,294620069,311581167,311284125,308588377,297258094,302394814,311581167
1048576,32,32,4294965409,4216,35,313055014,307532428,310353146,305163843,316258552,313464965,310187015,308742747,292434673,313316895,310001438,302570137,298790482,286873609,306557775,318700172,315397903,313237594,310385477,290812227,310592596,302761186,296794358,309425770,317660108,322201641,306346345,315111006,297889304,314951222,303902050,309761258,322201641
1048576,32,32,4294966221,3720,31,328371499,325177162,322702060,319968883,324024658,329776385,311164134,326555407,315188951,321457051,319244699,326281669,321401343,327741265,324165825,324153932,320183088,324829096,317445381,312797727,310338090,322921228,318309558,315045717,314285618,322580771,330192567,327663442,315791781,336128126,313878657,320458216,336128126
2097152,32,32,4294965644,4464,37,304531427,302352728,301117176,299589192,302053529,299038305,296481735,294202127,315314352,315365331,311558172,319831875,299623453,304376290,311739523,307836014,308115214,306806392,313218720,302059354,300688337,306986467,315174175,293828269,313858419,320241986,329303562,312307454,322630032,324884363,326998924,312330867,329303562
2097152,32,32,4294966611,6076,50,315070403,312451907,309668746,318430074,318520603,314767933,313803827,313263415,308466410,307850223,296103908,302176303,304605763,312220492,308457880,300386753,324685687,320758973,320637594,316638767,305481168,317012314,313103395,310315920,326984574,322800374,309593498,315791024,321536068,313672389,310506065,324156305,326984574
2097152,32,32,4294967174,3844,32,320285135,314687171,318153350,313264257,310675432,307065917,322575586,319453597,317068755,314111399,315566050,320260628,320648893,315336052,319841818,309554467,316299864,314716718,296082635,309220017,303778888,316152961,321670934,316480836,327351518,314858725,308471404,324067305,314405449,310651917,322564234,324294656,327351518
2097152,32,32,4294967276,4836,40,315711320,311276546,316176945,319561823,320173437,303307381,325810206,311004540,322962489,309661365,317857704,303799721,315909613,314760903,309166235,321984882,325231420,319912183,317008558,305533836,315256106,309857936,303368729,318982391,329012211,332735328,321591844,315691110,323448817,298581407,315631538,308786373,332735328
4194304,32,32,4294966435,4464,37,304821344,310404269,307530892,302106745,329793099,318319602,315015259,319872465,316648771,330061844,326607176,321925036,324992304,335654502,333008309,328474198,333664810,330310946,328137026,325726303,325750674,323216420,341182756,342195137,336921857,334578698,343490800,327502016,347468900,341887679,336260462,330326407,347468900
4194304,32,32,4294966468,2852,24,358857709,360791102,342217760,366986798,347830148,334656768,364237275,355901121,358011900,367898198,364804064,355854818,362546430,352376904,358625665,349699061,360915805,366293958,352917630,355561173,358961375,363180334,361714656,348713363,362333566,356712321,353184492,364354492,339296200,358592971,348312597,369085050,369085050
4194304,32,32,4294966759,5084,42,355426526,349710616,358568027,353048481,352466313,345463284,341507099,348837116,354067062,359662373,356381837,354080089,350905048,349024666,344528841,342733164,345048571,339654412,358484794,355070334,354986306,350680887,353278969,346203783,343620964,339038282,357671069,351294123,349786488,361076528,357040751,344365486,361076528
4194304,32,32,4294967169,4588,38,363354486,367421362,367287172,370678605,364018084,370994463,367144594,361438012,370180725,367320856,364725185,361931050,363878660,356684473,351101412,357716127,361221472,368030204,353634759,363692992,355693278,343112743,349973590,364070361,372458483,365668531,357888168,356133153,358570272,375508478,370643905,364791632,375508478
8388608,32,32,4294966525,2728,23,392253258,385831642,391836466,392165865,364163702,371070750,358959523,395457722,392193420,389850733,387011710,379506041,392035832,388426243,383856323,395852495,391541928,375324530,391383293,387368204,386890754,382689066,381286227,382265264,392554195,386999270,379820107,375127228,381044240,392079257,401042232,386686581,401042232
8388608,32,32,4294967034,4092,34,380962288,385138789,380629871,390645703,387586446,385117569,368873376,382032646,380773320,382630468,373474291,376686329,377078246,369538143,376346142,388068635,382704300,391164305,385785355,381526206,378476851,376390234,369952307,389587533,380960564,388633202,375505976,364240004,383942404,395518685,389763114,378489167,395518685
8388608,32,32,4294967045,3100,26,378627008,384139610,381436806,376055649,384505088,379460481,387998995,381698495,365863177,361439949,378034243,373509937,388904134,381148515,386574027,384203974,382437857,375995825,379951128,371976564,374987110,385181407,378675540,371495772,393105205,387737219,377620826,386003446,381673362,389994120,381229005,375131996,393105205
8388608,32,32,4294967270,2728,23,379626945,376889287,374432640,371471007,373119558,354307425,366831545,381458399,378395822,376393914,373332620,363610943,370118783,364296491,376368880,372151664,379780260,376234371,376425665,372910469,373405182,372132320,366006504,378321540,371061734,387322313,375911503,369861548,392266016,383982614,377800900,382695884,392266016
16777216,32,32,4294966931,5084,42,474086113,468531840,471201698,465690603,458538319,475386255,472019494,469823091,466930920,473648859,470794375,468244177,465411557,452930570,460138546,464006199,459545440,457115768,455926886,465625464,452850344,448940912,455162165,443447924,475927197,465923386,471365798,460841701,480661274,475873965,466513743,470340540,480661274
16777216,32,32,4294967025,6200,51,483935657,480140001,480804104,476621861,484205985,480963757,478669093,475865084,482020959,477997702,474985581,471734970,472752778,480102000,475784681,473106770,469427623,475545963,472120368,479868379,467656546,482242292,481990407,476524170,487742231,481985366,476997749,472780999,490889539,478074227,469852841,484582953,490889539
16777216,32,32,4294967224,5580,46,498762576,494531855,491556952,495472494,491798355,486392202,496325034,483839500,492491361,489397240,486037026,491043898,476831178,486730278,473368403,482338146,479915720,487451258,492864665,488917107,484557924,478255583,485158538,481947968,489999547,497673817,495475177,483636099,497721928,503826590,492411353,486838185,503826590
16777216,32,32,4294967267,5456,45,497056416,494123622,491581400,488739144,504436255,500056116,499921579,495892579,494692403,488160408,481085658,486648551,493959341,502994576,503568175,499744135,497629782,497727250,494545183,491016841,472555445,485062099,492641164,478458674,495007411,498128780,504945812,492460721,486185503,505056774,511583316,494208005,511583316
33554432,32,32,4294967109,2976,25,658722830,655593226,655671746,651946921,660070335,642721147,657036591,656534247,652645461,638236087,651638541,651003063,639325534,659199226,655985801,653566977,650703369,648322137,644895894,640486886,648424851,646225765,650552763,656372822,657110461,663694999,651386440,655812124,646522390,660993882,650317799,648727084,663694999
33554432,32,32,4294967172,3100,26,675255290,672079262,669639062,666796716,665377833,674040604,670921127,663831529,668774789,662519613,676396006,658226584,661556038,667202037,655656053,662357547,679762881,676261663,676332935,672202986,658059002,672340098,672088859,665973980,684255974,671717987,660965732,675870388,684533749,681406032,673877834,669911543,684533749
33554432,32,32,4294967193,5828,48,675309762,672070480,671921584,667961332,663956641,676932565,672882828,672820312,668787711,656063844,666352671,664754989,652082262,679640532,646486566,672498132,659300971,660739994,677378195,666472162,675057571,672217218,666406292,671970535,679639518,684046689,672678967,666407819,682627452,679780380,671805321,667963430,684046689
33554432,32,32,4294967263,6572,54,670514910,676471385,673280997,668040106,671977586,666518204,675614014,670289705,653716766,669102198,661156060,647333259,681720661,678698314,675723953,675290553,663240201,679970325,675127170,671604448,667968381,658744252,670994715,666362143,684460033,669281189,676127368,670090524,660035609,682074094,667116233,679097014,684460033
67108864,32,32,4294967186,3844,32,1079418503,1074257851,1074925503,1069847861,1070658846,1078029968,1073904688,1070881147,1067557069,1077748769,1068240334,1074885869,1072344713,1069485391,1075384514,1069963623,1063792059,1061984300,1076055535,1069346818,1066562675,1070442860,1066832438,1063281711,1065933087,1083716800,1060432909,1079244339,1078675838,1059694795,1050831144,1046637147,1083716800
67108864,32,32,4294967256,4960,41,1096122290,1092959866,1090615719,1087803599,1087190185,1076788160,1097300312,1094113898,1085721702,1091763479,1080565889,1082300329,1073560561,1095740376,1092605993,1092467963,1088419718,1078633932,1082906128,1070989518,1084290745,1087400930,1091144186,1079976301,1091388616,1098545047,1080483381,1087773018,1103762277,1095313960,1090040420,1102783514,1103762277
67108864,32,32,4294967265,4588,38,1071656941,1066376493,1073943409,1079238240,1078375973,1072943356,1074156446,1057459355,1069487304,1070191756,1062395358,1065655282,1075571113,1061069750,1071460802,1078852897,1075513034,1068125130,1061776626,1074138776,1080705389,1057566435,1072185244,1049824409,1078006739,1081770359,1089448635,1070312839,1085034704,1089066848,1078617811,1074724762,1089448635
67108864,32,32,4294967280,3968,33,1108120689,1104627464,1102901046,1099931194,1109438152,1105890225,1102630804,1101239083,1095407400,1115606181,1101035948,1111310943,1092636010,1111005252,1106985986,1089324172,1098397373,1102289823,1094683717,1090284817,1104695126,1097370058,1100152467,1094064072,1106991937,1085256451,1103908742,1095001192,1110235841,1093533850,1090119361,1105230699,1115606181
134217728,32,32,4294967235,4836,40,1933736553,1930468548,1928095836,1925603998,1934915454,1907436858,1931692044,1929415309,1926395122,1903293568,1933815535,1930620927,1928283018,1925502859,1916549794,1928328663,1923686484,1917995702,1922719922,1925684101,1916475300,1931183464,1921939648,1927136171,1917376846,1914940869,1932035163,1939784108,1935259137,1912843817,1923834340,1917671521,1939784108
134217728,32,32,4294967238,3100,26,1958160698,1954590242,1954515506,1950728242,1957827056,1954816471,1952350364,1950490770,1949518852,1947364220,1943759624,1938771662,1962942761,1959912013,1957354802,1954395715,1952503831,1940581913,1945067859,1948394832,1943462023,1954948107,1947175553,1950670373,1972042547,1971555242,1965724423,1958739326,1953064180,1968254389,1960772118,1955186008,1972042547
134217728,32,32,4294967272,5828,48,1954964478,1951625431,1951587752,1947838207,1955223126,1949625573,1952234419,1946529333,1946850234,1947675753,1941681757,1953766955,1951392928,1948787967,1945924384,1946389824,1942041906,1938809704,1951365594,1956225444,1946131096,1953636548,1951652972,1942142071,1959348603,1958288184,1946893205,1951792698,1947915546,1963569451,1954492153,1965596119,1965596119
134217728,32,32,4294967283,6696,55,1951744575,1948648072,1937522114,1948391547,1944382092,1948762892,1957968129,1952380547,1954841605,1950657463,1939982296,1948625150,1944405930,1960429017,1956098154,1955931224,1952124779,1952052887,1955922797,1947443619,1944753096,1939700560,1951026938,1952416840,1937560587,1930842229,1950230313,1955650446,1965233226,1955584230,1946867418,1940718673,1965233226
268435456,32,32,4294967273,4588,38,3712003773,3708741546,3708565882,3704577912,3717633490,3714313127,3712074634,3709228905,3706101393,3711843844,3706958892,3700923923,3716308117,3713548091,3711022792,3708171339,3705832355,3702332272,3695831271,3700447225,3711953770,3705901577,3708341548,3700862365,3714204141,3705061369,3716407992,3700760944,3715694263,3719130060,3709604515,3706344248,3719130060
268435456,32,32,4294967286,4092,34,3720839834,3715351872,3718313918,3724153054,3717980241,3723814576,3720061140,3716430011,3723280485,3720163996,3713333657,3707334849,3709725674,3718146948,3715565914,3716836091,3712095806,3705555126,3705004717,3719248578,3718202715,3710738207,3724811849,3697661714,3730908478,3735569219,3721838916,3718687871,3736261864,3731544933,3725021615,3720097008,3736261864
268435456,32,32,4294967292,7564,62,3724113513,3735504353,3731063237,3743136811,3725294703,3740538277,3737950913,3734422746,3737997352,3743476613,3740488833,3734184809,3728650606,3738832202,3734736296,3742596470,3738918781,3731500090,3722768524,3735093246,3727944146,3721923132,3734265287,3726935958,3742751464,3735951391,3729824523,3749047917,3754206045,3735699319,3747846979,3739699837,3754206045
268435456,32,32,4294967293,4464,37,3712096883,3717007059,3706160585,3728124513,3725228742,3724778610,3720833675,3715252308,3725616123,3731298698,3727913921,3727982131,3724235000,3714557680,3723858741,3718454418,3710720642,3727262648,3724086247,3724087367,3719355756,3720263022,3716239358,3724254934,3719079326,3733739857,3715461172,3727764734,3730233874,3720022510,3716655836,3728427303,3733739857
