n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t
32768,32,32,113609,4836,40,301532954,298271815,296967199,295581660,301664413,306533360,299108401,303413917,300986315,298211693,297915127,293468523,286513815,289955268,291074274,305884118,296694575,311292395,308203676,303300842,286433103,307003593,292038494,298357295,313556437,297277947,308829306,312276302,298624978,307556704,307988961,302340065,313556437
32768,32,32,2125,2232,19,294937690,292071443,289367166,288565388,290626963,285948717,293870073,289198316,289900610,299732143,296456153,286380577,294145377,291399602,291007078,285214684,279306710,286866032,280842921,284783932,290775557,289543067,283864379,295395236,295583972,284154231,291291922,279412066,302371787,300025081,292417646,287697927,302371787
32768,32,32,53445,1984,17,307970661,303777727,304931070,301115291,307825172,304265752,302355122,298790838,296555368,288994958,285289162,301887481,299657714,314098007,291895528,310152269,310112547,306043959,303351700,296249832,301009130,309491567,305515352,297332900,322234747,308278949,303206510,316063401,316898802,306567049,314625210,302849603,322234747
32768,32,32,55123,1860,16,279678819,282947805,277361844,274405430,278428315,279642802,273425149,274918460,276315495,267121727,272804186,270950202,283393626,263279135,283962876,278994767,270098143,273795075,266270175,278641387,278559874,274018006,271451467,267892649,274832129,291580749,269421817,287238604,282371681,282786018,285351098,276268929,291580749
65536,32,32,11894,1240,11,285546740,282444872,279870228,277236874,279773282,288441113,275522979,284122418,272343762,284139084,268495771,280090706,290933773,287991300,285438605,282380943,279643148,267578784,275801968,273200209,280883657,267919195,260641876,277482981,285238559,275042063,290971027,278776475,285177838,277241705,262390941,271632365,290971027
65536,32,32,19047,3348,28,308656020,311896434,314541681,317580786,314452318,318082351,312875976,310113607,299811295,321285044,317436842,314232649,312994126,308303400,300106374,308574587,296877249,304298063,313308812,304882641,316953462,310904416,312559564,305682467,327267821,319423354,312071938,303263457,323291929,307276555,314647497,319621064,327267821
65536,32,32,34771,4588,38,297379872,291648468,278190316,289591200,295420788,299070638,296086659,291917321,293635282,290162949,286869244,283484142,280472231,280309439,295237589,272483938,288395101,292701277,284591891,284314856,289935049,294080328,298189476,295608181,278703364,290942796,295412986,283678994,302523130,290929747,302811691,295319817,302811691
65536,32,32,90261,4836,40,295458043,305543856,301863964,298749077,304710320,304488771,300511461,309324403,301270956,293929668,291861973,296872291,291369521,300930134,296600150,300386733,312260818,303916283,297298902,309083725,293454525,306683213,305262082,305440869,300834048,313627457,310525542,316913687,313432618,301465963,305576865,301201879,316913687
131072,32,32,10450,4712,39,259659248,264607719,261221877,258364250,281382821,289748429,285587566,285573980,284697907,280087362,279150458,274728564,287979034,285269472,293435009,282399485,287551356,280345765,276214836,275703623,283447153,280078163,288008468,283722592,288008230,301419473,300039905,293849834,283518846,308660567,289936442,294545673,308660567
131072,32,32,24545,1860,16,291473551,288307097,285847860,283055684,278948235,284597360,290496821,292404235,280796735,289263377,276531935,284033799,287006288,275506113,266704309,290586375,272323915,284749037,269377127,277966735,264132068,286383422,282018602,275543182,282132677,287339588,277202624,272278528,292151014,287116056,281640685,278307553,292404235
131072,32,32,25675,3596,30,283819003,277794409,280716530,287160762,284558893,288757520,284535742,280542141,280005808,268577518,274293267,271383867,279633572,276488476,291563992,272590310,288502651,286130501,282532216,280890014,266436479,259478327,279365339,271778941,271684556,284238630,278725850,273013986,287197930,290448052,291977452,280461067,291977452
131072,32,32,29918,3968,33,272579172,278815894,275960861,282425759,302115968,299055099,296594261,293817197,283939410,297095702,279712335,286744505,283680719,290621364,310075126,301213982,307457496,297084750,302945655,293616523,302880345,296221492,308209556,299821087,290741421,282279011,314205360,311777769,310356021,302226869,306335282,307186407,314205360
262144,32,32,11115,3224,27,301513561,310940043,305466692,308157956,311274245,305794025,302473961,310471579,307495428,305089279,302220709,300634304,299337329,305179427,312078916,298033773,306120544,290565323,301771839,294052257,304077194,296750042,283908124,301981434,315758239,297332261,310987853,303419208,287770036,299114635,283594145,296014405,315758239
262144,32,32,12115,4712,39,270793317,265421439,273963299,268175774,286295557,285327848,281542835,279146196,282236210,273381848,270335446,267974099,264450213,286378842,290742779,282338936,291670521,278112066,280600120,288564889,286462439,278579573,291721644,282325215,290908868,282490215,301524466,293348415,315606175,307914765,297406335,291719694,315606175
262144,32,32,21584,2480,21,286797741,289599793,295706198,292634160,292504262,280399193,296502444,293060616,290768849,287819289,275595575,288858580,289009325,285203222,265460269,281761252,291937854,289417704,286364872,294796016,294978462,281476926,288678689,277503426,299701655,293624513,287844980,284596397,307956940,299138630,293919106,289599757,307956940
262144,32,32,906,5208,43,307474740,304606437,303249242,301822809,297755395,307831785,303561588,303453799,301423166,295160689,304760988,294308220,289332207,305896628,299033600,301805296,301602718,297548722,287011988,295252441,301038878,293406955,306942037,296895566,289106767,302829260,296775291,308212323,307170228,295635874,310625336,301024198,310625336
524288,32,32,2159,4960,41,303583455,300530944,298048298,295662925,306039854,301776093,301788530,297815003,301477902,294368042,297845710,290167636,288271751,291595477,284461110,294298231,291173333,278649159,291620548,287804132,284777382,300303596,287096388,299536029,298491051,305754986,293213060,311919588,307907617,312160646,302173580,296749062,312160646
524288,32,32,2811,5332,44,289361879,295303217,298431930,296638395,290722924,290829544,279547726,276911623,283848214,287253893,270316413,297410045,285815354,303230090,299973507,288689722,300006223,295842185,284370010,292252745,301582294,297674202,294516312,290767141,293948749,303369246,299478334,287563162,289577580,308345180,302911983,297602061,308345180
524288,32,32,660,5208,43,288250423,285860369,283584536,291347003,286274952,281469432,290336522,286013690,281307462,285375859,277272461,287080434,291933871,281843747,278116837,268494234,296433318,262028119,293190732,290893574,288086528,284869214,275600650,295476069,300322344,278356010,286586913,292928254,292398697,287273752,270023622,277009902,300322344
524288,32,32,7032,3844,32,302107454,298216938,296050231,303135853,294036521,302681592,299589744,297005431,294293149,296395751,300333832,300281209,289561253,290586154,295248793,286344938,307641386,304300638,302068928,298623220,294887711,300415355,288559801,296443208,303088831,287122629,300676541,292738255,299400331,309708831,307169056,296096398,309708831
