n,k,i,p,m,r,t0,t1,t
262144,2,2,69116,68,18,277293059,303652221,303652221
262144,2,2,7762,72,19,292299975,316294891,316294891
262144,2,2,8501,80,21,327793021,304361349,327793021
524288,2,2,11679,80,21,387913434,411992943,411992943
524288,2,2,1411,76,20,252939984,257782019,257782019
524288,2,2,14421,88,23,354901073,387933129,387933129
524288,2,2,1954,72,19,1647938576,1675656438,1675656438
524288,2,2,2598,80,21,245166563,246170512,246170512
524288,2,2,26587,80,21,1804451619,1828653414,1828653414
524288,2,2,3954,84,22,237580560,238844680,238844680
524288,2,2,4561,80,21,220687572,225436879,225436879
524288,2,2,540,84,22,371160980,387283496,387283496
524288,2,2,558,84,22,353844168,387449829,387449829
524288,2,2,5834,72,19,236036324,225933273,236036324
524288,2,2,7304,84,22,1192386544,1216181246,1216181246
1048576,2,2,1105,88,23,325035973,329419541,329419541
1048576,2,2,1383,80,21,603800884,580084276,603800884
1048576,2,2,165,84,22,568345872,592514263,592514263
1048576,2,2,2061,84,22,567634009,592469264,592469264
1048576,2,2,3674,88,23,547421004,568036408,568036408
1048576,2,2,4031,84,22,338383778,346508889,346508889
1048576,2,2,5964,88,23,547202742,567576778,567576778
1048576,2,2,6475,84,22,603837896,580575640,603837896
1048576,2,2,6630,76,20,542211298,567561786,567561786
1048576,2,2,8589,88,23,308272232,314122905,314122905
1048576,2,2,9018,88,23,558958733,567374687,567374687
1048576,2,2,955,88,23,336698326,331190974,336698326
2097152,2,2,1144,92,24,939797794,935231991,939797794
2097152,2,2,1460,80,21,963398552,939974063,963398552
2097152,2,2,1614,100,26,538322143,533857370,538322143
2097152,2,2,2177,96,25,530526417,527509448,530526417
2097152,2,2,2277,84,22,936630308,951708706,951708706
2097152,2,2,2574,88,23,944609210,937678440,944609210
2097152,2,2,262,88,23,914042031,939330499,939330499
2097152,2,2,2789,92,24,970603894,964080373,970603894
2097152,2,2,3603,88,23,951965301,976225140,976225140
2097152,2,2,4439,88,23,537605471,530425233,537605471
2097152,2,2,483,88,23,999579449,988032959,999579449
2097152,2,2,960,96,25,503249526,499431959,503249526
4194304,2,2,1171,88,23,914549956,921958922,921958922
4194304,2,2,1386,96,25,916718155,914481937,916718155
4194304,2,2,194,88,23,1779476495,1767535793,1779476495
4194304,2,2,200,84,22,1751175270,1755617280,1755617280
4194304,2,2,22,84,22,1715845525,1731836254,1731836254
4194304,2,2,237,96,25,918225519,923426483,923426483
4194304,2,2,2533,88,23,1827947084,1804178985,1827947084
4194304,2,2,329,88,23,893560192,890533508,893560192
4194304,2,2,435,92,24,1699527047,1719509283,1719509283
4194304,2,2,632,88,23,1693406250,1719167671,1719167671
4194304,2,2,683,92,24,1714632125,1731303530,1731303530
4194304,2,2,9533,96,25,1763554042,1755874124,1763554042
8388608,2,2,1116,96,25,3349015877,3375977131,3375977131
8388608,2,2,119,96,25,1726536235,1730868762,1730868762
8388608,2,2,1273,88,23,1739680794,1734232447,1739680794
8388608,2,2,202,100,26,3347662439,3355698961,3355698961
8388608,2,2,27,92,24,3460013957,3436565150,3460013957
8388608,2,2,378,88,23,3435864625,3471596905,3471596905
8388608,2,2,502,100,26,3344930292,3352061976,3352061976
8388608,2,2,508,100,26,3424081154,3447911494,3447911494
8388608,2,2,516,92,24,1740278737,1739698732,1740278737
8388608,2,2,525,108,28,3364058790,3388301028,3388301028
8388608,2,2,5,92,24,3347736931,3343444101,3347736931
8388608,2,2,88,88,23,1706292797,1711976994,1711976994
16777216,2,2,214,96,25,6678346519,6712022931,6712022931
16777216,2,2,250,104,27,6743094968,6760360117,6760360117
16777216,2,2,26,108,28,3430819987,3423609041,3430819987
16777216,2,2,312,108,28,6772493925,6796232018,6796232018
16777216,2,2,32,96,25,3427805478,3425851161,3427805478
16777216,2,2,41,88,23,6734920331,6760050651,6760050651
16777216,2,2,507,100,26,6736120738,6730980852,6736120738
16777216,2,2,58,100,26,6784615777,6808872991,6808872991
16777216,2,2,72,92,24,3428942555,3425273251,3428942555
16777216,2,2,808,96,25,6811578126,6843386303,6843386303
16777216,2,2,93,92,24,3407313188,3399696339,3407313188
16777216,2,2,97,92,24,6824437771,6820110549,6824437771
33554432,2,2,106,108,28,13904252833,13900392950,13904252833
33554432,2,2,13,96,25,13827957803,13804398569,13827957803
33554432,2,2,206,108,28,13743705130,13739559683,13743705130
33554432,2,2,234,100,26,13867939304,13899592467,13899592467
33554432,2,2,247,96,25,12967880957,12962552628,12967880957
33554432,2,2,26,100,26,6916717096,6923255048,6923255048
33554432,2,2,288,96,25,13756334348,13751521272,13756334348
33554432,2,2,304,108,28,6958321385,6951353951,6958321385
33554432,2,2,32,100,26,6954415720,6960485560,6960485560
33554432,2,2,45,96,25,13699513138,13731720428,13731720428
33554432,2,2,48,108,28,13816147868,13840263177,13840263177
33554432,2,2,54,108,28,6942220657,6949719129,6949719129
67108864,2,2,10,108,28,28431881282,28463923373,28463923373
67108864,2,2,1,100,26,28419995930,28455565572,28455565572
67108864,2,2,111,100,26,14214786526,14212406150,14214786526
