n,k,i,p,m,r,t0,t1,t2,t3,t
131072,4,4,35515,228,20,160668359,178122007,179192214,164263326,179192214
131072,4,4,3756,204,18,178129008,174841375,166879454,187306765,187306765
131072,4,4,3919,240,21,186090366,167608890,179048789,177040038,186090366
131072,4,4,43067,252,22,181641932,173657633,176287455,188704034,188704034
131072,4,4,47622,192,17,183622301,191173437,194748945,180194052,194748945
131072,4,4,5282,264,23,185121408,182050106,171276931,176237670,185121408
131072,4,4,8467,240,21,207732751,208791126,200628558,193612621,208791126
131072,4,4,8802,252,22,200339018,196466335,189605300,187078787,200339018
262144,4,4,1071,216,19,208731233,214957883,203673655,197973806,214957883
262144,4,4,15955,204,18,191777305,197223750,182030456,186584617,197223750
262144,4,4,26927,252,22,214206003,209388411,203702939,200331929,214206003
262144,4,4,32895,204,18,192201982,203846387,184375711,190239926,203846387
262144,4,4,33996,228,20,198762017,188341021,206725270,196304874,206725270
262144,4,4,3651,228,20,212757723,200340921,208798304,197064180,212757723
262144,4,4,3660,264,23,199114440,204306678,209399360,193210179,209399360
262144,4,4,5684,252,22,188129472,202981582,196025682,180504142,202981582
262144,4,4,707,324,28,218187779,212667512,200013871,208415170,218187779
262144,4,4,7642,216,19,183866701,173509027,188614898,196959478,196959478
262144,4,4,9879,240,21,199253571,194414395,195804288,208009824,208009824
524288,4,4,1135,216,19,198882102,213170150,207476301,219455479,219455479
524288,4,4,1905,228,20,227706146,234148717,222716908,217539542,234148717
524288,4,4,2110,228,20,201086512,195381724,213579749,208884309,213579749
524288,4,4,26988,216,19,213971624,223403907,209500368,221788532,223403907
524288,4,4,30389,216,19,205544241,220899249,212579678,200704292,220899249
524288,4,4,3891,204,18,206162454,223664729,218641620,213013332,223664729
524288,4,4,4671,204,18,215236228,208363553,203683609,220007070,220007070
524288,4,4,7238,300,26,199372904,207914020,194532983,218455934,218455934
524288,4,4,8279,228,20,215219580,207849097,220173853,204073691,220173853
524288,4,4,9237,312,27,230840158,226667285,238739018,221815702,238739018
524288,4,4,998,240,21,222211782,240314699,231235574,215629435,240314699
1048576,4,4,10834,240,21,247704666,255847298,243203171,260466203,260466203
1048576,4,4,1165,276,24,267139717,263650751,250734363,259489091,267139717
1048576,4,4,1244,276,24,259039699,267357804,251777874,256108209,267357804
1048576,4,4,1957,252,22,289105472,293920212,276433282,284017005,293920212
1048576,4,4,3028,288,25,242827597,244531465,256419846,253424424,256419846
