n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
65536,8,8,4294782643,448,17,288253455,293830029,270410851,279129175,285407589,288825354,273922142,287407356,293830029
65536,8,8,4294782856,560,21,238995058,247099694,251722699,234258561,239596402,247818880,236284618,251117707,251722699
65536,8,8,4294867360,560,21,244368888,255750279,263763799,239570175,261185453,267159031,251550598,256398227,267159031
65536,8,8,4294877334,448,17,253190717,238559345,246775494,251531727,234869758,238998782,250586939,244852039,253190717
65536,8,8,4294899592,448,17,275832079,261603311,264362220,268526820,256858142,253093338,246999054,263747502,275832079
65536,8,8,4294900973,616,23,269388296,261811931,254988605,250908624,249961230,265323174,254213645,261200006,269388296
65536,8,8,4294905508,532,20,263354183,254002539,250686123,264615995,253573352,242627687,253850205,246780809,264615995
65536,8,8,4294914171,672,25,247428683,261199205,243251487,234941003,258780079,248585997,246464713,256603203,261199205
65536,8,8,4294944061,532,20,257092075,244317919,251261135,262132002,243414012,257114342,241819377,247638507,262132002
65536,8,8,4294957013,644,24,257848456,256169052,247526739,239923733,264543377,248187789,259102656,252045184,264543377
131072,8,8,4294882570,476,18,270733829,263771429,277471017,284690172,284011057,281567792,273769062,277748599,284690172
131072,8,8,4294892842,532,20,292510882,288884011,296041925,283367002,279298535,291873375,281003132,287300736,296041925
131072,8,8,4294895936,420,16,257713621,259292962,264561302,248901977,254544932,246607373,254988024,251127057,264561302
131072,8,8,4294899020,588,22,259558290,259312186,253541025,265190099,250292946,253366851,250366147,259612239,265190099
131072,8,8,4294912321,532,20,274779414,263222160,271650106,259908920,280345397,275211190,260059669,267377732,280345397
131072,8,8,4294928548,588,22,271025885,265010540,261505462,255513426,250051530,267031648,256988218,264500675,271025885
131072,8,8,4294929867,532,20,262979613,252191933,264225069,273279291,258250840,255645080,251418895,262805887,273279291
131072,8,8,4294937303,560,21,260138574,267191408,249471440,254555149,263671312,263521318,252289786,257659521,267191408
131072,8,8,4294964040,476,18,265624430,279061545,267013818,272717921,288689040,254519162,263457720,258395807,288689040
131072,8,8,4294964922,476,18,267027764,271201447,255750585,261267667,268404458,268241457,258893137,262780893,271201447
262144,8,8,4294885012,476,18,256589432,244497474,253224247,242503691,255101587,241453841,248140898,256347208,256589432
262144,8,8,4294937744,616,23,248811894,243006395,251252803,255176271,240513990,240294386,237513503,249840011,255176271
262144,8,8,4294939766,560,21,253800377,274475292,262354635,266155307,277092094,272160390,266135822,262192014,277092094
262144,8,8,4294940302,616,23,287178608,288016214,271264815,276765020,283975084,282108445,266627258,274195407,288016214
262144,8,8,4294947781,644,24,256664505,253583653,263309910,254529080,262770490,249379790,246919855,251934328,263309910
262144,8,8,4294957589,532,20,270373506,255513860,260106759,267123032,279171498,275365497,262917985,268666647,279171498
262144,8,8,4294960218,392,15,274240238,266254502,262589145,254520016,274768807,272546562,262992350,268334097,274768807
262144,8,8,4294963155,504,19,246747576,257626210,257911984,265956351,254735659,251362618,247766372,244119576,265956351
262144,8,8,4294965728,364,14,275000273,270012425,264124411,275918363,258694942,270657418,266712165,279631963,279631963
262144,8,8,4294966352,504,19,260979779,245880860,254397800,242622309,253718442,257337292,250438975,250385385,260979779
524288,8,8,4294943282,616,23,281960417,274326591,271283324,263383463,275258441,272017317,263699467,268895604,281960417
524288,8,8,4294952032,448,17,278561630,290998663,270016133,276781918,283388184,270645103,281963377,276287080,290998663
524288,8,8,4294955298,588,22,272856325,261550652,267916529,280220563,277300523,267732876,266058966,278343276,280220563
524288,8,8,4294959117,560,21,272411564,263740868,273702004,258005190,256788748,259820443,269669920,264012465,273702004
524288,8,8,4294961465,616,23,259569178,247093855,242112401,249633697,253579566,255816888,244494011,242413728,259569178
524288,8,8,4294964161,728,27,286095634,273303490,287837178,283507964,277103619,275150407,284837142,279302338,287837178
524288,8,8,4294964257,532,20,289464278,279384269,286203087,262174940,270830443,289487439,278644990,282026062,289487439
524288,8,8,4294964300,672,25,282854343,266003468,279917857,272679167,286290693,286291716,275970873,279497874,286291716
524288,8,8,4294965232,504,19,260242374,249876078,261224209,255579456,247428813,258843848,252967244,248424634,261224209
524288,8,8,4294967169,616,23,278087088,265718481,258332608,270870078,278547148,278339236,267359878,274776797,278547148
1048576,8,8,4294935710,672,25,296260256,302080400,299329115,287472011,292164228,296110654,289451177,293381721,302080400
1048576,8,8,4294961244,672,25,290577046,305582630,284110131,298969325,297664835,291611868,297705642,286728524,305582630
1048576,8,8,4294961488,616,23,290868145,284452584,295211635,279555245,300968030,293238029,289767597,302309454,302309454
1048576,8,8,4294962603,448,17,316836375,310341889,304676962,299225318,311463771,309302562,292080622,301815598,316836375
1048576,8,8,4294962671,420,16,315774304,306751752,320271752,313555139,327162163,314378193,305772451,310837405,327162163
1048576,8,8,4294963083,560,21,288768610,290537909,282628629,279285810,271324839,286471139,281022560,277966128,290537909
1048576,8,8,4294965655,560,21,289701949,278288380,283367971,270947095,269826750,275789418,271012617,266338055,289701949
