n,k,i,p,m,r,t
2097152,1,1,2147708140,0,22,1683823428
2097152,1,1,2147914023,0,22,1707308131
2097152,1,1,2148403287,0,22,1707938942
2097152,1,1,2150075817,0,22,874453759
2097152,1,1,2150817882,0,22,906065656
2097152,1,1,2151009171,0,22,872990272
4194304,1,1,2145771250,0,23,1718560607
4194304,1,1,2146688342,0,23,3328005874
4194304,1,1,2146795178,0,23,1725487363
4194304,1,1,2146824857,0,23,3351995333
4194304,1,1,2147097492,0,23,1686681583
4194304,1,1,2147296333,0,23,1825624359
4194304,1,1,2147308476,0,23,1690266143
4194304,1,1,2147310591,0,23,1688171478
4194304,1,1,2147437886,0,23,3327838018
4194304,1,1,2148006837,0,23,3340080288
4194304,1,1,2148016880,0,23,1697096773
4194304,1,1,2148858273,0,23,3339773750
8388608,1,1,2146066571,0,24,6724716930
8388608,1,1,2146761554,0,24,6688235009
8388608,1,1,2146917377,0,24,6735718057
8388608,1,1,2146929781,0,24,3379109559
8388608,1,1,2147007017,0,25,3379244475
8388608,1,1,2147027420,0,25,6735757772
8388608,1,1,2147546753,0,24,3406815954
8388608,1,1,2147850394,0,24,3371536033
8388608,1,1,2147932779,0,24,3381127010
8388608,1,1,2147941143,0,24,3413865588
8388608,1,1,2148025846,0,24,5024763413
8388608,1,1,2148283941,0,24,6699717508
16777216,1,1,2146682204,0,25,13708091469
16777216,1,1,2146795224,0,25,13004388186
16777216,1,1,2146977482,0,25,6902482666
16777216,1,1,2147129501,0,25,6946692313
16777216,1,1,2147203893,0,25,6878299600
16777216,1,1,2147333655,0,25,6874118299
16777216,1,1,2147652472,0,25,6890265574
16777216,1,1,2147789483,0,25,13696187262
16777216,1,1,2147898308,0,25,6913559978
16777216,1,1,2148006842,0,25,6888717819
16777216,1,1,2148097327,0,25,13707700368
16777216,1,1,2148207628,0,25,13707494220
33554432,1,1,2146965144,0,27,28216357509
33554432,1,1,2147016502,0,26,14128979332
33554432,1,1,2147196235,0,26,28240070354
33554432,1,1,2147211621,0,26,28252250051
33554432,1,1,2147256909,0,26,28204560309
33554432,1,1,2147319536,0,26,14177980410
33554432,1,1,2147405306,0,26,14141552013
33554432,1,1,2147711289,0,26,14149600663
33554432,1,1,2147738976,0,26,14213738603
33554432,1,1,2147870107,0,26,14147354187
33554432,1,1,2148009566,0,26,28179651863
33554432,1,1,2148415618,0,26,14145826004
67108864,1,1,2147118175,0,27,58336012136
67108864,1,1,2147153414,0,27,58323945266
67108864,1,1,2147297840,0,28,58300058912
67108864,1,1,2147297939,0,27,29162138187
67108864,1,1,2147353442,0,27,58168461436
67108864,1,1,2147403844,0,27,33397582480
67108864,1,1,2147425108,0,28,58203934130
67108864,1,1,2147481585,0,27,29197118162
67108864,1,1,2147523290,0,2,28961000724
67108864,1,1,2147555653,0,27,29111613759
67108864,1,1,2147739468,0,27,29161682887
67108864,1,1,2147835139,0,27,38283818230
134217728,1,1,2147350432,0,2,59818909203
134217728,1,1,2147352288,0,28,60341589403
134217728,1,1,2147403705,0,28,116631622951
134217728,1,1,2147422772,0,28,92430337927
134217728,1,1,2147538132,0,28,118828149207
134217728,1,1,2147552758,0,28,60226246992
134217728,1,1,2147552888,0,28,60431259244
134217728,1,1,2147555230,0,28,120748744336
134217728,1,1,2147594580,0,28,119612255885
134217728,1,1,2147608112,0,29,118531841425
134217728,1,1,2147726158,0,28,120400428595
134217728,1,1,2147756335,0,29,60219304978
268435456,1,1,2147293057,0,29,124540099457
268435456,1,1,2147333537,0,30,249268241144
268435456,1,1,2147349785,0,30,226240601936
268435456,1,1,2147362173,0,30,124443030199
268435456,1,1,2147432909,0,30,124510057125
268435456,1,1,2147438285,0,29,248668112843
268435456,1,1,2147467519,0,29,223540740035
268435456,1,1,2147571221,0,29,248884199786
268435456,1,1,2147574870,0,29,234896041119
268435456,1,1,2147588191,0,2,209788857134
268435456,1,1,2147616900,0,29,124558952197
268435456,1,1,2147639269,0,29,247899857618
