n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t
524288,16,16,4294958448,1560,27,265427685,287127228,280269885,291886378,288356744,283472706,280725313,275001448,292598200,287723751,290662042,283517697,279008994,300800775,286262029,295604943,300800775
524288,16,16,4294964493,1800,31,304277915,299385396,298229814,293663960,312107526,306239855,300242484,307796135,309300074,303465501,320393691,315094097,316349346,325568929,314963764,309804014,325568929
524288,16,16,4294967017,1200,21,299491844,303840210,310735446,296410479,312266249,300441307,308744108,305906130,313588586,302994835,311376031,299640317,317389707,323037237,311816145,308339350,323037237
1048576,16,16,4294945822,1440,25,279300791,276480406,288622106,284123958,291718556,287683570,285390633,280795405,299577917,294054903,282725071,291080429,298348936,295658979,289087365,284008967,299577917
1048576,16,16,4294963025,1620,28,277641956,274493214,285990764,278893499,286737833,266216776,274700714,289894821,299350379,306983390,295185115,288214137,270066775,295751638,286942697,278363045,306983390
1048576,16,16,4294965701,1560,27,332970185,322128133,326696324,307467497,330734465,320269166,316056892,328143922,337333158,321996838,333344731,328123177,348446820,356080827,339733390,344733479,356080827
1048576,16,16,4294965878,1440,25,294349442,291719895,292040656,286791202,291632459,280910991,288714845,285848192,289776359,282066231,293816002,301399598,312140133,309183178,302105680,299618476,312140133
2097152,16,16,4294954436,1440,25,306831746,313646338,312155430,318927628,320739352,316318523,309217075,315118340,312186232,300587241,319931876,314953840,308445946,303231415,307728220,320081005,320739352
2097152,16,16,4294963537,1740,30,294806151,299625389,292358162,292731422,281355595,307053791,287381320,300537529,311586620,302434852,298630520,313630601,306147303,300511266,312064807,296224762,313630601
2097152,16,16,4294963653,1740,30,313491911,309790838,323779670,312462814,319201242,316092999,321725410,310179244,319467246,331338589,326708206,316520508,331443926,335080108,326187418,320876781,335080108
2097152,16,16,4294966885,1020,18,344052636,338650951,332302861,338705045,345952985,341510643,354733636,353329312,344479162,351787682,340393193,361663047,345861239,355299062,341853254,357421737,361663047
4194304,16,16,4294966051,1260,22,356538667,361474475,345336388,355034104,367217873,358843137,352791244,359206437,375021935,367598356,360175720,355893149,365058454,379114530,372465702,360808971,379114530
4194304,16,16,4294966421,1680,29,346337197,339479500,347228723,354785621,353578062,346719578,342219871,349647687,358171121,364841223,352584489,347980665,364605758,359791587,349374241,354974360,364841223
4194304,16,16,4294966936,1500,26,351426856,345961449,367474467,359670064,367792211,362141756,365614513,373425300,373555143,383181087,366995256,372740231,379172390,382227091,371852537,367966697,383181087
4194304,16,16,4294966995,1560,27,356273543,363211108,359693926,367996127,358513070,372540833,366425000,354338831,365346351,378909642,380591295,369989776,367531871,375754054,363964233,381223741,381223741
8388608,16,16,4294964871,1800,31,447311392,455321552,451369942,460072650,455950696,448258407,451872408,443262298,446773029,454283546,459663017,446761879,463931837,456221639,467183231,453907475,467183231
8388608,16,16,4294966546,1860,32,465483882,462239807,460071157,454354170,462727144,469407568,464729281,457998054,466656012,478900711,473842185,485869893,474655514,467920451,460380313,457099852,485869893
8388608,16,16,4294966927,1500,26,467276324,470396093,465000768,458468095,450937753,446221030,475944452,463168551,481786930,490278716,479234748,471474120,479628720,484472673,473446248,468278846,490278716
8388608,16,16,4294967279,1800,31,454930898,453053859,447031769,443968396,457485014,453431248,452323709,446322889,438019270,451716181,444339994,456139050,460634197,451697228,466394285,455418062,466394285
16777216,16,16,4294966634,1680,29,643359771,631621070,639846709,635480021,639741006,634577481,645951201,641825181,639492174,651926210,648988593,656272641,643667439,658713782,647779481,653648541,658713782
16777216,16,16,4294967027,1140,20,661822866,657987227,670231395,665701132,664170204,658309933,672280630,669848278,664393073,675173057,654345637,659550652,667450201,674903430,662959507,673116751,675173057
16777216,16,16,4294967198,2100,36,639236256,642392255,633203527,644199073,638992293,639329985,647631433,635632893,650416392,642873567,654577792,638824630,638429754,656037295,646304168,629806319,656037295
16777216,16,16,4294967279,1800,31,706741933,706743954,712938143,709221322,702375601,718895082,718051372,706635103,710625120,702931300,698076801,715790596,710462026,706643267,806872017,803368866,806872017
33554432,16,16,4294967076,1740,30,1072330744,1060212898,1068482914,1064783229,1067203702,1061037514,1053076975,1046056331,1066978614,1073295677,1080335068,1066444648,1080676461,1069863122,1078708674,1066852172,1080676461
33554432,16,16,4294967149,1500,26,1065380418,1069811959,1074403585,1064253660,1068188151,1061797384,1073013848,1081526048,1087251885,1074091117,1066707758,1079378254,1078899777,1090376598,1084855419,1073807380,1090376598
33554432,16,16,4294967179,2160,37,1051420906,1061709871,1056296541,1048291303,1051572603,1063943620,1067530632,1059030457,1047871788,1056572663,1063994088,1058375572,1102314564,1104474299,1116864911,1115431080,1116864911
33554432,16,16,4294967268,1980,34,1079971450,1078455751,1073958595,1071526851,1066447480,1071270281,1065371662,1077643993,1078190697,1089665970,1085096950,1086582068,1089565616,1071372921,1074851259,1078917809,1089665970
67108864,16,16,4294967206,1560,27,1931113228,1925764528,1919255500,1923058678,1923543119,1920054128,1927020816,1931864526,1925697619,1919318881,1935419414,1926597529,1919735695,1933413020,1928487139,1942458642,1942458642
67108864,16,16,4294967277,2220,38,1939311417,1944481890,1944616452,1937069204,1933701445,1932242382,1939349732,1937992637,1943311648,1947691950,1936657678,1931830311,1954830492,1952447750,1945953523,1941298125,1954830492
67108864,16,16,4294967286,2040,35,1926380134,1921714122,1929302535,1926832213,1934553845,1930363393,1922668540,1939642178,1938797176,1934868577,1928063198,1932224600,1923253034,1921376944,1916539820,1928023940,1939642178
67108864,16,16,4294967294,1980,34,1945819460,1941076191,1938141694,1935130910,1939086119,1926929400,1953673582,1937089395,1958697742,1954074708,1946073275,1953447276,1957768527,1954763599,1943393444,1953051810,1958697742
134217728,16,16,4294967199,1740,30,3733577970,3725673205,3721559653,3729853870,3730980882,3726126202,3735184592,3721785145,3728409725,3739520790,3724137207,3736935198,3734716105,3746183202,3731186568,3741066826,3746183202
134217728,16,16,4294967230,2040,35,3708712229,3702736098,3711337012,3714296576,3703984410,3710314044,3714629195,3709730618,3711515859,3716980238,3703459076,3706632387,3710357513,3722381846,3718635446,3707157514,3722381846
134217728,16,16,4294967290,1500,26,3719604145,3714911014,3712125510,3707205650,3718671817,3713252783,3722241037,3710446383,3723609593,3713937101,3719213660,3712191469,3708570089,3730020774,3724829082,3719103550,3730020774
134217728,16,16,4294967295,2040,35,3709853545,3714636595,3706372753,3702805016,3704712483,3716724694,3708720250,3712694933,3721598561,3714395498,3731315406,3711180811,3727751108,3719570082,3722390298,3715879638,3731315406
268435456,16,16,4294967259,1440,25,7390628260,7385691175,7383470146,7378415227,7390015880,7395963621,7386897048,7382859850,7399198063,7372483728,7398490498,7390283594,7385891657,7393517721,7383073922,7393129727,7399198063
268435456,16,16,4294967286,2100,36,7401881402,7398199072,7394017249,7407642832,7399537855,7396657555,7408677590,7404404246,7404440903,7398360713,7413737578,7392672525,7401139039,7410734336,7419732429,7407886591,7419732429
268435456,16,16,4294967287,1680,29,7425229386,7417526135,7429354740,7431164756,7421847255,7422252647,7410036299,7437147093,7440450901,7444049220,7433762784,7436133239,7431632145,7441097864,7429186498,7424739254,7444049220
268435456,16,16,4294967292,1560,27,7393451373,7399411559,7388229171,7388374866,7395243965,7396774053,7392620127,7385505556,7394000841,7404909860,7400720782,7389209380,7407614867,7398242604,7394800886,7407793945,7407793945
