n,k,i,p,m,r,t0,t1,t
262144,2,2,4294953681,68,18,173192081,180920963,180920963
262144,2,2,4294953697,72,19,303695532,327779347,327779347
262144,2,2,4294956041,72,19,266610469,292125992,292125992
262144,2,2,4294957405,76,20,265945438,291226362,291226362
262144,2,2,4294958139,64,17,266211013,291209671,291209671
262144,2,2,4294960268,80,21,265590823,292285590,292285590
262144,2,2,4294964549,80,21,280957736,304781602,304781602
262144,2,2,4294965117,80,21,303583489,327824554,327824554
262144,2,2,4294966268,72,19,292610230,316438136,316438136
524288,2,2,4294953505,72,19,1275967290,1252775111,1275967290
524288,2,2,4294953575,68,18,795411262,795308130,795411262
524288,2,2,4294954430,64,17,354243913,387929609,387929609
524288,2,2,4294955839,72,19,359957324,375462934,375462934
524288,2,2,4294961952,84,22,364257754,388072232,388072232
524288,2,2,4294963178,72,19,411918651,388428114,411918651
524288,2,2,4294963246,72,19,251730569,250085009,251730569
524288,2,2,4294963995,76,20,353748000,387391916,387391916
524288,2,2,4294964087,80,21,241796100,239114397,241796100
524288,2,2,4294964252,80,21,375974843,370226991,375974843
524288,2,2,4294965387,68,18,248760089,243079847,248760089
524288,2,2,4294967057,80,21,223273907,217675177,223273907
1048576,2,2,4294950443,76,20,603216528,580089119,603216528
1048576,2,2,4294954652,80,21,541598753,567715066,567715066
1048576,2,2,4294954766,80,21,339967569,336003391,339967569
1048576,2,2,4294962111,80,21,580057804,604307927,604307927
1048576,2,2,4294963706,96,25,639588957,640295138,640295138
1048576,2,2,4294964857,80,21,560073427,567723809,567723809
1048576,2,2,4294965726,76,20,324736239,319976873,324736239
1048576,2,2,4294965960,80,21,541894454,568076178,568076178
1048576,2,2,4294966321,72,19,547283042,567563281,567563281
1048576,2,2,4294966402,84,22,319585677,316522262,319585677
1048576,2,2,4294966478,88,23,591899536,616082162,616082162
1048576,2,2,4294967205,72,19,346641451,351797611,351797611
2097152,2,2,4294961937,80,21,910566792,940020657,940020657
2097152,2,2,4294962680,80,21,514910649,520735436,520735436
2097152,2,2,4294965078,76,20,951417054,987227165,987227165
2097152,2,2,4294965418,80,21,910955684,939577993,939577993
2097152,2,2,4294965866,80,21,952414124,975948161,975948161
2097152,2,2,4294966035,80,21,535556859,539239765,539239765
2097152,2,2,4294966146,76,20,1216160335,1216184259,1216184259
2097152,2,2,4294966693,76,20,518058258,515264661,518058258
2097152,2,2,4294967002,84,22,498986469,503974071,503974071
2097152,2,2,4294967069,84,22,987901180,964068839,987901180
2097152,2,2,4294967088,80,21,943968414,936918435,943968414
2097152,2,2,4294967278,76,20,920529365,913268312,920529365
4194304,2,2,4294964459,80,21,1732057729,1756149808,1756149808
4194304,2,2,4294966118,84,22,1771741108,1755366309,1771741108
4194304,2,2,4294966487,92,24,1687659188,1719345139,1719345139
4194304,2,2,4294966593,100,26,1714455465,1731210133,1731210133
4194304,2,2,4294966724,84,22,913329952,919530905,919530905
4194304,2,2,4294966852,92,24,923616736,930421143,930421143
4194304,2,2,4294966856,76,20,1743926032,1768227040,1768227040
4194304,2,2,4294966861,80,21,905842931,914048177,914048177
4194304,2,2,4294966878,80,21,1732554554,1756780335,1756780335
4194304,2,2,4294966902,88,23,895804444,889334402,895804444
4194304,2,2,4294966955,92,24,1716257935,1732337500,1732337500
4194304,2,2,4294967261,80,21,1719892960,1715502128,1719892960
8388608,2,2,4294966532,96,25,3376342614,3399971114,3399971114
8388608,2,2,4294966656,88,23,3376324240,3400772583,3400772583
8388608,2,2,4294966754,96,25,3436106429,3471842705,3471842705
8388608,2,2,4294966835,84,22,3326531924,3351298407,3351298407
8388608,2,2,4294966853,100,26,3336448191,3352663831,3352663831
8388608,2,2,4294966901,100,26,1744845865,1755216904,1755216904
8388608,2,2,4294966927,92,24,4180556768,4204267654,4204267654
8388608,2,2,4294966929,92,24,1735077970,1728101741,1735077970
8388608,2,2,4294967034,100,26,1748210343,1746801918,1748210343
8388608,2,2,4294967071,100,26,3347325026,3363750812,3363750812
8388608,2,2,4294967094,92,24,3324724794,3351481514,3351481514
8388608,2,2,4294967158,84,22,1711872787,1710593432,1711872787
16777216,2,2,4294966888,104,27,3427112075,3422538812,3427112075
16777216,2,2,4294966954,96,25,6755987385,6763997969,6763997969
16777216,2,2,4294966971,96,25,3401444465,3398927511,3401444465
16777216,2,2,4294967011,92,24,6743478957,6759505512,6759505512
16777216,2,2,4294967090,92,24,7816015448,7792449808,7816015448
16777216,2,2,4294967125,100,26,6824074880,6819819744,6824074880
16777216,2,2,4294967125,100,26,6880507551,6856882793,6880507551
16777216,2,2,4294967178,100,26,6796133610,6784086369,6796133610
16777216,2,2,4294967217,108,28,3421984824,3422626912,3422626912
16777216,2,2,4294967224,92,24,6728487853,6747558178,6747558178
16777216,2,2,4294967279,92,24,3420844228,3424909121,3424909121
16777216,2,2,4294967293,100,26,6715016827,6748049593,6748049593
33554432,2,2,4294966971,92,24,6929332363,6925579749,6929332363
33554432,2,2,4294967082,104,27,13758671542,13779604364,13779604364
33554432,2,2,4294967097,96,25,13715386398,13731898451,13731898451
33554432,2,2,4294967115,100,26,13107599540,13095555267,13107599540
33554432,2,2,4294967165,100,26,13954783723,13948332163,13954783723
33554432,2,2,4294967178,92,24,13788428492,13812504925,13812504925
33554432,2,2,4294967190,96,25,6949558899,6949523573,6949558899
33554432,2,2,4294967207,92,24,13756688608,13752037985,13756688608
33554432,2,2,4294967211,108,28,6945798989,6950318251,6950318251
33554432,2,2,4294967270,92,24,6940849304,6939290518,6940849304
33554432,2,2,4294967290,96,25,13744067275,13739539912,13744067275
33554432,2,2,4294967293,100,26,13863829824,13852061910,13863829824
67108864,2,2,4294967058,104,27,14251734479,14249776689,14251734479
67108864,2,2,4294967150,104,27,28372989364,28396842384,28396842384
67108864,2,2,4294967184,108,28,28300365212,28296137044,28300365212
67108864,2,2,4294967206,100,26,14229818724,14227368175,14229818724
67108864,2,2,4294967222,108,28,14247114837,14251523173,14251523173
67108864,2,2,4294967232,104,27,28400438022,28424380462,28424380462
67108864,2,2,4294967254,100,26,14213770620,14215844911,14215844911
67108864,2,2,4294967255,112,29,28420165445,28455900002,28455900002
67108864,2,2,4294967257,104,27,28309066744,28335647865,28335647865
67108864,2,2,4294967263,104,27,28419807274,28444471885,28444471885
67108864,2,2,4294967270,100,26,28235543002,28251721053,28251721053
67108864,2,2,4294967285,108,28,28335719256,28331346933,28335719256
134217728,2,2,4294967183,108,28,58204005068,58180376754,58204005068
134217728,2,2,4294967233,108,28,58756436511,58780313726,58780313726
134217728,2,2,4294967247,112,29,57519138292,57543959054,57543959054
134217728,2,2,4294967250,100,26,57803792155,57795998628,57803792155
134217728,2,2,4294967252,108,28,29389208225,29387152285,29389208225
134217728,2,2,4294967254,108,28,29409829158,29412991302,29412991302
134217728,2,2,4294967265,120,31,58500092776,58540180859,58540180859
134217728,2,2,4294967266,120,31,29355474264,29349117858,29355474264
134217728,2,2,4294967276,120,31,46164253889,46172363948,46172363948
134217728,2,2,4294967286,108,28,55212076824,55207559822,55212076824
134217728,2,2,4294967288,112,29,29262580459,29261948572,29262580459
134217728,2,2,4294967291,108,28,58295264165,58323746542,58323746542
268435456,2,2,4294967252,108,28,60606241092,60602979894,60606241092
268435456,2,2,4294967272,112,29,88667848794,88695945567,88695945567
268435456,2,2,4294967274,116,30,60629748973,60637438426,60637438426
268435456,2,2,4294967278,108,28,121492075682,121480281108,121492075682
268435456,2,2,4294967280,112,29,60687901268,60695618062,60695618062
268435456,2,2,4294967286,108,28,117015940324,117051527762,117051527762
268435456,2,2,4294967286,108,28,60577962084,60575552700,60577962084
268435456,2,2,4294967288,120,31,93775184446,93778690271,93778690271
268435456,2,2,4294967289,104,27,60502039794,60507002814,60507002814
268435456,2,2,4294967293,116,30,116796209596,116773002936,116796209596
268435456,2,2,4294967294,112,29,98139256057,98115539444,98139256057
