n,k,i,p,m,r,t0,t1,t2,t3,t4,t5,t6,t7,t
65536,8,8,2144043251,616,23,267471106,271489208,255293462,260084185,263880956,250664531,258216607,243611888,271489208
65536,8,8,2150622570,448,17,245361065,233871226,254988296,258213733,243426583,253686630,242161381,247107024,258213733
65536,8,8,2151617313,532,20,264756004,266630692,258883206,246211011,254249853,265837013,258033502,254573490,266630692
65536,8,8,2153546045,392,15,261813355,250268815,247422070,259381628,264352469,262796087,254921033,251578393,264352469
131072,8,8,2137955492,504,19,278170469,283854882,272172496,282468955,271023942,273462121,258957049,266717807,283854882
131072,8,8,2139787156,448,17,255819918,253644233,247024429,243239952,259734921,244065733,255599958,250342131,259734921
131072,8,8,2144751364,364,14,247894738,242255248,254025219,239272794,254605928,251111443,243932506,241584596,254605928
131072,8,8,2145939416,476,18,274955617,259876856,271641602,263933194,272432672,269602944,258640675,265167756,274955617
131072,8,8,2149399989,616,23,278992943,278136611,282411218,267043022,272076855,263149172,275642854,268484490,282411218
131072,8,8,2149672197,532,20,254935132,241566797,251529851,247635157,234688813,242732009,247671314,258454326,258454326
131072,8,8,2151614112,364,14,267754352,275690518,274422066,261128237,282124503,262316047,276181012,268358539,282124503
131072,8,8,2152547887,728,27,270773671,267097032,279407361,261637522,278893040,266777898,271986491,279071313,279407361
131072,8,8,2155415191,560,21,291872732,295594876,279785236,290353867,304326683,300853411,289833328,294223260,304326683
131072,8,8,2157070725,448,17,249741330,258269529,246366178,263808248,259664945,247779696,259642408,253533389,263808248
262144,8,8,2142105666,532,20,263318444,252070148,258369318,263089172,247514704,249558888,262197080,256071506,263318444
262144,8,8,2142736472,476,18,275491785,268756690,280349004,263295736,273156649,262711333,272924676,267880753,280349004
262144,8,8,2142814420,672,25,254385499,264248641,263974575,249772643,264390652,265076409,253618292,259115611,265076409
262144,8,8,2143499656,532,20,259961782,266944516,254113504,269464324,250381705,270817210,263893804,259694990,270817210
