n,k,i,p,m,r,t
4194304,1,1,335,0,24,3316515629
4194304,1,1,340,0,24,1689569539
4194304,1,1,578,0,24,1682395550
4194304,1,1,838,0,24,1887879275
4194304,1,1,964,0,24,1733420559
8388608,1,1,11,0,25,3380062224
8388608,1,1,1226,0,25,3408239068
8388608,1,1,149,0,25,6715474083
8388608,1,1,281,0,25,6723602968
8388608,1,1,334,0,25,3385835868
8388608,1,1,38,0,25,6687850776
8388608,1,1,426,0,25,5956137781
8388608,1,1,523,0,25,3375875279
8388608,1,1,806,0,25,3382597627
8388608,1,1,852,0,25,6735537877
8388608,1,1,872,0,25,3420460123
8388608,1,1,873,0,25,6748649550
16777216,1,1,20,0,26,6881635139
16777216,1,1,210,0,26,13731457907
16777216,1,1,231,0,26,6928640899
16777216,1,1,253,0,26,6874256238
16777216,1,1,44,0,26,13720231564
16777216,1,1,45,0,26,13707992833
16777216,1,1,469,0,26,6880712755
16777216,1,1,47,0,26,12964066926
16777216,1,1,59,0,26,6919669949
16777216,1,1,722,0,26,13743470892
16777216,1,1,756,0,26,6909895622
16777216,1,1,971,0,26,6890345834
33554432,1,1,12,0,27,14125379004
33554432,1,1,136,0,27,28216715368
33554432,1,1,14,0,27,14163792377
33554432,1,1,16,0,27,27808825822
33554432,1,1,161,0,27,14129200311
33554432,1,1,23,0,27,28220192973
33554432,1,1,294,0,27,14149516066
33554432,1,1,43,0,26,14180608655
33554432,1,1,77,0,27,28264654605
33554432,1,1,82,0,27,14224464820
33554432,1,1,83,0,27,28228145620
33554432,1,1,9,0,27,14135267998
67108864,1,1,120,0,27,53608558747
67108864,1,1,127,0,27,29201688735
67108864,1,1,13,0,28,57447644130
67108864,1,1,13,0,28,57472142227
67108864,1,1,17,0,28,29165668729
67108864,1,1,24,0,28,29167159792
67108864,1,1,4,0,28,58312196002
67108864,1,1,49,0,27,29157856594
67108864,1,1,51,0,28,51295601906
67108864,1,1,62,0,28,29266208613
67108864,1,1,71,0,28,57568109288
67108864,1,1,88,0,28,51551534849
134217728,1,1,16,0,29,120747916033
134217728,1,1,19,0,29,60475205416
134217728,1,1,21,0,28,119535446021
134217728,1,1,21,0,28,60290468883
134217728,1,1,26,0,28,119667958476
134217728,1,1,5,0,29,119776407377
134217728,1,1,57,0,28,118900078781
134217728,1,1,60,0,28,119548277060
134217728,1,1,62,0,29,60345561674
134217728,1,1,7,0,29,116824498796
134217728,1,1,7,0,29,60265079243
134217728,1,1,82,0,29,60149798532
268435456,1,1,0,0,30,124637959051
268435456,1,1,10,0,29,124524322276
268435456,1,1,1,0,29,232614505312
268435456,1,1,11,0,29,248740918608
268435456,1,1,16,0,30,124391121929
268435456,1,1,2,0,29,223995845228
268435456,1,1,21,0,29,248992301204
268435456,1,1,23,0,30,244371842347
268435456,1,1,29,0,29,248860086152
268435456,1,1,4,0,29,124625675357
268435456,1,1,5,0,30,249544269267
268435456,1,1,74,0,29,246508112162
