n,k,i,p,m,r,t0,t1,t
262144,2,2,2144027670,64,17,265010790,291694921,291694921
262144,2,2,2144072599,68,18,180492356,175355507,180492356
262144,2,2,2145388155,64,17,197008362,204355937,204355937
262144,2,2,2147662862,80,21,278081196,303297370,303297370
262144,2,2,2149543178,72,19,288483968,304462973,304462973
262144,2,2,2150282214,72,19,303636802,280373048,303636802
262144,2,2,2152030794,76,20,266546713,291498146,291498146
262144,2,2,2154211357,72,19,211913276,205175461,211913276
262144,2,2,2154821042,72,19,264616078,291398961,291398961
524288,2,2,2143565779,76,20,354236814,387316118,387316118
524288,2,2,2144023432,72,19,387849306,411981805,411981805
524288,2,2,2144097152,64,17,354324051,387467038,387467038
524288,2,2,2144586637,72,19,371675795,388283220,388283220
524288,2,2,2144900919,68,18,387591868,382963246,387591868
524288,2,2,2145390163,48,13,1252214892,1276125657,1276125657
524288,2,2,2147273993,84,22,792324450,795945795,795945795
524288,2,2,2147420037,84,22,239559375,244812823,244812823
524288,2,2,2148170253,60,16,247364803,243043161,247364803
524288,2,2,2150770793,80,21,222203263,228966130,228966130
524288,2,2,2150925288,80,21,246240250,241545554,246240250
524288,2,2,2151296096,60,16,628090816,663600443,663600443
1048576,2,2,2143613277,76,20,603689245,580369528,603689245
1048576,2,2,2144150495,88,23,326064361,329791750,329791750
1048576,2,2,2144890456,80,21,518241069,531742468,531742468
1048576,2,2,2146645171,44,12,313320163,307453242,313320163
1048576,2,2,2146659135,76,20,580709316,604697280,604697280
1048576,2,2,2147008136,72,19,324748994,317554716,324748994
1048576,2,2,2147066542,76,20,345455569,337316784,345455569
1048576,2,2,2147716705,72,19,580292032,604205606,604205606
1048576,2,2,2148317210,84,22,546832124,567634540,567634540
1048576,2,2,2148810435,76,20,580299635,604166317,604166317
1048576,2,2,2149215738,84,22,536096283,556595089,556595089
1048576,2,2,2152502771,84,22,559021724,567790229,567790229
2097152,2,2,2145439693,84,22,495015687,502799578,502799578
2097152,2,2,2146109291,84,22,521501665,528913937,528913937
2097152,2,2,2147553533,68,18,976345327,953014752,976345327
2097152,2,2,2147748824,80,21,524078123,528440903,528440903
2097152,2,2,2147972516,80,21,521023211,523642849,523642849
2097152,2,2,2147999489,84,22,910973720,939301687,939301687
2097152,2,2,2148000659,76,20,963406354,951557432,963406354
2097152,2,2,2148002872,80,21,910244009,939654255,939654255
2097152,2,2,2148006070,76,20,934945348,943149080,943149080
2097152,2,2,2148527460,92,24,944522098,938823274,944522098
2097152,2,2,2148851075,100,26,539710412,534123322,539710412
2097152,2,2,2148860824,68,18,975599515,1011232469,1011232469
4194304,2,2,2146276506,80,21,913305192,917834297,917834297
4194304,2,2,2146287602,92,24,1724172666,1748141106,1748141106
4194304,2,2,2146343300,64,17,1671564160,1695334186,1695334186
4194304,2,2,2146859917,88,23,894332252,897685372,897685372
