n,k,i,p,m,r,t0,t1,t2,t3,t
262144,4,4,2147884927,192,17,198170608,204172204,208662353,191899870,208662353
262144,4,4,2149119664,144,13,189956835,199116729,193254695,182075046,199116729
262144,4,4,2149946472,276,24,211794311,195188892,187824552,204538290,211794311
262144,4,4,2151597026,204,18,207153796,195866898,189720640,202667085,207153796
524288,4,4,2144138286,252,22,233992512,229470580,241435967,226481477,241435967
524288,4,4,2146918979,252,22,215111615,211340459,222766498,206942628,222766498
524288,4,4,2146927725,240,21,207722739,195894694,213720101,203433403,213720101
524288,4,4,2146964934,216,19,224801009,219220797,214314820,205939998,224801009
524288,4,4,2147125008,204,18,234664708,229322301,219944118,212426177,234664708
524288,4,4,2147946819,204,18,203322667,221469266,215516997,208728939,221469266
524288,4,4,2149113323,228,20,216615555,224513833,206617561,213071599,224513833
524288,4,4,2149460541,300,26,230421713,222832696,219294577,235771135,235771135
524288,4,4,2150085464,228,20,210388243,202975391,199029622,215158574,215158574
1048576,4,4,2144151854,276,24,277129514,276478387,270809805,262688749,277129514
1048576,4,4,2144212572,288,25,262237609,273633459,249994924,244093321,273633459
1048576,4,4,2147162553,228,20,262327977,247151373,256886979,261118766,262327977
1048576,4,4,2147817562,216,19,262761377,251521453,245023219,256960603,262761377
1048576,4,4,2148212556,216,19,256885422,263370851,268645322,252063300,268645322
1048576,4,4,2148736047,264,23,253601436,267659548,260995617,272930099,272930099
1048576,4,4,2148996701,228,20,254830350,250311023,260451348,244073994,260451348
1048576,4,4,2149313862,264,23,276876793,259670369,282047616,268186140,282047616
1048576,4,4,2150409442,276,24,264072242,280144161,272199458,260553977,280144161
2097152,4,4,2145391813,252,22,353432948,347090454,334288172,342391063,353432948
2097152,4,4,2146815089,228,20,352334691,353056182,346244060,366846188,366846188
2097152,4,4,2146917730,300,26,353733926,335488338,347608490,340939927,353733926
2097152,4,4,2147233610,276,24,346959123,334131086,340324840,352721297,352721297
2097152,4,4,2147612312,240,21,355280106,365670443,361183052,348264963,365670443
2097152,4,4,2148192276,228,20,353865007,363512121,352124481,346526102,363512121
2097152,4,4,2148832232,300,26,368307925,362677916,357125890,351057599,368307925
2097152,4,4,2149125890,252,22,360010816,357449352,351922439,369929608,369929608
2097152,4,4,2149610965,288,25,348759833,351582099,338655493,342815148,351582099
4194304,4,4,2144912118,300,26,536912494,543735220,553111529,563963539,563963539
4194304,4,4,2145921721,264,23,559092211,549208856,541243576,533609753,559092211
4194304,4,4,2146698396,264,23,544619045,551386229,539803096,556945757,556945757
4194304,4,4,2147134763,276,24,522617567,534043339,530060059,540210598,540210598
4194304,4,4,2147220672,312,27,537435550,547303779,542463813,529353257,547303779
4194304,4,4,2147247128,312,27,547683265,541833114,543979410,533927272,547683265
4194304,4,4,2147263036,240,21,540188096,547320627,533153920,526630808,547320627
4194304,4,4,2147587689,156,14,546603252,552449184,558608934,541315460,558608934
4194304,4,4,2147902497,288,25,534716762,527912905,539865149,521427157,539865149
8388608,4,4,2145749048,264,23,931494225,937701741,923357723,931050343,937701741
8388608,4,4,2147323925,324,28,920503384,936041278,915514553,927721121,936041278
8388608,4,4,2147607719,264,23,934916920,947354826,943858464,932001054,947354826
8388608,4,4,2147719246,324,28,946745308,935187760,956308584,943345342,956308584
8388608,4,4,2147873354,240,21,926823004,938758192,935095564,923478028,938758192
8388608,4,4,2147980582,312,27,933120570,920977298,915725604,927837272,933120570
8388608,4,4,2148070359,276,24,923049541,930827003,935029113,919484559,935029113
8388608,4,4,2148178669,276,24,943183484,936165592,929173020,947838984,947838984
8388608,4,4,2148229133,264,23,922365107,934320132,927607438,914876085,934320132
16777216,4,4,2146317215,300,26,1747321849,1757106479,1741150405,1751973224,1757106479
16777216,4,4,2147049447,264,23,1739721068,1744446222,1734764436,1732710749,1744446222
16777216,4,4,2147372552,300,26,1738115539,1744287207,1756184799,1751480718,1756184799
16777216,4,4,2147378102,300,26,1753765612,1741409450,1749312450,1737201311,1753765612
16777216,4,4,2147500098,300,26,1751271056,1758761177,1739579077,1744096718,1758761177
16777216,4,4,2147534468,204,18,1754098421,1770884092,1770144542,1762826719,1770884092
16777216,4,4,2147540387,264,23,1763135507,1756422963,1747752557,1744763011,1763135507
16777216,4,4,2147722787,240,21,1755624322,1747521803,1753305825,1740632152,1755624322
16777216,4,4,2147976880,324,28,1736001459,1752600810,1727676302,1745810774,1752600810
33554432,4,4,2147161372,276,24,3444355505,3448997957,3437375600,3432433199,3448997957
33554432,4,4,2147292956,264,23,3439880688,3427915558,3448756871,3433168929,3448756871
33554432,4,4,2147354053,300,26,3441851675,3425660661,3433860978,3438919994,3441851675
33554432,4,4,2147549449,312,27,3431793335,3435618751,3429803026,3421553659,3435618751
33554432,4,4,2147559877,336,29,3438802025,3435219193,3428631515,3423998929,3438802025
33554432,4,4,2147571092,336,29,3450868190,3450724451,3444497982,3437806191,3450868190
33554432,4,4,2147710260,324,28,3469464591,3464177063,3458330798,3476257210,3476257210
33554432,4,4,2147711786,276,24,3438949982,3430943586,3427425799,3421995838,3438949982
33554432,4,4,2148093531,288,25,3464471091,3452913535,3447199297,3461461538,3464471091
67108864,4,4,2147154088,348,30,6930317492,6945432937,6948403731,6937259007,6948403731
67108864,4,4,2147229757,324,28,6953583485,6948108699,6943356247,6960644040,6960644040
67108864,4,4,2147245905,288,25,6959999165,6954267148,6942980598,6951455241,6959999165
67108864,4,4,2147323961,336,29,6919903116,6924321115,6936180816,6932513206,6936180816
67108864,4,4,2147336169,300,26,6946728334,6941496796,6930263956,6936377397,6946728334
67108864,4,4,2147414632,312,27,6960555229,6972194490,6966875516,6955195492,6972194490
67108864,4,4,2147480730,336,29,6965604528,6953501182,6974305876,6965499659,6974305876
67108864,4,4,2147610339,324,28,6944238955,6939545692,6950511054,6957522496,6957522496
67108864,4,4,2147661981,324,28,6991630387,6975833838,6980888862,6988964635,6991630387
134217728,4,4,2147138282,384,33,14230058778,14226485611,14213834044,14222018101,14230058778
134217728,4,4,2147246770,372,32,14191923401,14208511754,14204790727,14197869138,14208511754
134217728,4,4,2147353004,336,29,14216931217,14224090944,14212383683,14205945427,14224090944
134217728,4,4,2147424252,384,33,14213273375,14226291816,14222055323,14233370071,14233370071
134217728,4,4,2147501915,312,27,14266809053,14269902897,14276798584,14259958931,14276798584
134217728,4,4,2147540548,360,31,14233605722,14225578035,14220363212,14214802517,14233605722
134217728,4,4,2147585046,360,31,14200925294,14208224593,14194567988,14197038177,14208224593
134217728,4,4,2147725219,360,31,14211602924,14217400102,14206360750,14226492665,14226492665
268435456,4,4,2147204843,384,33,29306349573,29310958251,29288003411,29283253921,29310958251
268435456,4,4,2147336081,348,30,29209151475,29205400978,29193838246,29198363540,29209151475
268435456,4,4,2147412888,348,30,29215847205,29222271460,29238397925,29229610920,29238397925
268435456,4,4,2147441134,324,28,29270547356,29287761857,29287400951,29280538822,29287761857
268435456,4,4,2147508499,396,34,29287071218,29282473280,29276027064,29271332728,29287071218
268435456,4,4,2147541374,384,33,29407667604,29421810112,29417788217,29413953394,29421810112
268435456,4,4,2147548272,324,28,29254555221,29244052284,29235027096,29257555353,29257555353
268435456,4,4,2147560984,396,34,29438487045,29447286666,29435193855,29427194733,29447286666
