n,k,i,p,m,r,t,T
1024,8,1,1044691,350,11,57607737,57665000
1024,8,1,10621388,245,8,55275600,55331589
1024,8,1,12129116,210,7,61030005,61103211
1024,8,1,1286971,210,7,68694109,68742567
1024,8,1,2144470,175,6,90059084,90127007
1024,8,1,2381368,420,13,58240423,58338078
1024,8,1,242,420,13,81408969,81487978
1024,8,1,301865,280,9,59209099,59277511
1024,8,1,318479,140,5,60880487,60971703
1024,8,1,3581759,210,7,53002977,53084666
1024,8,1,3848646,245,8,52145355,52197056
1024,8,1,396451,385,12,59673315,59769137
1024,8,1,4751220,315,10,61923951,62019558
1024,8,1,5093388,280,9,60105556,60173888
1024,8,1,532570,245,8,60947520,61019989
1024,8,1,5420960,280,9,67515878,67586743
1024,8,1,7497749,280,9,57803075,57929802
1024,8,1,7682191,210,7,52075470,52155560
1024,8,1,804958,280,9,66331471,66387562
1024,8,1,8602751,175,6,63262568,63325900
2048,8,1,1075086,315,10,52914680,53103892
2048,8,1,1182963,210,7,69857538,69916096
2048,8,1,1410253,245,8,60899416,60969325
2048,8,1,15391774,385,12,57990571,58067623
2048,8,1,1853903,385,12,62009857,62090758
2048,8,1,207251,385,12,72953094,73027112
2048,8,1,2147441,385,12,57321404,57386535
2048,8,1,2543369,315,10,61148373,61208732
2048,8,1,2550692,245,8,54232002,54383165
2048,8,1,2678195,315,10,80477341,80550150
2048,8,1,2938305,245,8,52989053,53122851
2048,8,1,357090,140,5,68756091,68825137
2048,8,1,3621444,175,6,56125055,56197612
2048,8,1,392419,210,7,68803589,68862787
2048,8,1,461395,490,15,56418381,56500094
2048,8,1,585127,455,14,69802671,69868098
2048,8,1,6483562,315,10,59763038,59821680
2048,8,1,6561608,455,14,65939543,65991452
2048,8,1,810582,245,8,55129411,55191463
2048,8,1,954038,385,12,62729016,62781846
4096,8,1,1012573,350,11,59299088,59363943
4096,8,1,116952,280,9,56347764,56426322
4096,8,1,1462263,245,8,73290224,73374852
4096,8,1,1538552,280,9,63953053,64017613
4096,8,1,1568710,280,9,58894742,59016754
4096,8,1,1814722,455,14,56905991,56966929
4096,8,1,1841664,385,12,61271884,61338074
4096,8,1,196559,175,6,70072074,70130919
4096,8,1,2375736,210,7,56630795,56781319
4096,8,1,268095,315,10,68128635,68329955
4096,8,1,2987373,105,4,67155692,67238962
4096,8,1,313160,245,8,82426629,82501010
4096,8,1,355197,280,9,59249477,59330711
4096,8,1,389848,315,10,73476684,73540452
4096,8,1,4213547,315,10,56533936,56618348
4096,8,1,427383,385,12,52663932,52727249
4096,8,1,446590,560,17,57839895,57904830
4096,8,1,486898,525,16,67858217,67924993
4096,8,1,76079,315,10,64009031,64087351
4096,8,1,910479,280,9,60956097,61038292
8192,8,1,1337962,315,10,59855864,59949109
8192,8,1,1447601,315,10,58055965,58168768
8192,8,1,163436,315,10,64441794,64543027
8192,8,1,1770180,280,9,72549968,72697643
8192,8,1,180738,175,6,68595256,68683572
8192,8,1,196921,315,10,52630293,52731310
8192,8,1,205461,210,7,51778504,51868263
8192,8,1,212292,245,8,59327242,59409105
8192,8,1,221232,280,9,51294651,51472901
8192,8,1,2714900,385,12,73967295,74053369
8192,8,1,363159,245,8,63360693,63485095
8192,8,1,43996,140,5,57172321,57265285
8192,8,1,468280,385,12,58269704,58356870
8192,8,1,485577,420,13,63554560,63634584
8192,8,1,508225,385,12,53614868,53708034
