n,k,i,p,m,r,t,T
1024,1,1,1052767,0,8,46002,135113
1024,1,1,1293560,0,7,47881,160735
1024,1,1,1858775,0,8,76162,286584
1024,1,1,1992100,0,10,83069,206051
1024,1,1,2301985,0,6,53633,168031
1024,1,1,3149861,0,10,81152,186252
1024,1,1,3203574,0,8,63433,161558
1024,1,1,3710127,0,8,45368,181489
1024,1,1,4201590,0,8,50435,174003
1024,1,1,4426724,0,9,56104,154141
1024,1,1,447804,0,9,55293,145553
1024,1,1,475905,0,9,46498,146434
1024,1,1,4816018,0,7,40647,145423
1024,1,1,534842,0,10,39709,129843
1024,1,1,5459818,0,4,32448,147064
1024,1,1,6679160,0,10,42295,141909
1024,1,1,743702,0,5,41837,132791
1024,1,1,856039,0,4,31374,128743
1024,1,1,9096,0,9,43371,147046
1024,1,1,9485484,0,7,47747,134897
2048,1,1,1402980,0,9,62944,219110
2048,1,1,1559534,0,7,54946,198457
2048,1,1,1817021,0,8,80286,260592
2048,1,1,208189,0,5,62086,199164
2048,1,1,223623,0,7,120383,404347
2048,1,1,2245646,0,8,54159,189540
2048,1,1,2917274,0,9,101964,246932
2048,1,1,3184058,0,7,69107,216152
2048,1,1,326138,0,12,84510,241470
2048,1,1,328243,0,11,118953,270128
2048,1,1,3591,0,14,118061,266486
2048,1,1,3605617,0,12,80881,235234
2048,1,1,3838242,0,9,75428,208969
2048,1,1,4163169,0,9,102592,248609
2048,1,1,4222396,0,8,90836,226162
2048,1,1,427018,0,8,55822,200988
2048,1,1,4286141,0,9,83796,231090
2048,1,1,445653,0,15,75149,232951
2048,1,1,4895643,0,7,99697,236328
2048,1,1,83135,0,8,63283,246482
4096,1,1,103938,0,7,153208,374466
4096,1,1,1370453,0,8,89519,308265
4096,1,1,1423092,0,9,144627,372078
4096,1,1,145568,0,13,184837,406122
4096,1,1,1552963,0,15,200172,432095
4096,1,1,1608136,0,13,135111,363441
4096,1,1,165799,0,13,175172,410088
4096,1,1,1851692,0,10,145300,388629
4096,1,1,1888935,0,9,131791,363875
4096,1,1,21274,0,10,174818,404012
4096,1,1,218083,0,10,189865,451890
4096,1,1,2448963,0,10,162087,416845
4096,1,1,33638,0,13,164662,430294
4096,1,1,391230,0,12,150449,377120
4096,1,1,392419,0,8,124271,387163
4096,1,1,451070,0,11,160275,377529
4096,1,1,475349,0,13,130476,395601
4096,1,1,6223710,0,12,105839,353659
4096,1,1,75546,0,5,112398,367178
4096,1,1,786226,0,12,180096,419553
8192,1,1,1337464,0,9,278916,730166
8192,1,1,162111,0,10,279421,715262
8192,1,1,1903209,0,18,408850,814814
8192,1,1,210579,0,15,305508,754981
8192,1,1,217767,0,12,249332,669610
8192,1,1,246627,0,14,268587,717670
8192,1,1,263293,0,16,452881,864664
8192,1,1,29614,0,12,204301,650351
8192,1,1,310878,0,7,179794,582225
8192,1,1,312319,0,9,257687,666024
8192,1,1,317757,0,15,377709,817129
8192,1,1,350761,0,11,237690,666290
8192,1,1,397300,0,12,433928,1085436
8192,1,1,466579,0,7,174075,608705
8192,1,1,471055,0,16,591050,1225029
8192,1,1,654128,0,10,338837,773170
8192,1,1,712703,0,9,176016,633683
8192,1,1,776206,0,10,298844,737566
8192,1,1,839144,0,15,409485,845769
8192,1,1,867462,0,11,370690,788320
16384,1,1,124261,0,15,698093,1449540
16384,1,1,133456,0,12,829676,1579025
16384,1,1,137851,0,12,841683,1630530
16384,1,1,165219,0,18,853097,1604386
16384,1,1,166172,0,14,482274,1260310
16384,1,1,167478,0,11,712434,1499884
16384,1,1,177215,0,11,450561,1241181
16384,1,1,210056,0,13,714668,1471211
16384,1,1,23240,0,13,521836,1354109
16384,1,1,23483,0,12,516392,1294647
16384,1,1,246992,0,11,560293,1343152
16384,1,1,258070,0,10,441384,1210566
16384,1,1,36706,0,14,555769,1336947
16384,1,1,379103,0,9,553749,1431942
16384,1,1,384927,0,13,512731,1293788
16384,1,1,410815,0,11,506611,1284088
16384,1,1,471645,0,15,719167,1471670
16384,1,1,48200,0,12,573405,1327928
16384,1,1,84755,0,14,408630,1171316
16384,1,1,90950,0,14,457207,1216699
32768,1,1,101754,0,9,1006653,2454995
32768,1,1,115805,0,8,1096747,2547367
32768,1,1,126137,0,12,690469,2147002
32768,1,1,14142,0,22,1499740,2943023
32768,1,1,146228,0,13,1147968,2667938
32768,1,1,153912,0,13,955759,2367063
32768,1,1,180054,0,11,760958,2596953
32768,1,1,2221,0,8,712055,2166123
32768,1,1,36180,0,13,618311,2054532
32768,1,1,384425,0,7,1576066,3108367
32768,1,1,578540,0,14,1185078,2660377
32768,1,1,60237,0,12,1308330,2825812
32768,1,1,61212,0,8,1232859,2675402
32768,1,1,62617,0,13,1170394,2609273
32768,1,1,62747,0,14,1219535,2664657
32768,1,1,67023,0,20,2178883,3647630
32768,1,1,6893,0,12,622620,2080313
32768,1,1,71082,0,14,1112116,2597081
32768,1,1,71912,0,8,968756,2409285
32768,1,1,88271,0,10,697523,2161468
65536,1,1,106075,0,6,1207670,4056036
65536,1,1,107622,0,21,2938657,5743144
65536,1,1,1316,0,11,2546202,5378321
65536,1,1,1322,0,11,1942501,4748501
65536,1,1,17180,0,13,1900655,4753344
65536,1,1,2100,0,10,1903491,4849177
65536,1,1,233077,0,12,2326592,5168530
65536,1,1,25166,0,14,2124737,4984356
65536,1,1,27234,0,15,1885215,4700541
65536,1,1,40832,0,11,1826748,4651370
65536,1,1,44172,0,8,1801015,4720078
65536,1,1,46396,0,12,1912480,4789065
65536,1,1,47312,0,11,1533638,4426411
65536,1,1,6147,0,13,1904868,4786506
65536,1,1,63713,0,5,1146872,4009320
65536,1,1,76902,0,15,2145758,5068633
65536,1,1,77973,0,17,1864833,4700635
65536,1,1,89923,0,9,1768033,4573712
65536,1,1,92914,0,10,2082652,4920041
65536,1,1,94558,0,12,2849361,5712817
131072,1,1,10154,0,14,6019041,11551809
131072,1,1,104428,0,13,4826639,10391530
131072,1,1,10783,0,14,4041484,9557336
131072,1,1,12699,0,14,5612793,11189045
131072,1,1,14155,0,10,3370681,8977109
131072,1,1,15706,0,16,7603024,13147276
131072,1,1,16463,0,11,3773615,9321467
131072,1,1,18198,0,10,2911582,9601485
131072,1,1,25585,0,12,4000982,9654222
131072,1,1,27858,0,11,4492346,10130122
131072,1,1,28887,0,14,5267580,10895102
131072,1,1,29700,0,17,3868444,9520098
131072,1,1,392,0,10,2336452,8045747
131072,1,1,42275,0,11,3192377,8713014
131072,1,1,47565,0,18,4706804,10221515
131072,1,1,5512,0,12,3553242,9107299
131072,1,1,6611,0,16,5069761,10619536
131072,1,1,68372,0,17,2952579,8573265
131072,1,1,7540,0,11,2565625,8137983
131072,1,1,9236,0,15,4351167,10011319
262144,1,1,1445,0,13,7061078,18203014
262144,1,1,16278,0,13,9238885,20248929
262144,1,1,23001,0,11,8025280,19089360
262144,1,1,24809,0,9,9817452,20827067
262144,1,1,26024,0,13,6631122,17688821
262144,1,1,28390,0,14,13736150,24798869
262144,1,1,30522,0,9,6114022,17340172
262144,1,1,3521,0,24,30425522,41396102
262144,1,1,37209,0,15,6952415,18014698
262144,1,1,46598,0,14,7372910,22903012
262144,1,1,46880,0,15,8800567,20052687
262144,1,1,56172,0,10,5220501,16213087
262144,1,1,6323,0,16,7119547,18232638
262144,1,1,66586,0,8,7459835,18630197
262144,1,1,704,0,16,11564548,22556855
262144,1,1,7697,0,14,10248168,21388935
262144,1,1,811,0,13,8743537,21975589
262144,1,1,8553,0,17,10556766,21717448
262144,1,1,8558,0,16,11675674,22810667
262144,1,1,8971,0,12,7311045,18393943
524288,1,1,10692,0,18,17443939,39729540
524288,1,1,11918,0,9,36996959,59328355
524288,1,1,12104,0,11,15027823,37410199
524288,1,1,12245,0,16,39800140,62466462
524288,1,1,12695,0,9,17737702,40275114
524288,1,1,1510,0,24,36340694,71006062
524288,1,1,19048,0,16,27266311,49758438
524288,1,1,19450,0,17,50592920,96996260
524288,1,1,2565,0,15,16115571,38742265
524288,1,1,3102,0,11,17479357,63921086
524288,1,1,3395,0,9,9377043,52099236
524288,1,1,391,0,19,23298978,50020828
524288,1,1,4142,0,19,26253340,48736263
524288,1,1,4592,0,12,23520895,46174421
524288,1,1,4680,0,18,22993249,69341612
524288,1,1,5182,0,8,10001057,32543624
524288,1,1,5411,0,13,9416059,32098227
524288,1,1,7338,0,12,14750125,57199974
524288,1,1,7465,0,16,32214993,66465085
524288,1,1,9805,0,16,47276830,69618171
1048576,1,1,11510,0,16,80703149,148647838
