n,k,i,p,m,r,t,T
1024,32,512,2020206617,620,5,100973647,101027075
1024,32,512,2068251864,1705,12,117791192,117856513
1024,32,512,2079526300,2635,18,88650003,88724682
1024,32,512,2090354870,1550,11,109998404,110068964
1024,32,512,2103382627,1240,9,93038995,93085035
1024,32,512,2112211688,1085,8,125641150,125706084
1024,32,512,2119806679,2015,14,98368657,98439952
1024,32,512,2135745471,2480,17,103929714,103999307
1024,32,512,2136234549,3100,21,116412604,116464134
1024,32,512,2168630550,2635,18,112598478,112663730
1024,32,512,2184864292,3410,23,129333523,129394142
1024,32,512,2188811950,1860,13,112811329,112932148
1024,32,512,2197995442,1240,9,115181529,115232554
1024,32,512,2198456882,2015,14,95082493,95130843
1024,32,512,2203311921,2325,16,95276816,95329107
1024,32,512,2207599403,2325,16,103046924,103117898
1024,32,512,2228359085,2170,15,111910774,111974680
1024,32,512,2228973790,2325,16,99318582,99373306
1024,32,512,2229536082,1240,9,124668483,124719438
1024,32,512,2234499888,2015,14,95913171,95968177
2048,32,1024,2068387530,2635,18,96323960,96377479
2048,32,1024,2095296646,2015,14,104040097,104094985
2048,32,1024,2096983839,2480,17,117135324,117203191
2048,32,1024,2099753697,2170,15,91195024,91260474
2048,32,1024,2105859276,1395,10,108670652,108739357
2048,32,1024,2107281445,2170,15,111351930,111406563
2048,32,1024,2122050054,2325,16,94750773,94804721
2048,32,1024,2123278744,2015,14,108712619,108833242
2048,32,1024,2124570245,2015,14,100823094,100894986
2048,32,1024,2126964160,2790,19,146233092,146298968
2048,32,1024,2132631955,2790,19,88924561,88973626
2048,32,1024,2135471472,1705,12,94817361,94871385
2048,32,1024,2148375232,2945,20,116119585,116170204
2048,32,1024,2151422557,2635,18,96864835,96913210
2048,32,1024,2165256106,2945,20,118091412,118152090
2048,32,1024,2170087584,2635,18,119307839,119357076
2048,32,1024,2172749847,1860,13,114669490,114787356
2048,32,1024,2188141708,2325,16,99067666,99133686
2048,32,1024,2196247405,2480,17,100881667,100951888
2048,32,1024,2215121514,2015,14,117518564,117578690
4096,32,2048,2088037558,4030,27,117604973,117672563
4096,32,2048,2089748641,1860,13,118508703,118563420
4096,32,2048,2090955427,2635,18,110125075,110180416
4096,32,2048,2111229245,2480,17,103495716,103621250
4096,32,2048,2113212853,2945,20,97920249,97975934
4096,32,2048,2121885743,2635,18,122013555,122060919
4096,32,2048,2126087918,2325,16,119988180,120043627
4096,32,2048,2127275688,1395,10,111609435,111685333
4096,32,2048,2130127696,2635,18,105565477,105634408
4096,32,2048,2139691927,2015,14,105858823,105916116
4096,32,2048,2150449927,1860,13,129813687,129882854
4096,32,2048,2152774396,2790,19,86846827,86896543
4096,32,2048,2153061004,2635,18,97540688,97616502
4096,32,2048,2155360855,2635,18,91754701,91821701
4096,32,2048,2157948348,1705,12,97137273,97211352
4096,32,2048,2172843348,2635,18,115478383,115540865
4096,32,2048,2174248694,2790,19,99824880,99883226
4096,32,2048,2179092955,2945,20,92665061,92715615
4096,32,2048,2198961037,2325,16,113204604,113274571
4096,32,2048,2213794866,1705,12,93886798,93948627
8192,32,4096,2114859318,2790,19,109270277,109331408
8192,32,4096,2117983624,1860,13,100994640,101071669
8192,32,4096,2119692995,2170,15,91790036,91850170
8192,32,4096,2121522333,1705,12,109841855,109913013
8192,32,4096,2121539312,2635,18,111644946,111722646
8192,32,4096,2122542294,3255,22,107287731,107398960
8192,32,4096,2124633530,2635,18,93301336,93371948
8192,32,4096,2127584942,3255,22,107468513,107576673
8192,32,4096,2129631180,2945,20,110746800,110801062
8192,32,4096,2130248875,2015,14,129223230,129277336
8192,32,4096,2132939796,2015,14,101001891,101066482
8192,32,4096,2139554299,2635,18,96785979,96842077
8192,32,4096,2142136294,2945,20,120190939,120243614
8192,32,4096,2146649688,3255,22,115513728,115575858
8192,32,4096,2162721187,2480,17,117948870,118002113
8192,32,4096,2164784736,2790,19,98289585,98361586
8192,32,4096,2166470317,1860,13,97399275,97458257
8192,32,4096,2176461405,2790,19,91438912,91619614
8192,32,4096,2186624421,2015,14,98528528,98588409
8192,32,4096,2193693043,3565,24,133354629,133405092
16384,32,8192,2123449052,3565,24,126744300,126822217
16384,32,8192,2124839664,1860,13,113691801,113754514
16384,32,8192,2125312041,4030,27,95974310,96051242
16384,32,8192,2129332633,4495,30,133051792,133111515
16384,32,8192,2133017985,2790,19,106906086,107025996
16384,32,8192,2134433448,2325,16,112030321,112108306
16384,32,8192,2137034267,3565,24,97915863,97974773
16384,32,8192,2138151054,2635,18,116381861,116440488
16384,32,8192,2141158606,3255,22,105448297,105540905
16384,32,8192,2143132060,2790,19,99903230,100007172
16384,32,8192,2144331077,3255,22,122078926,122164437
16384,32,8192,2146782984,3100,21,126913224,126979323
16384,32,8192,2148702195,3720,25,117330180,117389473
16384,32,8192,2148871867,2635,18,106271616,106349489
16384,32,8192,2151741097,4185,28,114992223,115051604
16384,32,8192,2156897355,2945,20,111035802,111120532
16384,32,8192,2158329815,2635,18,105541666,105600806
16384,32,8192,2163511749,3255,22,131781186,131843682
16384,32,8192,2176769227,2945,20,93592305,93676675
16384,32,8192,2179464400,2480,17,94374486,94452815
32768,32,16384,2123244263,3100,21,96155658,96259427
32768,32,16384,2126629575,4030,27,107011091,107255929
32768,32,16384,2131514447,3255,22,110149933,110231253
32768,32,16384,2131695765,3255,22,120120221,120280213
32768,32,16384,2133449614,2790,19,106005833,106196185
32768,32,16384,2140067542,4340,29,106427385,106514341
32768,32,16384,2141723795,3255,22,98309252,98396818
32768,32,16384,2142514161,2170,15,119447578,119526068
32768,32,16384,2142663131,2480,17,94488689,94590513
32768,32,16384,2142712000,3875,26,121494606,121577191
32768,32,16384,2142832724,3255,22,121144051,121232340
32768,32,16384,2143472745,3410,23,117745500,117854955
32768,32,16384,2143728670,4185,28,106686423,106768719
32768,32,16384,2146599778,3410,23,123351829,123439762
32768,32,16384,2152929388,3255,22,114979432,115072752
32768,32,16384,2155926698,2790,19,124355181,124544857
32768,32,16384,2156664747,2170,15,142211298,142309265
32768,32,16384,2157303377,3565,24,96163172,96270650
32768,32,16384,2157797946,3255,22,98892343,98993605
32768,32,16384,2163751964,2635,18,113511782,113599875
65536,32,32768,2134537796,2325,16,134912841,135037940
65536,32,32768,2134598108,4030,27,122012757,122145274
65536,32,32768,2139576307,2945,20,106034768,106249050
65536,32,32768,2141358715,2635,18,90083684,90215678
65536,32,32768,2144025111,2635,18,115817135,115953966
65536,32,32768,2146181632,2170,15,107476454,107620744
65536,32,32768,2148443837,2790,19,130083882,130233081
65536,32,32768,2148521324,2945,20,101888737,102021435
65536,32,32768,2148940920,3565,24,96746716,96889949
65536,32,32768,2150430270,3100,21,104286519,104445619
65536,32,32768,2151169281,2945,20,144755157,144888335
65536,32,32768,2153838096,2945,20,126839846,127216152
65536,32,32768,2155633639,3100,21,108990139,109119933
65536,32,32768,2158626978,2325,16,112412957,112543742
65536,32,32768,2159325616,3565,24,130718353,130843245
65536,32,32768,2159418412,3875,26,113809328,113956820
65536,32,32768,2159683940,3565,24,118445363,118758912
65536,32,32768,2160110336,3410,23,119130698,119283399
65536,32,32768,2166395264,3100,21,111482209,111613363
65536,32,32768,2170735910,2480,17,114772067,114904706
131072,32,65536,2136149594,3410,23,110589524,110805706
131072,32,65536,2140344215,2790,19,98144666,98369951
131072,32,65536,2142143602,3410,23,116424924,116749281
131072,32,65536,2143712683,4030,27,137379430,137606246
131072,32,65536,2145106120,3875,26,128481898,128697687
131072,32,65536,2146341812,1860,13,108900199,109122782
131072,32,65536,2146628354,2790,19,100119892,100553974
131072,32,65536,2147645945,3565,24,121918326,122138177
131072,32,65536,2148082794,3720,25,113679010,113905238
131072,32,65536,2148835014,1705,12,92231392,92453539
131072,32,65536,2148999790,4495,30,114169054,114377251
131072,32,65536,2149402962,2170,15,119397627,119619791
131072,32,65536,2150102781,2170,15,111395620,111623328
131072,32,65536,2150398033,2635,18,92867799,93096259
131072,32,65536,2150560980,3565,24,122599199,122813556
131072,32,65536,2150944883,2790,19,103410057,103601636
131072,32,65536,2151233550,5735,38,113113656,113336640
131072,32,65536,2152248000,5425,36,111828095,112057895
131072,32,65536,2153122557,4340,29,98578170,98804037
131072,32,65536,2158978841,3720,25,117906552,118120206
262144,32,131072,2141721416,4185,28,119119964,119534929
262144,32,131072,2143008347,3875,26,132354483,132776971
262144,32,131072,2143203674,2635,18,94010195,94404231
262144,32,131072,2144754546,3410,23,116657687,117062443
262144,32,131072,2144862569,4185,28,91523559,91927699
262144,32,131072,2145624916,3410,23,112143676,112837432
262144,32,131072,2145767547,3255,22,120940343,121337749
262144,32,131072,2146152836,3100,21,97245313,97650466
262144,32,131072,2147680710,4340,29,109058261,109472390
262144,32,131072,2148253357,4185,28,94832961,95190598
262144,32,131072,2148464424,4030,27,116984109,117518962
262144,32,131072,2148522375,5115,34,117222162,117622556
262144,32,131072,2148779536,5425,36,104343806,104866478
262144,32,131072,2149114451,3100,21,118645671,119037075
262144,32,131072,2149794282,3875,26,94808058,95493878
262144,32,131072,2150153930,3255,22,94475901,94886068
262144,32,131072,2150359737,3410,23,106340345,106752305
262144,32,131072,2152727499,4185,28,101004927,101403231
262144,32,131072,2152783587,5580,37,112496407,112783031
262144,32,131072,2154486298,3255,22,138148020,138544901
524288,32,262144,2143115337,4030,27,110816591,111568075
524288,32,262144,2144455381,5115,34,112747308,113491595
524288,32,262144,2144641153,5425,36,111607825,112351826
524288,32,262144,2145024843,4495,30,112170801,112942264
524288,32,262144,2145336825,2790,19,110096230,110831276
524288,32,262144,2145469913,3565,24,112105966,112863987
524288,32,262144,2145705880,4185,28,113188510,113959319
524288,32,262144,2145750023,3410,23,126434991,127182690
524288,32,262144,2146020933,4495,30,116790237,117565668
524288,32,262144,2147273545,4030,27,131251587,131976661
524288,32,262144,2148296472,4030,27,97721245,98462115
524288,32,262144,2148613219,4650,31,92695534,93463525
524288,32,262144,2148789988,2790,19,90580971,91332304
524288,32,262144,2148903571,3255,22,106185801,106776072
524288,32,262144,2149962467,3410,23,116598311,117348635
524288,32,262144,2150333955,4185,28,118300800,118912043
524288,32,262144,2150783272,3410,23,116626404,117387896
524288,32,262144,2152644467,3410,23,119060928,119824094
524288,32,262144,2152964000,3565,24,121963388,123102202
524288,32,262144,2152999565,4495,30,125357172,126095972
1048576,32,524288,2142861040,3410,23,125077178,126539627
1048576,32,524288,2143203221,4805,32,113349608,115425432
1048576,32,524288,2144517499,4960,33,118682037,120125423
1048576,32,524288,2145738711,3565,24,118031146,119084770
1048576,32,524288,2145854312,3875,26,90218811,91646464
1048576,32,524288,2146184040,5425,36,103593993,105032506
1048576,32,524288,2146733531,2790,19,125246994,126677715
1048576,32,524288,2147399177,4030,27,92292080,93727508
1048576,32,524288,2147408848,4650,31,99002588,100393854
1048576,32,524288,2147919309,2945,20,105931728,107291150
1048576,32,524288,2148036396,4340,29,121373474,122600724
1048576,32,524288,2148143002,4650,31,108372648,110286837
1048576,32,524288,2148351922,4030,27,134229795,135508202
1048576,32,524288,2148413556,5425,36,101257200,103089555
