n,k,i,p,m,r,t,T
1024,32,1024,4281548199,1240,9,1085849016,1085946146
1024,32,1024,4286209749,1240,9,1116709415,1116773789
1024,32,1024,4286271559,1395,10,102287772,102450489
1024,32,1024,4287902269,1240,9,115950638,116016369
1024,32,1024,4288033106,1085,8,88806234,88929044
1024,32,1024,4288825383,775,6,98406537,98453966
1024,32,1024,4289736334,930,7,105987742,106039536
1024,32,1024,4289932953,1085,8,91118138,91170021
1024,32,1024,4290285435,1550,11,106174603,106246007
1024,32,1024,4290779630,2170,15,104447399,104501565
1024,32,1024,4291102276,1550,11,99851942,99898317
1024,32,1024,4291871642,310,3,97020033,97090572
1024,32,1024,4291928280,930,7,92895887,92984562
1024,32,1024,4292354153,1395,10,1078849252,1078896644
1024,32,1024,4292388152,2015,14,85770241,85823349
1024,32,1024,4292902105,1085,8,122861986,122926198
1024,32,1024,4294233317,1240,9,108341457,108379395
1024,32,1024,4294316522,1860,13,94136701,94208406
1024,32,1024,4294494004,1240,9,101727445,101799683
1024,32,1024,4294531762,775,6,86581346,86636680
2048,32,2048,4288520737,1860,13,133633371,133696462
2048,32,2048,4289658996,1705,12,114042185,114105931
2048,32,2048,4290363882,1860,13,104403037,104456318
2048,32,2048,4290573352,930,7,91751555,91804899
2048,32,2048,4291757844,1550,11,94294247,94347956
2048,32,2048,4291774287,620,5,107307624,107375491
2048,32,2048,4292295097,1085,8,107095839,107159776
2048,32,2048,4292390545,1550,11,103258028,103325278
2048,32,2048,4292435252,775,6,85028822,85076231
2048,32,2048,4292696403,1705,12,121849027,121902986
2048,32,2048,4292907947,1550,11,95877005,95947372
2048,32,2048,4293116997,775,6,107431924,107486282
2048,32,2048,4293236777,1240,9,91257421,91328251
2048,32,2048,4293802860,1395,10,117933498,117987404
2048,32,2048,4294102030,775,6,121869614,121936322
2048,32,2048,4294177923,620,5,84741643,84799079
2048,32,2048,4294391934,930,7,99517555,99583504
2048,32,2048,4294617628,1860,13,82939859,82994387
2048,32,2048,4294701154,1240,9,109966927,110026274
2048,32,2048,4294701352,1550,11,110179990,110254469
4096,32,4096,4292468454,1705,12,101719574,101785434
4096,32,4096,4292537021,1705,12,104388903,104456065
4096,32,4096,4292593010,1395,10,107847076,107900479
4096,32,4096,4293090552,620,5,109731540,109781863
4096,32,4096,4293181160,1240,9,114378196,114432541
4096,32,4096,4293490323,1395,10,116534221,116594469
4096,32,4096,4293647394,1550,11,127304412,127351769
4096,32,4096,4293691176,1860,13,104348673,104415396
4096,32,4096,4293910351,1550,11,95595575,95670388
4096,32,4096,4293930171,2170,15,122243925,122353820
4096,32,4096,4294381171,1240,9,96343611,96392569
4096,32,4096,4294401304,1550,11,86893135,86941730
4096,32,4096,4294446221,1240,9,112392900,112458973
4096,32,4096,4294478336,1395,10,97319280,97388216
