n,k,i,p,m,r,t,T
1024,4,1,1241569,135,10,547179,607357
1024,4,1,1647543,120,9,587722,641134
1024,4,1,1899519,90,7,393803,453878
1024,4,1,1927240,45,4,361342,422082
1024,4,1,261994,45,4,628643,691847
1024,4,1,2746827,120,9,553247,632050
1024,4,1,2811979,75,6,426478,506092
1024,4,1,2880338,90,7,436873,496286
1024,4,1,3261587,120,9,910430,970229
1024,4,1,3649853,45,4,519488,592754
1024,4,1,483452,195,14,944302,1018101
1024,4,1,4845274,105,8,1054421,1155209
1024,4,1,4912146,60,5,387231,446863
1024,4,1,6088584,105,8,462707,532560
1024,4,1,6724133,150,11,601316,662039
1024,4,1,6800842,150,11,493962,553785
1024,4,1,6912123,195,14,816911,880442
1024,4,1,7489253,120,9,514363,588260
1024,4,1,809903,120,9,471716,547732
1024,4,1,931183,135,10,497761,558799
2048,4,1,1044727,105,8,412716,478139
2048,4,1,130693,60,5,394215,481169
2048,4,1,1312128,150,11,655005,733860
2048,4,1,1351652,105,8,372522,448884
2048,4,1,1463119,90,7,488972,553735
2048,4,1,1478670,90,7,442660,527456
2048,4,1,149169,135,10,674721,756188
2048,4,1,19583,105,8,562313,628419
2048,4,1,2143894,90,7,690754,768699
2048,4,1,2163711,135,10,573236,636969
2048,4,1,2373953,90,7,410766,478374
2048,4,1,2565801,135,10,519372,604120
2048,4,1,2852610,150,11,955792,1020652
2048,4,1,3318653,165,12,462949,530088
2048,4,1,347119,150,11,695983,762505
2048,4,1,35413,60,5,405558,502186
2048,4,1,398074,105,8,1169729,1251538
2048,4,1,420195,165,12,586633,675644
2048,4,1,573179,105,8,483299,549092
2048,4,1,6359008,105,8,553218,626070
4096,4,1,1088464,225,16,954609,1065404
4096,4,1,112477,135,10,483479,590056
4096,4,1,1197227,255,18,642703,724773
4096,4,1,130404,75,6,305148,388049
4096,4,1,1315397,150,11,534416,626167
4096,4,1,160918,135,10,487043,594428
4096,4,1,1692368,210,15,1072860,1161816
4096,4,1,19562,135,10,524484,612375
4096,4,1,223966,105,8,463498,564806
4096,4,1,260872,105,8,1054760,1143478
4096,4,1,2654724,135,10,1047552,1135879
4096,4,1,323089,150,11,1129555,1227734
4096,4,1,376970,240,17,658843,745801
4096,4,1,4179464,75,6,373311,474445
4096,4,1,429687,135,10,541813,636720
4096,4,1,438416,135,10,1013749,1101855
4096,4,1,45052,135,10,564471,727579
4096,4,1,453685,90,7,480701,575959
4096,4,1,4930345,165,12,1086447,1174877
4096,4,1,926223,105,8,399858,517771
8192,4,1,102648,210,15,649847,793220
8192,4,1,137546,195,14,680396,814797
8192,4,1,221204,120,9,1026880,1179329
8192,4,1,2262759,150,11,491755,657932
8192,4,1,259944,105,8,495510,636425
8192,4,1,354614,195,14,583728,728409
8192,4,1,358584,195,14,588070,714374
8192,4,1,402025,195,14,575713,722527
8192,4,1,445011,120,9,578571,711425
8192,4,1,503616,120,9,613217,745240
8192,4,1,51281,225,16,1118786,1250481
8192,4,1,576427,150,11,579026,721376
8192,4,1,58493,135,10,1109230,1250740
8192,4,1,648192,135,10,500619,632731
8192,4,1,67540,120,9,452271,595397
8192,4,1,748182,150,11,690572,830168
8192,4,1,803028,210,15,629333,760648
8192,4,1,804364,120,9,548049,693514
8192,4,1,92712,120,9,883198,1015633
8192,4,1,99543,270,19,696255,830420
16384,4,1,112658,165,12,545422,760730
16384,4,1,137965,135,10,619774,849928
