n,k,i,p,m,r,t,T
1024,8,512,2036284802,420,13,60689575,60762741
1024,8,512,2038456896,630,19,57955669,58009998
1024,8,512,2046948900,490,15,70777519,70845365
1024,8,512,2071383395,420,13,58832665,58959275
1024,8,512,2088281637,315,10,53226224,53294345
1024,8,512,2094956914,560,17,56550071,56682953
1024,8,512,2099795897,455,14,69568618,69624277
1024,8,512,2103663292,560,17,52782038,52878086
1024,8,512,2116735166,525,16,90193243,90255722
1024,8,512,2121398580,490,15,69650791,69700589
1024,8,512,2122891731,350,11,64316198,64370051
1024,8,512,2127232857,455,14,60269793,60324542
1024,8,512,2148970854,280,9,54596541,54695696
1024,8,512,2152158557,385,12,65627346,65701655
1024,8,512,2172669181,490,15,62291441,62340858
1024,8,512,2185298116,315,10,62414751,62480999
1024,8,512,2193759158,245,8,63857844,63935669
1024,8,512,2196472740,525,16,52113706,52170117
1024,8,512,2196578514,595,18,61648875,61704964
1024,8,512,2209615450,420,13,58965326,59039294
2048,8,1024,2065916617,420,13,76402499,76481087
2048,8,1024,2078526816,350,11,55160820,55239550
2048,8,1024,2090239389,280,9,60553108,60626893
2048,8,1024,2095651868,455,14,57155894,57239978
2048,8,1024,2104990078,595,18,58625308,58802249
2048,8,1024,2126207116,700,21,59675584,59753704
2048,8,1024,2128074222,595,18,70192670,70250679
2048,8,1024,2128588206,280,9,77200676,77258369
2048,8,1024,2145496149,735,22,58177985,58243269
2048,8,1024,2149528832,595,18,57874564,58002746
2048,8,1024,2156169872,595,18,59038779,59115282
2048,8,1024,2157624528,385,12,71593449,71645079
2048,8,1024,2168014872,490,15,57285170,57338630
2048,8,1024,2172561595,525,16,59127006,59204814
2048,8,1024,2182488579,560,17,53358646,53413291
2048,8,1024,2193461696,595,18,71159957,71232073
2048,8,1024,2193472051,245,8,56342133,56421005
2048,8,1024,2194572428,700,21,63979713,64037483
2048,8,1024,2226432337,595,18,61552662,61607714
2048,8,1024,2243915072,385,12,61145425,61205521
4096,8,2048,2097360728,665,20,66611582,66674254
4096,8,2048,2102979673,490,15,73851974,73910445
4096,8,2048,2119199568,700,21,82162241,82238925
4096,8,2048,2121832405,735,22,56790208,56867952
4096,8,2048,2129415977,770,23,55334647,55398800
4096,8,2048,2132801985,665,20,60483463,60547816
4096,8,2048,2132807243,560,17,55467830,55560740
4096,8,2048,2135191328,525,16,64115653,64232428
4096,8,2048,2139608154,560,17,56428803,56544367
4096,8,2048,2139709171,490,15,56475512,56541955
4096,8,2048,2152730784,490,15,64562738,64647719
4096,8,2048,2155318225,525,16,74118884,74201941
4096,8,2048,2156729262,630,19,57817606,57898586
4096,8,2048,2168608797,455,14,55078316,55140296
4096,8,2048,2169264465,595,18,72495783,72561727
4096,8,2048,2173200805,560,17,60222848,60310819
4096,8,2048,2174588175,700,21,73443862,73525299
4096,8,2048,2184476771,420,13,85690543,85768641
4096,8,2048,2192818854,525,16,58245061,58400685
4096,8,2048,2205812567,770,23,53256875,53328167
8192,8,4096,2094985974,630,19,64905108,65033026
8192,8,4096,2112970350,735,22,55902551,56157443
8192,8,4096,2120528559,700,21,54041985,54130675
8192,8,4096,2131261289,525,16,55121410,55221747
8192,8,4096,2144128608,910,27,60866202,60966368
8192,8,4096,2147409054,420,13,55243108,55334516
8192,8,4096,2147966857,665,20,57731308,57839677
8192,8,4096,2149240729,560,17,79260338,79383951
8192,8,4096,2151127974,420,13,68455668,68556588
8192,8,4096,2151398219,560,17,68315625,68401887
8192,8,4096,2157461963,630,19,53789222,53895019
8192,8,4096,2158377145,560,17,78016324,78115194
8192,8,4096,2160856586,770,23,60655623,60743156
8192,8,4096,2161967527,630,19,60046006,60205671
8192,8,4096,2162982028,840,25,58580254,58677623
8192,8,4096,2163289684,560,17,72935901,73035247
8192,8,4096,2163602243,805,24,53365546,53454537
8192,8,4096,2170596213,525,16,70438778,70524233
8192,8,4096,2182766652,315,10,69928991,70034096
8192,8,4096,2193062572,910,27,72672235,72758832
16384,8,8192,2117051889,770,23,53448617,53609805
16384,8,8192,2127343015,875,26,65944337,66074614
16384,8,8192,2127738265,420,13,70283530,70410216
16384,8,8192,2127826782,735,22,94452696,94596179
16384,8,8192,2128614493,770,23,62325640,62548349
16384,8,8192,2133021434,595,18,61640401,61917940
16384,8,8192,2133356214,455,14,70264235,70631250
16384,8,8192,2133872354,595,18,62543020,62688093
16384,8,8192,2136574301,630,19,63918258,64049518
16384,8,8192,2136749779,665,20,56721599,56871641
16384,8,8192,2136899763,735,22,52394193,52542461
16384,8,8192,2137694293,490,15,64497989,64625724
16384,8,8192,2138132530,665,20,63996323,64141025
16384,8,8192,2140799074,665,20,60026234,60150124
16384,8,8192,2141115580,665,20,67932774,68065114
16384,8,8192,2141354232,630,19,86749615,86880872
16384,8,8192,2153317156,840,25,93620500,93767883
16384,8,8192,2154857171,700,21,74541880,74685268
16384,8,8192,2161503525,525,16,65394093,65622203
16384,8,8192,2164228019,420,13,53012940,53155651
32768,8,16384,2133639579,735,22,61600962,62032776
32768,8,16384,2135645103,700,21,69038270,69254532
32768,8,16384,2136148558,595,18,59635328,59907865
32768,8,16384,2136424007,665,20,65530398,65832188
32768,8,16384,2137076567,805,24,76360293,76783887
32768,8,16384,2137994670,700,21,62617307,62832561
32768,8,16384,2142233722,840,25,63976301,64203869
32768,8,16384,2147506843,630,19,57258954,57603095
32768,8,16384,2150651216,805,24,89396976,89624288
32768,8,16384,2151023776,665,20,61875523,62198346
32768,8,16384,2151901613,735,22,74098706,74325364
32768,8,16384,2155219502,770,23,73330160,73538198
32768,8,16384,2156976061,910,27,76574063,76790842
32768,8,16384,2157098483,735,22,62862779,63103181
32768,8,16384,2158250971,945,28,64368884,64635574
32768,8,16384,2161592898,665,20,65609322,65835953
32768,8,16384,2164943653,910,27,54399158,54615328
32768,8,16384,2165424012,805,24,80506291,81088604
32768,8,16384,2168852057,840,25,58028021,58257922
32768,8,16384,2169586777,700,21,72066477,72277245
65536,8,32768,2131360371,665,20,78340316,79185071
65536,8,32768,2136989839,805,24,59066461,59465262
65536,8,32768,2141882236,910,27,74749279,75158052
