n,k,i,p,m,r,t,T
1024,16,1,1034253,600,9,71039039,71140505
1024,16,1,10381249,300,5,74789443,74843951
1024,16,1,11305101,1050,15,65289465,65338348
1024,16,1,13892347,375,6,91213657,91275634
1024,16,1,14195030,300,5,81488840,81544870
1024,16,1,20531547,450,7,82237101,82307720
1024,16,1,2352326,600,9,83718842,83785750
1024,16,1,2945062,1200,17,79327028,79381234
1024,16,1,3641047,675,10,79008699,79077057
1024,16,1,380851,600,9,87982568,88109739
1024,16,1,3810746,825,12,74654303,74712448
1024,16,1,4208565,450,7,72756827,72816134
1024,16,1,4602912,675,10,80420444,80523315
1024,16,1,4634823,600,9,65568112,65622873
1024,16,1,5206180,750,11,79741077,79795022
1024,16,1,6653224,900,13,73533354,73588841
1024,16,1,7077016,300,5,73657829,73712498
1024,16,1,836980,225,4,71804791,71862140
1024,16,1,9277796,300,5,91623528,91692204
1024,16,1,9740332,525,8,71321121,71368678
2048,16,1,110875,525,8,73950487,74024294
2048,16,1,1135932,600,9,67732542,67789539
2048,16,1,1173716,675,10,72652684,72724423
2048,16,1,1196150,675,10,74022300,74070780
2048,16,1,140232,375,6,70214503,70271551
2048,16,1,1766768,975,14,66701113,66770501
2048,16,1,1941156,750,11,85106375,85161978
2048,16,1,2158452,750,11,69154925,69210460
2048,16,1,2673141,900,13,74840908,74892601
2048,16,1,2879984,300,5,80017545,80085616
2048,16,1,2949191,450,7,100503545,100565254
2048,16,1,297690,750,11,62682433,62747799
2048,16,1,3004329,750,11,79409158,79475056
2048,16,1,324669,600,9,85462875,85520228
2048,16,1,361602,675,10,90616356,90692644
2048,16,1,3853558,675,10,77961653,78039790
2048,16,1,416789,450,7,91576090,91651636
2048,16,1,447414,450,7,82685771,82734595
2048,16,1,709167,375,6,78526574,78602340
2048,16,1,990205,450,7,94645790,94697947
4096,16,1,119201,525,8,74588957,74647670
4096,16,1,1257505,300,5,61297106,61349588
4096,16,1,1349587,450,7,80983189,81061757
4096,16,1,1354787,675,10,57629304,57702266
4096,16,1,1459227,300,5,61890934,61963666
4096,16,1,1544575,750,11,70180465,70259199
4096,16,1,261781,750,11,77693845,77820019
4096,16,1,284590,375,6,85432709,85506839
4096,16,1,3666681,525,8,76608765,76679490
4096,16,1,413677,450,7,80721260,80774235
4096,16,1,423384,675,10,99976760,100042947
4096,16,1,464210,825,12,89701122,89754673
4096,16,1,476321,375,6,89352012,89411840
4096,16,1,535152,900,13,71867574,71994388
4096,16,1,569854,600,9,73174281,73236186
4096,16,1,747541,600,9,78260826,78318766
4096,16,1,784461,675,10,86957662,87016825
4096,16,1,892044,600,9,81337515,81439310
4096,16,1,91482,450,7,73318475,73378856
4096,16,1,943638,600,9,79410790,79481973
8192,16,1,1018415,975,14,81536525,81613758
8192,16,1,109273,450,7,82961035,83048212
8192,16,1,115405,900,13,82318122,82389366
8192,16,1,134536,825,12,79738479,79804834
8192,16,1,1346928,675,10,74525711,74591252
8192,16,1,140573,675,10,82546297,82621141
8192,16,1,206167,600,9,89094225,89172143
8192,16,1,223291,750,11,81448861,81541678
8192,16,1,2499761,525,8,69758113,69846065
8192,16,1,25699,600,9,73193744,73276977
8192,16,1,26121,600,9,79448600,79616677
8192,16,1,28775,525,8,79331831,79412345
8192,16,1,381348,600,9,73391849,73459346
8192,16,1,471863,750,11,104754161,104829565
8192,16,1,48411,750,11,79826639,79890863
8192,16,1,583882,825,12,94448657,94512768
8192,16,1,610141,300,5,79043713,79114034
8192,16,1,678862,375,6,73752044,73817555
8192,16,1,795768,900,13,83612994,83670145
8192,16,1,820510,450,7,92363564,92440668
16384,16,1,105386,900,13,83286464,83386250
16384,16,1,12073,600,9,102024485,102132679
16384,16,1,126466,825,12,77978290,78072644
16384,16,1,151892,1125,16,82495769,82597000
16384,16,1,167939,1125,16,100869214,100956541
16384,16,1,201721,975,14,74596964,74720099
16384,16,1,212580,675,10,81948646,82045120
16384,16,1,220551,900,13,76776982,76865260
16384,16,1,27907,900,13,85429963,85532562
16384,16,1,279573,600,9,68260578,68360372
16384,16,1,300675,825,12,83215578,83315415
16384,16,1,301802,1050,15,73655888,73741715
16384,16,1,40151,675,10,78249552,78360809
16384,16,1,415979,1050,15,73458278,73548769
16384,16,1,473350,825,12,80226431,80329075
16384,16,1,499577,750,11,80336915,80425332
16384,16,1,55717,1350,19,81817005,81897205
16384,16,1,64669,750,11,83320159,83418066
16384,16,1,64859,900,13,71635377,71721219
16384,16,1,79644,900,13,95334222,95442932
32768,16,1,10086,975,14,79457893,79582147
32768,16,1,121097,525,8,76930407,77071783
32768,16,1,126811,975,14,70005886,70149409
32768,16,1,162974,675,10,68595730,68843634
32768,16,1,168057,600,9,90406258,90537871
32768,16,1,177486,900,13,80004829,80139756
32768,16,1,21029,900,13,91379631,91512108
